,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,13.0,11.0,2.0,0.85
2.0,1.0,8.0,7.0,1.0,0.88
3.0,1.0,11.0,8.0,3.0,0.73
4.0,1.0,10.0,8.0,2.0,0.8
5.0,1.0,13.0,7.0,6.0,0.54
6.0,1.0,9.0,6.0,3.0,0.67
7.0,1.0,7.0,6.0,1.0,0.86
8.0,1.0,11.0,8.0,3.0,0.73
9.0,1.0,13.0,7.0,6.0,0.54
10.0,1.0,12.0,9.0,3.0,0.75
11.0,1.0,11.0,7.0,4.0,0.64
12.0,1.0,11.0,10.0,1.0,0.91
13.0,1.0,9.0,8.0,1.0,0.89
14.0,1.0,9.0,7.0,2.0,0.78
15.0,1.0,9.0,9.0,0.0,1.0
16.0,1.0,10.0,8.0,2.0,0.8
17.0,1.0,11.0,9.0,2.0,0.82
18.0,1.0,10.0,8.0,2.0,0.8
19.0,1.0,9.0,9.0,0.0,1.0
20.0,1.0,9.0,7.0,2.0,0.78
21.0,1.0,11.0,9.0,2.0,0.82
22.0,1.0,14.0,11.0,3.0,0.79
23.0,1.0,12.0,12.0,0.0,1.0
24.0,1.0,13.0,12.0,1.0,0.92
25.0,1.0,9.0,7.0,2.0,0.78
26.0,1.0,12.0,10.0,2.0,0.83
27.0,1.0,14.0,12.0,2.0,0.86
28.0,1.0,14.0,10.0,4.0,0.71
29.0,1.0,12.0,10.0,2.0,0.83
30.0,1.0,10.0,9.0,1.0,0.9
31.0,1.0,14.0,12.0,2.0,0.86
32.0,1.0,14.0,11.0,3.0,0.79
33.0,1.0,10.0,9.0,1.0,0.9
34.0,1.0,10.0,8.0,2.0,0.8
35.0,1.0,10.0,6.0,4.0,0.6
36.0,1.0,12.0,8.0,4.0,0.67
37.0,1.0,10.0,7.0,3.0,0.7
38.0,1.0,12.0,10.0,2.0,0.83
39.0,1.0,11.0,8.0,3.0,0.73
40.0,1.0,9.0,8.0,1.0,0.89
41.0,1.0,10.0,8.0,2.0,0.8
42.0,1.0,10.0,10.0,0.0,1.0
43.0,1.0,8.0,6.0,2.0,0.75
44.0,1.0,7.0,7.0,0.0,1.0
45.0,1.0,9.0,5.0,4.0,0.56
46.0,1.0,9.0,7.0,2.0,0.78
47.0,1.0,12.0,10.0,2.0,0.83
48.0,1.0,8.0,6.0,2.0,0.75
49.0,1.0,12.0,10.0,2.0,0.83
50.0,1.0,12.0,10.0,2.0,0.83
51.0,1.0,12.0,9.0,3.0,0.75
52.0,1.0,9.0,6.0,3.0,0.67
53.0,1.0,13.0,8.0,5.0,0.62
54.0,1.0,11.0,10.0,1.0,0.91
55.0,1.0,12.0,9.0,3.0,0.75
56.0,1.0,11.0,9.0,2.0,0.82
57.0,1.0,12.0,9.0,3.0,0.75
58.0,1.0,9.0,8.0,1.0,0.89
59.0,1.0,11.0,9.0,2.0,0.82
60.0,1.0,11.0,9.0,2.0,0.82
61.0,1.0,9.0,8.0,1.0,0.89
62.0,1.0,11.0,10.0,1.0,0.91
63.0,1.0,11.0,9.0,2.0,0.82
64.0,1.0,9.0,8.0,1.0,0.89
65.0,1.0,8.0,6.0,2.0,0.75
66.0,1.0,9.0,7.0,2.0,0.78
67.0,1.0,9.0,8.0,1.0,0.89
68.0,1.0,12.0,10.0,2.0,0.83
69.0,1.0,11.0,9.0,2.0,0.82
70.0,1.0,11.0,10.0,1.0,0.91
71.0,1.0,11.0,9.0,2.0,0.82
72.0,1.0,7.0,5.0,2.0,0.71
73.0,1.0,11.0,8.0,3.0,0.73
74.0,1.0,9.0,6.0,3.0,0.67
75.0,1.0,11.0,7.0,4.0,0.64
76.0,1.0,11.0,8.0,3.0,0.73
77.0,1.0,11.0,8.0,3.0,0.73
78.0,1.0,12.0,9.0,3.0,0.75
79.0,1.0,9.0,7.0,2.0,0.78
80.0,1.0,11.0,10.0,1.0,0.91
81.0,1.0,12.0,9.0,3.0,0.75
82.0,1.0,12.0,9.0,3.0,0.75
83.0,1.0,9.0,6.0,3.0,0.67
84.0,1.0,11.0,8.0,3.0,0.73
85.0,1.0,9.0,8.0,1.0,0.89
86.0,1.0,6.0,4.0,2.0,0.67
87.0,1.0,11.0,8.0,3.0,0.73
88.0,1.0,8.0,7.0,1.0,0.88
89.0,1.0,10.0,6.0,4.0,0.6
90.0,1.0,10.0,10.0,0.0,1.0
91.0,1.0,10.0,9.0,1.0,0.9
92.0,1.0,11.0,9.0,2.0,0.82
93.0,1.0,11.0,9.0,2.0,0.82
94.0,1.0,11.0,8.0,3.0,0.73
95.0,1.0,11.0,9.0,2.0,0.82
96.0,1.0,11.0,9.0,2.0,0.82
97.0,1.0,11.0,10.0,1.0,0.91
98.0,1.0,11.0,6.0,5.0,0.55
99.0,1.0,10.0,7.0,3.0,0.7
100.0,1.0,11.0,9.0,2.0,0.82
101.0,1.0,9.0,8.0,1.0,0.89
102.0,1.0,9.0,6.0,3.0,0.67
103.0,1.0,8.0,7.0,1.0,0.88
104.0,1.0,9.0,7.0,2.0,0.78
105.0,1.0,13.0,8.0,5.0,0.62
106.0,1.0,8.0,6.0,2.0,0.75
107.0,1.0,13.0,11.0,2.0,0.85
108.0,1.0,8.0,7.0,1.0,0.88
109.0,-1.0,10.0,5.0,5.0,0.5
110.0,1.0,10.0,8.0,2.0,0.8
111.0,1.0,10.0,9.0,1.0,0.9
112.0,1.0,10.0,9.0,1.0,0.9
113.0,1.0,13.0,11.0,2.0,0.85
114.0,1.0,9.0,8.0,1.0,0.89
115.0,1.0,11.0,9.0,2.0,0.82
116.0,1.0,11.0,10.0,1.0,0.91
117.0,1.0,10.0,8.0,2.0,0.8
118.0,1.0,13.0,10.0,3.0,0.77
119.0,1.0,10.0,6.0,4.0,0.6
120.0,1.0,11.0,9.0,2.0,0.82
121.0,-1.0,9.0,3.0,6.0,0.33
122.0,1.0,12.0,9.0,3.0,0.75
123.0,1.0,9.0,8.0,1.0,0.89
124.0,1.0,13.0,11.0,2.0,0.85
125.0,1.0,13.0,8.0,5.0,0.62
126.0,1.0,7.0,6.0,1.0,0.86
127.0,1.0,10.0,6.0,4.0,0.6
128.0,1.0,9.0,6.0,3.0,0.67
129.0,1.0,13.0,10.0,3.0,0.77
130.0,1.0,11.0,8.0,3.0,0.73
131.0,1.0,11.0,10.0,1.0,0.91
132.0,1.0,10.0,9.0,1.0,0.9
133.0,1.0,13.0,8.0,5.0,0.62
134.0,1.0,12.0,10.0,2.0,0.83
135.0,1.0,11.0,9.0,2.0,0.82
