,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,10.0,8.0,2.0,0.8
2.0,1.0,10.0,9.0,1.0,0.9
3.0,1.0,11.0,7.0,4.0,0.64
4.0,1.0,12.0,10.0,2.0,0.83
5.0,1.0,10.0,8.0,2.0,0.8
6.0,1.0,10.0,7.0,3.0,0.7
7.0,1.0,10.0,6.0,4.0,0.6
8.0,-1.0,12.0,6.0,6.0,0.5
9.0,1.0,9.0,6.0,3.0,0.67
10.0,1.0,8.0,6.0,2.0,0.75
11.0,1.0,9.0,7.0,2.0,0.78
12.0,1.0,14.0,10.0,4.0,0.71
13.0,1.0,10.0,7.0,3.0,0.7
14.0,1.0,10.0,8.0,2.0,0.8
15.0,1.0,12.0,9.0,3.0,0.75
16.0,-1.0,12.0,6.0,6.0,0.5
17.0,-1.0,9.0,4.0,5.0,0.44
18.0,1.0,10.0,6.0,4.0,0.6
19.0,1.0,10.0,6.0,4.0,0.6
20.0,-1.0,11.0,4.0,7.0,0.36
21.0,1.0,11.0,7.0,4.0,0.64
22.0,1.0,11.0,7.0,4.0,0.64
23.0,1.0,8.0,7.0,1.0,0.88
24.0,1.0,13.0,7.0,6.0,0.54
25.0,1.0,10.0,6.0,4.0,0.6
26.0,1.0,13.0,7.0,6.0,0.54
27.0,1.0,13.0,10.0,3.0,0.77
28.0,1.0,11.0,8.0,3.0,0.73
29.0,1.0,8.0,5.0,3.0,0.63
30.0,-1.0,5.0,2.0,3.0,0.4
31.0,-1.0,12.0,6.0,6.0,0.5
32.0,1.0,10.0,7.0,3.0,0.7
33.0,1.0,12.0,7.0,5.0,0.58
34.0,1.0,11.0,7.0,4.0,0.64
35.0,1.0,11.0,7.0,4.0,0.64
36.0,1.0,11.0,6.0,5.0,0.55
37.0,1.0,11.0,7.0,4.0,0.64
38.0,1.0,11.0,9.0,2.0,0.82
39.0,1.0,11.0,7.0,4.0,0.64
40.0,1.0,10.0,8.0,2.0,0.8
41.0,1.0,9.0,6.0,3.0,0.67
42.0,1.0,10.0,9.0,1.0,0.9
43.0,1.0,14.0,10.0,4.0,0.71
44.0,1.0,12.0,9.0,3.0,0.75
45.0,1.0,13.0,9.0,4.0,0.69
46.0,1.0,10.0,6.0,4.0,0.6
47.0,1.0,12.0,7.0,5.0,0.58
48.0,1.0,10.0,7.0,3.0,0.7
49.0,-1.0,10.0,5.0,5.0,0.5
50.0,1.0,11.0,6.0,5.0,0.55
51.0,1.0,10.0,8.0,2.0,0.8
52.0,1.0,14.0,11.0,3.0,0.79
53.0,-1.0,8.0,3.0,5.0,0.38
54.0,1.0,13.0,10.0,3.0,0.77
55.0,-1.0,9.0,3.0,6.0,0.33
56.0,1.0,12.0,8.0,4.0,0.67
57.0,1.0,11.0,7.0,4.0,0.64
58.0,1.0,12.0,9.0,3.0,0.75
59.0,1.0,10.0,7.0,3.0,0.7
60.0,1.0,12.0,9.0,3.0,0.75
61.0,1.0,14.0,10.0,4.0,0.71
62.0,1.0,11.0,8.0,3.0,0.73
63.0,1.0,12.0,7.0,5.0,0.58
64.0,1.0,12.0,9.0,3.0,0.75
65.0,1.0,9.0,5.0,4.0,0.56
66.0,1.0,10.0,7.0,3.0,0.7
67.0,1.0,14.0,10.0,4.0,0.71
68.0,1.0,13.0,8.0,5.0,0.62
69.0,1.0,11.0,7.0,4.0,0.64
70.0,1.0,13.0,8.0,5.0,0.62
71.0,1.0,11.0,8.0,3.0,0.73
72.0,1.0,11.0,8.0,3.0,0.73
73.0,1.0,10.0,6.0,4.0,0.6
74.0,1.0,12.0,9.0,3.0,0.75
75.0,1.0,10.0,7.0,3.0,0.7
76.0,1.0,11.0,10.0,1.0,0.91
77.0,1.0,6.0,5.0,1.0,0.83
78.0,1.0,12.0,8.0,4.0,0.67
79.0,1.0,9.0,6.0,3.0,0.67
80.0,1.0,13.0,10.0,3.0,0.77
81.0,1.0,11.0,8.0,3.0,0.73
82.0,1.0,9.0,6.0,3.0,0.67
83.0,1.0,8.0,5.0,3.0,0.63
84.0,1.0,11.0,10.0,1.0,0.91
85.0,1.0,10.0,8.0,2.0,0.8
86.0,-1.0,8.0,4.0,4.0,0.5
87.0,1.0,11.0,6.0,5.0,0.55
88.0,1.0,11.0,7.0,4.0,0.64
89.0,1.0,11.0,8.0,3.0,0.73
90.0,1.0,14.0,9.0,5.0,0.64
91.0,1.0,12.0,11.0,1.0,0.92
92.0,1.0,7.0,5.0,2.0,0.71
93.0,1.0,9.0,5.0,4.0,0.56
94.0,-1.0,11.0,5.0,6.0,0.45
95.0,1.0,11.0,9.0,2.0,0.82
96.0,1.0,13.0,9.0,4.0,0.69
97.0,1.0,11.0,8.0,3.0,0.73
98.0,-1.0,10.0,5.0,5.0,0.5
99.0,1.0,10.0,6.0,4.0,0.6
100.0,1.0,11.0,9.0,2.0,0.82
101.0,1.0,10.0,7.0,3.0,0.7
102.0,1.0,12.0,7.0,5.0,0.58
103.0,1.0,12.0,10.0,2.0,0.83
104.0,1.0,11.0,6.0,5.0,0.55
105.0,1.0,12.0,7.0,5.0,0.58
106.0,1.0,11.0,7.0,4.0,0.64
107.0,1.0,12.0,7.0,5.0,0.58
108.0,1.0,10.0,6.0,4.0,0.6
109.0,1.0,10.0,7.0,3.0,0.7
110.0,1.0,11.0,6.0,5.0,0.55
111.0,1.0,11.0,7.0,4.0,0.64
112.0,1.0,7.0,6.0,1.0,0.86
113.0,1.0,10.0,7.0,3.0,0.7
114.0,1.0,15.0,9.0,6.0,0.6
115.0,1.0,12.0,8.0,4.0,0.67
116.0,1.0,11.0,7.0,4.0,0.64
117.0,1.0,11.0,7.0,4.0,0.64
118.0,1.0,8.0,7.0,1.0,0.88
119.0,1.0,10.0,7.0,3.0,0.7
120.0,1.0,11.0,8.0,3.0,0.73
121.0,-1.0,6.0,3.0,3.0,0.5
122.0,1.0,7.0,5.0,2.0,0.71
123.0,1.0,11.0,7.0,4.0,0.64
124.0,1.0,9.0,6.0,3.0,0.67
125.0,1.0,7.0,5.0,2.0,0.71
126.0,1.0,7.0,7.0,0.0,1.0
127.0,1.0,10.0,8.0,2.0,0.8
128.0,1.0,8.0,6.0,2.0,0.75
129.0,1.0,8.0,6.0,2.0,0.75
130.0,1.0,9.0,6.0,3.0,0.67
131.0,1.0,10.0,6.0,4.0,0.6
132.0,1.0,11.0,8.0,3.0,0.73
133.0,1.0,12.0,10.0,2.0,0.83
134.0,1.0,13.0,11.0,2.0,0.85
135.0,1.0,11.0,8.0,3.0,0.73
136.0,1.0,10.0,8.0,2.0,0.8
137.0,1.0,8.0,5.0,3.0,0.63
138.0,1.0,9.0,8.0,1.0,0.89
139.0,1.0,10.0,9.0,1.0,0.9
140.0,1.0,9.0,5.0,4.0,0.56
141.0,1.0,11.0,9.0,2.0,0.82
142.0,1.0,13.0,9.0,4.0,0.69
143.0,1.0,9.0,5.0,4.0,0.56
144.0,1.0,10.0,7.0,3.0,0.7
145.0,1.0,9.0,5.0,4.0,0.56
146.0,1.0,11.0,9.0,2.0,0.82
147.0,1.0,13.0,8.0,5.0,0.62
148.0,1.0,10.0,7.0,3.0,0.7
149.0,-1.0,10.0,4.0,6.0,0.4
150.0,1.0,14.0,8.0,6.0,0.57
151.0,-1.0,10.0,5.0,5.0,0.5
152.0,1.0,12.0,8.0,4.0,0.67
153.0,1.0,12.0,7.0,5.0,0.58
154.0,1.0,9.0,7.0,2.0,0.78
155.0,1.0,9.0,8.0,1.0,0.89
156.0,1.0,11.0,9.0,2.0,0.82
157.0,1.0,10.0,9.0,1.0,0.9
158.0,1.0,11.0,9.0,2.0,0.82
159.0,1.0,12.0,7.0,5.0,0.58
160.0,1.0,11.0,8.0,3.0,0.73
161.0,-1.0,11.0,4.0,7.0,0.36
162.0,1.0,9.0,7.0,2.0,0.78
163.0,1.0,10.0,6.0,4.0,0.6
164.0,1.0,10.0,7.0,3.0,0.7
165.0,1.0,11.0,7.0,4.0,0.64
166.0,1.0,10.0,7.0,3.0,0.7
167.0,1.0,11.0,8.0,3.0,0.73
168.0,1.0,6.0,4.0,2.0,0.67
169.0,1.0,13.0,10.0,3.0,0.77
170.0,1.0,6.0,4.0,2.0,0.67
171.0,1.0,11.0,6.0,5.0,0.55
172.0,1.0,10.0,7.0,3.0,0.7
173.0,1.0,11.0,9.0,2.0,0.82
174.0,1.0,10.0,8.0,2.0,0.8
175.0,1.0,12.0,8.0,4.0,0.67
176.0,1.0,9.0,7.0,2.0,0.78
177.0,1.0,8.0,7.0,1.0,0.88
178.0,1.0,8.0,5.0,3.0,0.63
179.0,1.0,13.0,10.0,3.0,0.77
180.0,1.0,10.0,7.0,3.0,0.7
181.0,1.0,11.0,9.0,2.0,0.82
182.0,1.0,8.0,6.0,2.0,0.75
183.0,1.0,11.0,7.0,4.0,0.64
184.0,1.0,8.0,8.0,0.0,1.0
185.0,1.0,10.0,7.0,3.0,0.7
186.0,1.0,9.0,6.0,3.0,0.67
187.0,1.0,10.0,8.0,2.0,0.8
188.0,1.0,9.0,7.0,2.0,0.78
189.0,-1.0,11.0,5.0,6.0,0.45
190.0,1.0,8.0,6.0,2.0,0.75
191.0,1.0,10.0,8.0,2.0,0.8
192.0,1.0,10.0,7.0,3.0,0.7
