,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,-1.0,5.0,2.0,3.0,0.4
2.0,-1.0,6.0,1.0,5.0,0.17
3.0,-1.0,11.0,5.0,6.0,0.45
4.0,-1.0,6.0,1.0,5.0,0.17
5.0,-1.0,8.0,2.0,6.0,0.25
6.0,-1.0,10.0,3.0,7.0,0.3
7.0,-1.0,7.0,1.0,6.0,0.14
8.0,-1.0,8.0,1.0,7.0,0.13
9.0,-1.0,4.0,2.0,2.0,0.5
10.0,-1.0,9.0,4.0,5.0,0.44
11.0,-1.0,8.0,2.0,6.0,0.25
12.0,-1.0,9.0,3.0,6.0,0.33
13.0,-1.0,7.0,2.0,5.0,0.29
14.0,-1.0,8.0,1.0,7.0,0.13
15.0,-1.0,11.0,5.0,6.0,0.45
16.0,-1.0,7.0,1.0,6.0,0.14
17.0,-1.0,7.0,2.0,5.0,0.29
18.0,-1.0,9.0,4.0,5.0,0.44
19.0,-1.0,10.0,3.0,7.0,0.3
20.0,1.0,5.0,3.0,2.0,0.6
21.0,-1.0,10.0,4.0,6.0,0.4
22.0,-1.0,6.0,0.0,6.0,0.0
23.0,-1.0,6.0,1.0,5.0,0.17
24.0,1.0,7.0,6.0,1.0,0.86
25.0,-1.0,10.0,3.0,7.0,0.3
26.0,-1.0,8.0,4.0,4.0,0.5
27.0,-1.0,8.0,3.0,5.0,0.38
28.0,-1.0,10.0,2.0,8.0,0.2
29.0,-1.0,7.0,2.0,5.0,0.29
30.0,-1.0,5.0,2.0,3.0,0.4
31.0,-1.0,8.0,0.0,8.0,0.0
32.0,-1.0,8.0,2.0,6.0,0.25
33.0,-1.0,7.0,2.0,5.0,0.29
34.0,1.0,7.0,4.0,3.0,0.57
35.0,-1.0,8.0,2.0,6.0,0.25
36.0,-1.0,9.0,3.0,6.0,0.33
37.0,-1.0,7.0,3.0,4.0,0.43
38.0,-1.0,5.0,1.0,4.0,0.2
39.0,-1.0,8.0,3.0,5.0,0.38
40.0,-1.0,4.0,1.0,3.0,0.25
41.0,-1.0,7.0,2.0,5.0,0.29
42.0,-1.0,3.0,1.0,2.0,0.33
43.0,-1.0,8.0,2.0,6.0,0.25
44.0,-1.0,4.0,2.0,2.0,0.5
45.0,-1.0,6.0,1.0,5.0,0.17
46.0,-1.0,10.0,4.0,6.0,0.4
47.0,-1.0,12.0,4.0,8.0,0.33
48.0,-1.0,6.0,2.0,4.0,0.33
49.0,-1.0,6.0,3.0,3.0,0.5
50.0,-1.0,9.0,3.0,6.0,0.33
51.0,-1.0,9.0,4.0,5.0,0.44
52.0,-1.0,6.0,0.0,6.0,0.0
53.0,-1.0,8.0,3.0,5.0,0.38
54.0,-1.0,6.0,3.0,3.0,0.5
55.0,-1.0,8.0,2.0,6.0,0.25
56.0,1.0,7.0,5.0,2.0,0.71
57.0,-1.0,11.0,2.0,9.0,0.18
58.0,-1.0,9.0,2.0,7.0,0.22
59.0,-1.0,6.0,1.0,5.0,0.17
60.0,-1.0,10.0,5.0,5.0,0.5
61.0,-1.0,4.0,1.0,3.0,0.25
62.0,-1.0,6.0,1.0,5.0,0.17
63.0,-1.0,9.0,1.0,8.0,0.11
64.0,-1.0,6.0,2.0,4.0,0.33
65.0,-1.0,8.0,2.0,6.0,0.25
66.0,-1.0,8.0,2.0,6.0,0.25
67.0,-1.0,5.0,0.0,5.0,0.0
68.0,-1.0,4.0,1.0,3.0,0.25
69.0,-1.0,4.0,1.0,3.0,0.25
70.0,1.0,7.0,5.0,2.0,0.71
71.0,-1.0,9.0,4.0,5.0,0.44
72.0,-1.0,6.0,0.0,6.0,0.0
73.0,-1.0,9.0,4.0,5.0,0.44
