,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,-1.0,7.0,1.0,6.0,0.14
2.0,-1.0,5.0,1.0,4.0,0.2
3.0,-1.0,6.0,2.0,4.0,0.33
4.0,1.0,7.0,4.0,3.0,0.57
5.0,-1.0,6.0,1.0,5.0,0.17
6.0,-1.0,9.0,4.0,5.0,0.44
7.0,-1.0,8.0,2.0,6.0,0.25
8.0,-1.0,6.0,3.0,3.0,0.5
9.0,-1.0,6.0,3.0,3.0,0.5
10.0,-1.0,8.0,2.0,6.0,0.25
11.0,-1.0,7.0,1.0,6.0,0.14
12.0,-1.0,5.0,1.0,4.0,0.2
13.0,1.0,8.0,5.0,3.0,0.63
14.0,1.0,3.0,2.0,1.0,0.67
15.0,-1.0,10.0,1.0,9.0,0.1
16.0,-1.0,6.0,3.0,3.0,0.5
17.0,-1.0,10.0,3.0,7.0,0.3
18.0,-1.0,8.0,4.0,4.0,0.5
19.0,-1.0,9.0,2.0,7.0,0.22
20.0,-1.0,10.0,1.0,9.0,0.1
21.0,-1.0,7.0,1.0,6.0,0.14
22.0,-1.0,9.0,2.0,7.0,0.22
23.0,1.0,10.0,6.0,4.0,0.6
24.0,-1.0,6.0,2.0,4.0,0.33
25.0,-1.0,7.0,3.0,4.0,0.43
26.0,-1.0,5.0,1.0,4.0,0.2
27.0,-1.0,10.0,3.0,7.0,0.3
28.0,-1.0,7.0,2.0,5.0,0.29
29.0,-1.0,4.0,0.0,4.0,0.0
30.0,1.0,6.0,5.0,1.0,0.83
31.0,-1.0,8.0,3.0,5.0,0.38
32.0,-1.0,9.0,2.0,7.0,0.22
33.0,-1.0,9.0,3.0,6.0,0.33
34.0,-1.0,11.0,4.0,7.0,0.36
35.0,-1.0,9.0,3.0,6.0,0.33
36.0,-1.0,10.0,3.0,7.0,0.3
37.0,-1.0,7.0,2.0,5.0,0.29
38.0,1.0,7.0,4.0,3.0,0.57
39.0,-1.0,6.0,2.0,4.0,0.33
40.0,-1.0,9.0,2.0,7.0,0.22
41.0,-1.0,4.0,0.0,4.0,0.0
42.0,-1.0,8.0,1.0,7.0,0.13
43.0,1.0,11.0,8.0,3.0,0.73
44.0,-1.0,4.0,0.0,4.0,0.0
45.0,-1.0,9.0,3.0,6.0,0.33
46.0,1.0,7.0,4.0,3.0,0.57
47.0,-1.0,10.0,3.0,7.0,0.3
48.0,-1.0,8.0,1.0,7.0,0.13
49.0,-1.0,6.0,1.0,5.0,0.17
