,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,-1.0,9.0,0.0,9.0,0.0
2.0,-1.0,8.0,1.0,7.0,0.13
3.0,-1.0,8.0,0.0,8.0,0.0
4.0,1.0,6.0,4.0,2.0,0.67
5.0,-1.0,7.0,1.0,6.0,0.14
6.0,-1.0,8.0,3.0,5.0,0.38
7.0,-1.0,6.0,3.0,3.0,0.5
8.0,-1.0,9.0,2.0,7.0,0.22
9.0,-1.0,13.0,3.0,10.0,0.23
10.0,1.0,7.0,4.0,3.0,0.57
11.0,-1.0,8.0,0.0,8.0,0.0
12.0,-1.0,7.0,2.0,5.0,0.29
13.0,1.0,9.0,5.0,4.0,0.56
14.0,-1.0,8.0,3.0,5.0,0.38
15.0,1.0,6.0,4.0,2.0,0.67
16.0,-1.0,8.0,2.0,6.0,0.25
17.0,-1.0,5.0,2.0,3.0,0.4
18.0,-1.0,9.0,1.0,8.0,0.11
19.0,-1.0,6.0,2.0,4.0,0.33
20.0,-1.0,8.0,4.0,4.0,0.5
21.0,-1.0,6.0,2.0,4.0,0.33
22.0,-1.0,8.0,3.0,5.0,0.38
23.0,-1.0,4.0,2.0,2.0,0.5
24.0,-1.0,11.0,2.0,9.0,0.18
25.0,-1.0,9.0,3.0,6.0,0.33
26.0,1.0,9.0,5.0,4.0,0.56
27.0,-1.0,7.0,2.0,5.0,0.29
28.0,-1.0,8.0,4.0,4.0,0.5
29.0,-1.0,6.0,3.0,3.0,0.5
30.0,-1.0,10.0,3.0,7.0,0.3
31.0,-1.0,11.0,2.0,9.0,0.18
32.0,-1.0,7.0,0.0,7.0,0.0
33.0,-1.0,7.0,3.0,4.0,0.43
34.0,-1.0,8.0,1.0,7.0,0.13
35.0,-1.0,7.0,3.0,4.0,0.43
36.0,-1.0,8.0,1.0,7.0,0.13
37.0,-1.0,8.0,2.0,6.0,0.25
38.0,-1.0,6.0,0.0,6.0,0.0
39.0,-1.0,10.0,5.0,5.0,0.5
40.0,-1.0,6.0,1.0,5.0,0.17
41.0,-1.0,9.0,3.0,6.0,0.33
