,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,-1.0,6.0,0.0,6.0,0.0
2.0,-1.0,5.0,1.0,4.0,0.2
3.0,-1.0,4.0,2.0,2.0,0.5
4.0,-1.0,9.0,2.0,7.0,0.22
5.0,-1.0,8.0,3.0,5.0,0.38
6.0,-1.0,10.0,2.0,8.0,0.2
7.0,-1.0,6.0,3.0,3.0,0.5
8.0,-1.0,8.0,4.0,4.0,0.5
9.0,-1.0,8.0,2.0,6.0,0.25
10.0,-1.0,7.0,1.0,6.0,0.14
11.0,-1.0,6.0,1.0,5.0,0.17
12.0,-1.0,12.0,4.0,8.0,0.33
13.0,-1.0,8.0,1.0,7.0,0.13
14.0,-1.0,9.0,3.0,6.0,0.33
15.0,-1.0,8.0,1.0,7.0,0.13
16.0,-1.0,8.0,4.0,4.0,0.5
17.0,-1.0,2.0,1.0,1.0,0.5
18.0,-1.0,8.0,3.0,5.0,0.38
19.0,-1.0,6.0,1.0,5.0,0.17
20.0,-1.0,7.0,2.0,5.0,0.29
21.0,-1.0,7.0,1.0,6.0,0.14
22.0,-1.0,11.0,2.0,9.0,0.18
23.0,-1.0,8.0,3.0,5.0,0.38
24.0,-1.0,6.0,2.0,4.0,0.33
25.0,1.0,5.0,3.0,2.0,0.6
26.0,-1.0,6.0,2.0,4.0,0.33
27.0,-1.0,7.0,3.0,4.0,0.43
28.0,1.0,7.0,4.0,3.0,0.57
29.0,-1.0,8.0,0.0,8.0,0.0
30.0,-1.0,8.0,2.0,6.0,0.25
31.0,-1.0,7.0,1.0,6.0,0.14
32.0,-1.0,9.0,3.0,6.0,0.33
33.0,-1.0,9.0,4.0,5.0,0.44
34.0,-1.0,6.0,0.0,6.0,0.0
35.0,1.0,7.0,4.0,3.0,0.57
36.0,-1.0,6.0,1.0,5.0,0.17
37.0,-1.0,5.0,0.0,5.0,0.0
38.0,-1.0,9.0,3.0,6.0,0.33
39.0,-1.0,8.0,2.0,6.0,0.25
40.0,-1.0,8.0,1.0,7.0,0.13
41.0,1.0,3.0,2.0,1.0,0.67
42.0,-1.0,8.0,3.0,5.0,0.38
