,Topic Divergence,Avg Compat Ratio,Burst Length
0.0,0.0,0.5,1.0
1.0,-1.0,0.2,10.0
2.0,-1.0,0.24,7.0
3.0,-1.0,0.32,5.0
4.0,-1.0,0.38,7.0
5.0,-1.0,0.46,10.0
6.0,-1.0,0.45,5.0
7.0,-1.0,0.43,9.0
8.0,-1.0,0.48,9.0
9.0,-1.0,0.5,8.0
10.0,-1.0,0.49,8.0
11.0,-1.0,0.48,9.0
12.0,1.0,0.51,12.0
13.0,-1.0,0.47,10.0
14.0,-1.0,0.47,4.0
15.0,-1.0,0.49,10.0
16.0,-1.0,0.48,4.0
17.0,-1.0,0.48,6.0
18.0,-1.0,0.49,7.0
19.0,-1.0,0.49,9.0
20.0,-1.0,0.5,5.0
21.0,-1.0,0.49,8.0
22.0,-1.0,0.49,8.0
23.0,-1.0,0.49,6.0
24.0,-1.0,0.48,8.0
25.0,-1.0,0.48,9.0
26.0,-1.0,0.49,7.0
27.0,-1.0,0.49,6.0
28.0,-1.0,0.49,7.0
29.0,-1.0,0.49,7.0
30.0,-1.0,0.49,6.0
31.0,-1.0,0.5,4.0
32.0,-1.0,0.49,10.0
33.0,-1.0,0.48,7.0
34.0,-1.0,0.49,9.0
35.0,-1.0,0.5,7.0
36.0,-1.0,0.49,8.0
37.0,-1.0,0.49,6.0
38.0,-1.0,0.49,7.0
39.0,-1.0,0.49,12.0
40.0,-1.0,0.5,8.0
41.0,-1.0,0.5,8.0
42.0,-1.0,0.5,5.0
43.0,-1.0,0.49,9.0
44.0,-1.0,0.49,7.0
45.0,-1.0,0.5,6.0
46.0,1.0,0.51,8.0
47.0,-1.0,0.5,4.0
48.0,1.0,0.51,6.0
49.0,1.0,0.51,8.0
50.0,1.0,0.51,6.0
51.0,1.0,0.51,12.0
52.0,1.0,0.52,9.0
53.0,1.0,0.52,7.0
54.0,1.0,0.53,8.0
55.0,1.0,0.53,8.0
56.0,1.0,0.53,9.0
57.0,1.0,0.53,7.0
58.0,1.0,0.53,11.0
59.0,1.0,0.53,6.0
60.0,1.0,0.53,10.0
61.0,1.0,0.52,9.0
62.0,1.0,0.52,8.0
63.0,1.0,0.52,10.0
64.0,1.0,0.52,7.0
65.0,1.0,0.52,8.0
66.0,1.0,0.53,11.0
67.0,1.0,0.53,10.0
68.0,1.0,0.53,4.0
69.0,1.0,0.52,5.0
70.0,1.0,0.53,7.0
71.0,1.0,0.53,7.0
72.0,1.0,0.52,5.0
73.0,1.0,0.53,8.0
74.0,1.0,0.52,8.0
75.0,1.0,0.53,10.0
76.0,1.0,0.53,7.0
77.0,1.0,0.53,9.0
78.0,1.0,0.53,8.0
79.0,1.0,0.53,10.0
80.0,1.0,0.53,4.0
81.0,1.0,0.53,10.0
82.0,1.0,0.53,8.0
83.0,1.0,0.53,8.0
84.0,1.0,0.53,9.0
85.0,1.0,0.52,4.0
86.0,1.0,0.52,7.0
87.0,1.0,0.53,9.0
88.0,1.0,0.53,6.0
