,Topic Divergence,Avg Compat Ratio,Burst Length
0.0,0.0,0.5,1.0
1.0,-1.0,0.13,8.0
2.0,-1.0,0.5,10.0
3.0,-1.0,0.41,9.0
4.0,-1.0,0.36,9.0
5.0,-1.0,0.34,5.0
6.0,-1.0,0.38,6.0
7.0,-1.0,0.41,9.0
8.0,-1.0,0.41,5.0
9.0,-1.0,0.44,10.0
10.0,-1.0,0.41,9.0
11.0,-1.0,0.43,8.0
12.0,-1.0,0.45,11.0
13.0,-1.0,0.45,9.0
14.0,-1.0,0.46,8.0
15.0,-1.0,0.45,7.0
16.0,-1.0,0.44,10.0
17.0,-1.0,0.46,6.0
18.0,-1.0,0.44,6.0
19.0,-1.0,0.44,5.0
20.0,-1.0,0.43,11.0
21.0,-1.0,0.44,9.0
22.0,-1.0,0.43,6.0
23.0,-1.0,0.43,7.0
24.0,-1.0,0.43,4.0
25.0,-1.0,0.43,8.0
26.0,-1.0,0.43,5.0
27.0,-1.0,0.42,9.0
28.0,-1.0,0.43,6.0
29.0,-1.0,0.43,6.0
30.0,-1.0,0.43,9.0
31.0,-1.0,0.44,9.0
32.0,-1.0,0.46,8.0
33.0,-1.0,0.45,9.0
34.0,-1.0,0.45,9.0
35.0,-1.0,0.44,9.0
36.0,-1.0,0.44,9.0
37.0,-1.0,0.44,9.0
38.0,-1.0,0.44,7.0
39.0,-1.0,0.44,10.0
40.0,-1.0,0.44,8.0
41.0,-1.0,0.45,6.0
42.0,-1.0,0.47,11.0
43.0,-1.0,0.46,8.0
44.0,-1.0,0.46,11.0
45.0,-1.0,0.46,3.0
46.0,-1.0,0.46,9.0
47.0,-1.0,0.46,7.0
48.0,-1.0,0.46,7.0
49.0,-1.0,0.46,9.0
50.0,-1.0,0.46,7.0
51.0,-1.0,0.46,5.0
52.0,-1.0,0.46,11.0
53.0,-1.0,0.45,10.0
54.0,-1.0,0.45,5.0
55.0,-1.0,0.45,10.0
56.0,-1.0,0.45,7.0
57.0,-1.0,0.45,10.0
58.0,-1.0,0.45,11.0
59.0,-1.0,0.45,12.0
60.0,-1.0,0.45,7.0
61.0,-1.0,0.45,7.0
62.0,-1.0,0.45,4.0
63.0,-1.0,0.46,9.0
64.0,-1.0,0.45,10.0
65.0,-1.0,0.46,9.0
66.0,-1.0,0.46,8.0
67.0,-1.0,0.46,8.0
68.0,-1.0,0.46,10.0
69.0,-1.0,0.45,8.0
70.0,-1.0,0.45,5.0
71.0,-1.0,0.46,7.0
72.0,-1.0,0.46,8.0
73.0,-1.0,0.46,11.0
74.0,-1.0,0.46,9.0
75.0,-1.0,0.45,8.0
76.0,-1.0,0.46,9.0
77.0,-1.0,0.46,9.0
78.0,-1.0,0.46,7.0
79.0,-1.0,0.46,5.0
80.0,-1.0,0.46,12.0
81.0,-1.0,0.45,9.0
82.0,-1.0,0.46,10.0
83.0,-1.0,0.46,8.0
84.0,-1.0,0.46,7.0
85.0,-1.0,0.46,12.0
86.0,-1.0,0.46,8.0
87.0,-1.0,0.47,8.0
88.0,-1.0,0.47,11.0
89.0,-1.0,0.47,9.0
90.0,-1.0,0.47,5.0
91.0,-1.0,0.47,10.0
92.0,-1.0,0.47,6.0
93.0,-1.0,0.47,5.0
94.0,-1.0,0.47,6.0
95.0,-1.0,0.47,10.0
96.0,-1.0,0.47,9.0
97.0,-1.0,0.47,10.0
98.0,-1.0,0.48,9.0
99.0,-1.0,0.48,8.0
100.0,-1.0,0.47,9.0
101.0,-1.0,0.48,11.0
102.0,-1.0,0.48,8.0
103.0,-1.0,0.48,7.0
104.0,-1.0,0.48,4.0
105.0,-1.0,0.48,8.0
106.0,-1.0,0.48,5.0
107.0,-1.0,0.48,10.0
108.0,-1.0,0.48,7.0
109.0,-1.0,0.48,14.0
110.0,-1.0,0.48,9.0
111.0,-1.0,0.48,10.0
112.0,-1.0,0.48,7.0
113.0,-1.0,0.48,11.0
114.0,-1.0,0.48,12.0
115.0,-1.0,0.48,6.0
116.0,-1.0,0.48,8.0
117.0,-1.0,0.48,9.0
118.0,-1.0,0.48,5.0
119.0,-1.0,0.48,9.0
120.0,-1.0,0.48,7.0
121.0,-1.0,0.48,3.0
122.0,-1.0,0.48,8.0
123.0,-1.0,0.48,3.0
124.0,-1.0,0.48,9.0
125.0,-1.0,0.48,5.0
126.0,-1.0,0.48,6.0
127.0,-1.0,0.48,9.0
128.0,-1.0,0.48,7.0
