,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,5.0,5.0,0.0,1.0
2.0,1.0,7.0,6.0,1.0,0.86
3.0,-1.0,2.0,1.0,1.0,0.5
4.0,-1.0,3.0,0.0,3.0,0.0
5.0,-1.0,8.0,2.0,6.0,0.25
6.0,-1.0,6.0,1.0,5.0,0.17
7.0,-1.0,6.0,2.0,4.0,0.33
8.0,-1.0,8.0,2.0,6.0,0.25
9.0,1.0,5.0,3.0,2.0,0.6
10.0,-1.0,4.0,2.0,2.0,0.5
11.0,-1.0,5.0,1.0,4.0,0.2
12.0,1.0,6.0,4.0,2.0,0.67
13.0,-1.0,7.0,2.0,5.0,0.29
14.0,-1.0,6.0,3.0,3.0,0.5
15.0,-1.0,8.0,3.0,5.0,0.38
16.0,-1.0,6.0,2.0,4.0,0.33
17.0,-1.0,7.0,3.0,4.0,0.43
18.0,-1.0,6.0,3.0,3.0,0.5
19.0,-1.0,6.0,1.0,5.0,0.17
20.0,-1.0,8.0,3.0,5.0,0.38
21.0,-1.0,6.0,2.0,4.0,0.33
22.0,-1.0,5.0,1.0,4.0,0.2
23.0,-1.0,4.0,1.0,3.0,0.25
24.0,-1.0,9.0,3.0,6.0,0.33
25.0,-1.0,2.0,0.0,2.0,0.0
26.0,-1.0,10.0,3.0,7.0,0.3
27.0,1.0,2.0,2.0,0.0,1.0
28.0,-1.0,9.0,4.0,5.0,0.44
29.0,-1.0,6.0,1.0,5.0,0.17
30.0,-1.0,4.0,1.0,3.0,0.25
31.0,-1.0,7.0,2.0,5.0,0.29
32.0,-1.0,4.0,1.0,3.0,0.25
33.0,-1.0,7.0,3.0,4.0,0.43
34.0,-1.0,6.0,3.0,3.0,0.5
35.0,-1.0,3.0,1.0,2.0,0.33
36.0,-1.0,4.0,2.0,2.0,0.5
37.0,-1.0,6.0,0.0,6.0,0.0
38.0,-1.0,5.0,0.0,5.0,0.0
39.0,-1.0,6.0,0.0,6.0,0.0
40.0,-1.0,7.0,1.0,6.0,0.14
41.0,-1.0,8.0,1.0,7.0,0.13
42.0,-1.0,5.0,2.0,3.0,0.4
43.0,-1.0,5.0,0.0,5.0,0.0
44.0,-1.0,6.0,3.0,3.0,0.5
45.0,-1.0,3.0,0.0,3.0,0.0
46.0,1.0,4.0,3.0,1.0,0.75
47.0,-1.0,9.0,3.0,6.0,0.33
48.0,-1.0,3.0,1.0,2.0,0.33
49.0,-1.0,4.0,1.0,3.0,0.25
50.0,-1.0,6.0,2.0,4.0,0.33
51.0,-1.0,9.0,3.0,6.0,0.33
52.0,-1.0,4.0,1.0,3.0,0.25
53.0,-1.0,7.0,1.0,6.0,0.14
54.0,-1.0,3.0,0.0,3.0,0.0
55.0,-1.0,5.0,2.0,3.0,0.4
56.0,-1.0,7.0,2.0,5.0,0.29
57.0,1.0,7.0,5.0,2.0,0.71
58.0,-1.0,8.0,4.0,4.0,0.5
59.0,-1.0,6.0,2.0,4.0,0.33
60.0,-1.0,4.0,0.0,4.0,0.0
61.0,-1.0,5.0,1.0,4.0,0.2
62.0,1.0,6.0,4.0,2.0,0.67
63.0,-1.0,7.0,2.0,5.0,0.29
64.0,-1.0,6.0,2.0,4.0,0.33
65.0,-1.0,7.0,1.0,6.0,0.14
66.0,-1.0,7.0,1.0,6.0,0.14
67.0,-1.0,4.0,2.0,2.0,0.5
68.0,1.0,8.0,5.0,3.0,0.63
69.0,-1.0,6.0,2.0,4.0,0.33
70.0,-1.0,5.0,2.0,3.0,0.4
71.0,1.0,4.0,3.0,1.0,0.75
72.0,-1.0,6.0,1.0,5.0,0.17
73.0,-1.0,8.0,3.0,5.0,0.38
74.0,1.0,7.0,4.0,3.0,0.57
75.0,1.0,8.0,5.0,3.0,0.63
76.0,-1.0,4.0,2.0,2.0,0.5
77.0,-1.0,6.0,0.0,6.0,0.0
78.0,1.0,6.0,4.0,2.0,0.67
79.0,-1.0,4.0,2.0,2.0,0.5
80.0,-1.0,9.0,4.0,5.0,0.44
81.0,-1.0,6.0,2.0,4.0,0.33
82.0,-1.0,7.0,2.0,5.0,0.29
83.0,-1.0,4.0,1.0,3.0,0.25
84.0,1.0,6.0,4.0,2.0,0.67
85.0,1.0,7.0,5.0,2.0,0.71
86.0,-1.0,6.0,1.0,5.0,0.17
87.0,-1.0,8.0,3.0,5.0,0.38
88.0,-1.0,7.0,3.0,4.0,0.43
89.0,-1.0,4.0,2.0,2.0,0.5
90.0,-1.0,6.0,3.0,3.0,0.5
91.0,-1.0,6.0,3.0,3.0,0.5
92.0,-1.0,4.0,2.0,2.0,0.5
93.0,1.0,10.0,6.0,4.0,0.6
94.0,1.0,7.0,5.0,2.0,0.71
95.0,-1.0,2.0,0.0,2.0,0.0
96.0,1.0,7.0,4.0,3.0,0.57
97.0,-1.0,6.0,1.0,5.0,0.17
98.0,-1.0,6.0,1.0,5.0,0.17
99.0,-1.0,6.0,2.0,4.0,0.33
100.0,-1.0,8.0,3.0,5.0,0.38
101.0,-1.0,2.0,0.0,2.0,0.0
102.0,-1.0,7.0,2.0,5.0,0.29
103.0,1.0,4.0,3.0,1.0,0.75
104.0,-1.0,10.0,5.0,5.0,0.5
105.0,1.0,6.0,4.0,2.0,0.67
106.0,-1.0,5.0,1.0,4.0,0.2
107.0,1.0,8.0,5.0,3.0,0.63
108.0,1.0,4.0,3.0,1.0,0.75
109.0,1.0,5.0,3.0,2.0,0.6
110.0,-1.0,6.0,3.0,3.0,0.5
111.0,-1.0,7.0,1.0,6.0,0.14
112.0,-1.0,8.0,2.0,6.0,0.25
113.0,-1.0,6.0,2.0,4.0,0.33
114.0,-1.0,8.0,2.0,6.0,0.25
115.0,-1.0,5.0,2.0,3.0,0.4
116.0,-1.0,6.0,2.0,4.0,0.33
117.0,-1.0,7.0,1.0,6.0,0.14
118.0,-1.0,5.0,2.0,3.0,0.4
119.0,-1.0,6.0,1.0,5.0,0.17
120.0,-1.0,6.0,1.0,5.0,0.17
121.0,-1.0,6.0,0.0,6.0,0.0
122.0,1.0,4.0,3.0,1.0,0.75
123.0,-1.0,7.0,3.0,4.0,0.43
124.0,-1.0,4.0,2.0,2.0,0.5
125.0,-1.0,6.0,2.0,4.0,0.33
126.0,-1.0,7.0,2.0,5.0,0.29
127.0,-1.0,6.0,2.0,4.0,0.33
128.0,1.0,9.0,5.0,4.0,0.56
129.0,-1.0,6.0,2.0,4.0,0.33
130.0,1.0,5.0,3.0,2.0,0.6
131.0,-1.0,5.0,1.0,4.0,0.2
132.0,1.0,7.0,4.0,3.0,0.57
133.0,-1.0,4.0,2.0,2.0,0.5
134.0,-1.0,7.0,1.0,6.0,0.14
135.0,1.0,4.0,3.0,1.0,0.75
136.0,-1.0,6.0,1.0,5.0,0.17
137.0,-1.0,5.0,2.0,3.0,0.4
138.0,-1.0,5.0,2.0,3.0,0.4
139.0,-1.0,6.0,2.0,4.0,0.33
140.0,-1.0,7.0,2.0,5.0,0.29
141.0,-1.0,7.0,1.0,6.0,0.14
142.0,-1.0,4.0,0.0,4.0,0.0
143.0,-1.0,8.0,3.0,5.0,0.38
144.0,-1.0,6.0,3.0,3.0,0.5
145.0,-1.0,5.0,2.0,3.0,0.4
146.0,-1.0,8.0,2.0,6.0,0.25
147.0,-1.0,4.0,2.0,2.0,0.5
148.0,1.0,12.0,7.0,5.0,0.58
149.0,-1.0,3.0,0.0,3.0,0.0
150.0,-1.0,7.0,3.0,4.0,0.43
151.0,1.0,6.0,4.0,2.0,0.67
152.0,-1.0,6.0,2.0,4.0,0.33
153.0,-1.0,3.0,0.0,3.0,0.0
154.0,-1.0,4.0,1.0,3.0,0.25
155.0,-1.0,6.0,1.0,5.0,0.17
156.0,-1.0,4.0,2.0,2.0,0.5
157.0,1.0,6.0,4.0,2.0,0.67
158.0,-1.0,7.0,2.0,5.0,0.29
159.0,-1.0,8.0,4.0,4.0,0.5
160.0,1.0,3.0,2.0,1.0,0.67
161.0,-1.0,3.0,1.0,2.0,0.33
162.0,-1.0,7.0,3.0,4.0,0.43
163.0,-1.0,5.0,2.0,3.0,0.4
164.0,-1.0,5.0,1.0,4.0,0.2
165.0,-1.0,8.0,0.0,8.0,0.0
166.0,-1.0,6.0,1.0,5.0,0.17
167.0,-1.0,8.0,3.0,5.0,0.38
168.0,-1.0,7.0,2.0,5.0,0.29
169.0,-1.0,6.0,0.0,6.0,0.0
170.0,-1.0,7.0,1.0,6.0,0.14
171.0,-1.0,3.0,1.0,2.0,0.33
172.0,-1.0,5.0,2.0,3.0,0.4
173.0,-1.0,4.0,2.0,2.0,0.5
174.0,-1.0,6.0,3.0,3.0,0.5
175.0,-1.0,9.0,1.0,8.0,0.11
176.0,-1.0,8.0,2.0,6.0,0.25
177.0,-1.0,4.0,0.0,4.0,0.0
178.0,-1.0,6.0,2.0,4.0,0.33
179.0,-1.0,8.0,2.0,6.0,0.25
180.0,-1.0,2.0,0.0,2.0,0.0
181.0,-1.0,11.0,4.0,7.0,0.36
182.0,-1.0,9.0,3.0,6.0,0.33
183.0,-1.0,1.0,0.0,1.0,0.0
184.0,-1.0,7.0,2.0,5.0,0.29
185.0,-1.0,5.0,2.0,3.0,0.4
