,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,2.0,2.0,0.0,1.0
2.0,-1.0,9.0,3.0,6.0,0.33
3.0,-1.0,2.0,0.0,2.0,0.0
4.0,-1.0,7.0,2.0,5.0,0.29
5.0,-1.0,6.0,2.0,4.0,0.33
6.0,-1.0,8.0,3.0,5.0,0.38
7.0,-1.0,5.0,2.0,3.0,0.4
8.0,-1.0,6.0,3.0,3.0,0.5
9.0,1.0,3.0,2.0,1.0,0.67
10.0,-1.0,10.0,2.0,8.0,0.2
11.0,-1.0,3.0,1.0,2.0,0.33
12.0,-1.0,8.0,2.0,6.0,0.25
13.0,-1.0,5.0,1.0,4.0,0.2
14.0,-1.0,4.0,1.0,3.0,0.25
15.0,-1.0,10.0,4.0,6.0,0.4
16.0,-1.0,4.0,1.0,3.0,0.25
17.0,-1.0,4.0,1.0,3.0,0.25
18.0,-1.0,7.0,2.0,5.0,0.29
19.0,-1.0,2.0,1.0,1.0,0.5
20.0,-1.0,4.0,2.0,2.0,0.5
21.0,-1.0,7.0,2.0,5.0,0.29
22.0,-1.0,2.0,0.0,2.0,0.0
23.0,-1.0,9.0,2.0,7.0,0.22
24.0,-1.0,4.0,0.0,4.0,0.0
25.0,-1.0,9.0,4.0,5.0,0.44
26.0,-1.0,5.0,2.0,3.0,0.4
27.0,-1.0,6.0,2.0,4.0,0.33
28.0,-1.0,4.0,0.0,4.0,0.0
29.0,-1.0,8.0,1.0,7.0,0.13
30.0,-1.0,4.0,2.0,2.0,0.5
31.0,-1.0,4.0,2.0,2.0,0.5
32.0,1.0,6.0,4.0,2.0,0.67
33.0,1.0,9.0,6.0,3.0,0.67
34.0,-1.0,3.0,1.0,2.0,0.33
35.0,-1.0,6.0,1.0,5.0,0.17
36.0,-1.0,5.0,1.0,4.0,0.2
37.0,-1.0,4.0,0.0,4.0,0.0
38.0,-1.0,7.0,2.0,5.0,0.29
39.0,1.0,5.0,3.0,2.0,0.6
40.0,-1.0,7.0,3.0,4.0,0.43
41.0,-1.0,3.0,1.0,2.0,0.33
42.0,-1.0,7.0,1.0,6.0,0.14
43.0,-1.0,4.0,1.0,3.0,0.25
44.0,-1.0,4.0,1.0,3.0,0.25
45.0,-1.0,4.0,1.0,3.0,0.25
46.0,-1.0,11.0,3.0,8.0,0.27
47.0,-1.0,7.0,2.0,5.0,0.29
48.0,-1.0,5.0,2.0,3.0,0.4
49.0,-1.0,6.0,2.0,4.0,0.33
50.0,-1.0,8.0,2.0,6.0,0.25
51.0,-1.0,3.0,0.0,3.0,0.0
52.0,-1.0,7.0,3.0,4.0,0.43
53.0,-1.0,3.0,0.0,3.0,0.0
54.0,1.0,4.0,3.0,1.0,0.75
55.0,-1.0,12.0,4.0,8.0,0.33
56.0,1.0,6.0,4.0,2.0,0.67
57.0,-1.0,4.0,1.0,3.0,0.25
58.0,-1.0,8.0,4.0,4.0,0.5
59.0,1.0,6.0,4.0,2.0,0.67
60.0,-1.0,6.0,3.0,3.0,0.5
61.0,1.0,5.0,4.0,1.0,0.8
62.0,-1.0,5.0,1.0,4.0,0.2
63.0,-1.0,1.0,0.0,1.0,0.0
64.0,-1.0,4.0,1.0,3.0,0.25
65.0,1.0,5.0,3.0,2.0,0.6
66.0,-1.0,9.0,4.0,5.0,0.44
67.0,-1.0,2.0,0.0,2.0,0.0
68.0,-1.0,6.0,2.0,4.0,0.33
69.0,-1.0,3.0,0.0,3.0,0.0
70.0,-1.0,5.0,2.0,3.0,0.4
71.0,1.0,5.0,3.0,2.0,0.6
72.0,1.0,5.0,4.0,1.0,0.8
73.0,-1.0,4.0,2.0,2.0,0.5
74.0,-1.0,6.0,1.0,5.0,0.17
75.0,-1.0,6.0,0.0,6.0,0.0
76.0,-1.0,7.0,1.0,6.0,0.14
77.0,1.0,3.0,2.0,1.0,0.67
78.0,-1.0,6.0,1.0,5.0,0.17
79.0,-1.0,8.0,0.0,8.0,0.0
80.0,-1.0,7.0,2.0,5.0,0.29
81.0,-1.0,4.0,1.0,3.0,0.25
82.0,-1.0,7.0,2.0,5.0,0.29
83.0,1.0,3.0,2.0,1.0,0.67
84.0,-1.0,3.0,0.0,3.0,0.0
85.0,-1.0,5.0,2.0,3.0,0.4
86.0,-1.0,3.0,1.0,2.0,0.33
87.0,-1.0,6.0,1.0,5.0,0.17
88.0,-1.0,6.0,3.0,3.0,0.5
89.0,-1.0,7.0,1.0,6.0,0.14
90.0,-1.0,5.0,0.0,5.0,0.0
91.0,-1.0,5.0,1.0,4.0,0.2
92.0,-1.0,7.0,2.0,5.0,0.29
93.0,-1.0,8.0,3.0,5.0,0.38
94.0,1.0,5.0,4.0,1.0,0.8
95.0,-1.0,7.0,3.0,4.0,0.43
96.0,-1.0,1.0,0.0,1.0,0.0
97.0,-1.0,10.0,3.0,7.0,0.3
98.0,-1.0,7.0,1.0,6.0,0.14
99.0,-1.0,4.0,1.0,3.0,0.25
100.0,-1.0,6.0,3.0,3.0,0.5
101.0,1.0,8.0,5.0,3.0,0.63
102.0,1.0,2.0,2.0,0.0,1.0
103.0,-1.0,3.0,1.0,2.0,0.33
104.0,1.0,5.0,4.0,1.0,0.8
105.0,-1.0,5.0,2.0,3.0,0.4
106.0,-1.0,5.0,1.0,4.0,0.2
107.0,-1.0,2.0,0.0,2.0,0.0
108.0,-1.0,7.0,3.0,4.0,0.43
109.0,1.0,3.0,2.0,1.0,0.67
110.0,-1.0,8.0,4.0,4.0,0.5
111.0,-1.0,6.0,1.0,5.0,0.17
112.0,-1.0,9.0,2.0,7.0,0.22
113.0,-1.0,7.0,3.0,4.0,0.43
114.0,-1.0,4.0,1.0,3.0,0.25
115.0,-1.0,4.0,1.0,3.0,0.25
116.0,-1.0,7.0,1.0,6.0,0.14
117.0,1.0,2.0,2.0,0.0,1.0
118.0,-1.0,6.0,2.0,4.0,0.33
119.0,-1.0,6.0,2.0,4.0,0.33
120.0,-1.0,8.0,2.0,6.0,0.25
121.0,-1.0,8.0,2.0,6.0,0.25
122.0,-1.0,6.0,1.0,5.0,0.17
123.0,-1.0,7.0,2.0,5.0,0.29
124.0,-1.0,2.0,0.0,2.0,0.0
125.0,-1.0,7.0,1.0,6.0,0.14
126.0,-1.0,4.0,1.0,3.0,0.25
127.0,1.0,9.0,5.0,4.0,0.56
128.0,-1.0,5.0,1.0,4.0,0.2
129.0,-1.0,7.0,0.0,7.0,0.0
130.0,-1.0,4.0,1.0,3.0,0.25
131.0,-1.0,4.0,2.0,2.0,0.5
132.0,1.0,7.0,5.0,2.0,0.71
133.0,-1.0,6.0,1.0,5.0,0.17
134.0,-1.0,10.0,3.0,7.0,0.3
135.0,1.0,3.0,2.0,1.0,0.67
136.0,-1.0,7.0,3.0,4.0,0.43
137.0,-1.0,7.0,1.0,6.0,0.14
138.0,-1.0,5.0,1.0,4.0,0.2
139.0,1.0,9.0,5.0,4.0,0.56
140.0,-1.0,6.0,1.0,5.0,0.17
141.0,-1.0,5.0,2.0,3.0,0.4
142.0,1.0,1.0,1.0,0.0,1.0
143.0,1.0,5.0,3.0,2.0,0.6
144.0,-1.0,5.0,2.0,3.0,0.4
145.0,-1.0,5.0,1.0,4.0,0.2
146.0,-1.0,4.0,2.0,2.0,0.5
147.0,-1.0,8.0,3.0,5.0,0.38
148.0,1.0,4.0,3.0,1.0,0.75
149.0,-1.0,6.0,3.0,3.0,0.5
150.0,-1.0,7.0,1.0,6.0,0.14
151.0,-1.0,5.0,2.0,3.0,0.4
152.0,-1.0,3.0,0.0,3.0,0.0
153.0,-1.0,3.0,0.0,3.0,0.0
154.0,-1.0,8.0,2.0,6.0,0.25
155.0,-1.0,9.0,2.0,7.0,0.22
156.0,1.0,4.0,3.0,1.0,0.75
157.0,1.0,9.0,6.0,3.0,0.67
158.0,1.0,4.0,3.0,1.0,0.75
159.0,-1.0,5.0,2.0,3.0,0.4
160.0,-1.0,7.0,1.0,6.0,0.14
161.0,-1.0,8.0,3.0,5.0,0.38
162.0,-1.0,5.0,0.0,5.0,0.0
163.0,-1.0,4.0,1.0,3.0,0.25
164.0,-1.0,6.0,3.0,3.0,0.5
165.0,-1.0,9.0,4.0,5.0,0.44
166.0,-1.0,6.0,2.0,4.0,0.33
167.0,-1.0,9.0,2.0,7.0,0.22
168.0,-1.0,4.0,1.0,3.0,0.25
169.0,1.0,8.0,5.0,3.0,0.63
170.0,-1.0,8.0,2.0,6.0,0.25
171.0,1.0,5.0,3.0,2.0,0.6
172.0,-1.0,3.0,0.0,3.0,0.0
173.0,-1.0,5.0,2.0,3.0,0.4
174.0,-1.0,6.0,2.0,4.0,0.33
175.0,-1.0,7.0,3.0,4.0,0.43
176.0,1.0,6.0,4.0,2.0,0.67
177.0,-1.0,4.0,2.0,2.0,0.5
178.0,1.0,7.0,4.0,3.0,0.57
179.0,-1.0,7.0,0.0,7.0,0.0
180.0,-1.0,4.0,0.0,4.0,0.0
181.0,-1.0,8.0,3.0,5.0,0.38
182.0,-1.0,6.0,1.0,5.0,0.17
183.0,1.0,7.0,4.0,3.0,0.57
184.0,-1.0,5.0,2.0,3.0,0.4
185.0,-1.0,3.0,0.0,3.0,0.0
186.0,-1.0,8.0,1.0,7.0,0.13
187.0,-1.0,8.0,1.0,7.0,0.13
188.0,1.0,6.0,4.0,2.0,0.67
189.0,1.0,5.0,4.0,1.0,0.8
190.0,-1.0,5.0,1.0,4.0,0.2
191.0,-1.0,5.0,0.0,5.0,0.0
192.0,-1.0,6.0,0.0,6.0,0.0
193.0,-1.0,10.0,3.0,7.0,0.3
194.0,-1.0,3.0,1.0,2.0,0.33
195.0,-1.0,4.0,0.0,4.0,0.0
196.0,-1.0,8.0,1.0,7.0,0.13
197.0,-1.0,9.0,2.0,7.0,0.22
198.0,-1.0,3.0,1.0,2.0,0.33
199.0,-1.0,4.0,0.0,4.0,0.0
200.0,-1.0,7.0,3.0,4.0,0.43
201.0,-1.0,2.0,0.0,2.0,0.0
202.0,1.0,5.0,3.0,2.0,0.6
203.0,1.0,6.0,4.0,2.0,0.67
204.0,-1.0,6.0,3.0,3.0,0.5
205.0,-1.0,6.0,0.0,6.0,0.0
206.0,-1.0,4.0,2.0,2.0,0.5
207.0,-1.0,2.0,1.0,1.0,0.5
208.0,-1.0,5.0,2.0,3.0,0.4
209.0,1.0,7.0,4.0,3.0,0.57
210.0,1.0,3.0,2.0,1.0,0.67
211.0,-1.0,6.0,2.0,4.0,0.33
212.0,1.0,5.0,3.0,2.0,0.6
213.0,-1.0,4.0,1.0,3.0,0.25
214.0,-1.0,4.0,2.0,2.0,0.5
215.0,1.0,7.0,5.0,2.0,0.71
