,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,11.0,11.0,0.0,1.0
2.0,1.0,14.0,11.0,3.0,0.79
3.0,1.0,15.0,15.0,0.0,1.0
4.0,1.0,13.0,11.0,2.0,0.85
5.0,1.0,14.0,12.0,2.0,0.86
6.0,1.0,13.0,11.0,2.0,0.85
7.0,1.0,14.0,12.0,2.0,0.86
8.0,1.0,12.0,10.0,2.0,0.83
9.0,1.0,15.0,15.0,0.0,1.0
10.0,1.0,13.0,12.0,1.0,0.92
11.0,1.0,14.0,14.0,0.0,1.0
12.0,1.0,12.0,10.0,2.0,0.83
13.0,1.0,14.0,12.0,2.0,0.86
14.0,1.0,13.0,12.0,1.0,0.92
15.0,1.0,14.0,13.0,1.0,0.93
16.0,1.0,14.0,13.0,1.0,0.93
17.0,1.0,14.0,13.0,1.0,0.93
18.0,1.0,12.0,11.0,1.0,0.92
19.0,1.0,15.0,14.0,1.0,0.93
20.0,1.0,15.0,14.0,1.0,0.93
21.0,1.0,14.0,13.0,1.0,0.93
22.0,1.0,14.0,13.0,1.0,0.93
23.0,1.0,15.0,13.0,2.0,0.87
24.0,1.0,14.0,14.0,0.0,1.0
25.0,1.0,15.0,13.0,2.0,0.87
26.0,1.0,12.0,12.0,0.0,1.0
27.0,1.0,13.0,12.0,1.0,0.92
28.0,1.0,12.0,12.0,0.0,1.0
29.0,1.0,13.0,10.0,3.0,0.77
30.0,1.0,14.0,13.0,1.0,0.93
31.0,1.0,15.0,12.0,3.0,0.8
32.0,1.0,13.0,12.0,1.0,0.92
33.0,1.0,14.0,11.0,3.0,0.79
34.0,1.0,13.0,13.0,0.0,1.0
35.0,1.0,15.0,12.0,3.0,0.8
36.0,1.0,15.0,15.0,0.0,1.0
37.0,1.0,14.0,12.0,2.0,0.86
38.0,1.0,14.0,14.0,0.0,1.0
39.0,1.0,10.0,9.0,1.0,0.9
40.0,1.0,13.0,11.0,2.0,0.85
41.0,1.0,13.0,12.0,1.0,0.92
42.0,1.0,14.0,12.0,2.0,0.86
43.0,1.0,15.0,13.0,2.0,0.87
44.0,1.0,14.0,13.0,1.0,0.93
45.0,1.0,14.0,13.0,1.0,0.93
46.0,1.0,15.0,12.0,3.0,0.8
47.0,1.0,15.0,14.0,1.0,0.93
48.0,1.0,13.0,11.0,2.0,0.85
49.0,1.0,14.0,14.0,0.0,1.0
50.0,1.0,14.0,13.0,1.0,0.93
51.0,1.0,15.0,14.0,1.0,0.93
52.0,1.0,14.0,13.0,1.0,0.93
53.0,1.0,13.0,11.0,2.0,0.85
54.0,1.0,13.0,11.0,2.0,0.85
55.0,1.0,14.0,13.0,1.0,0.93
56.0,1.0,12.0,10.0,2.0,0.83
57.0,1.0,14.0,14.0,0.0,1.0
58.0,1.0,13.0,11.0,2.0,0.85
59.0,1.0,14.0,14.0,0.0,1.0
60.0,1.0,15.0,13.0,2.0,0.87
61.0,1.0,13.0,13.0,0.0,1.0
62.0,1.0,15.0,12.0,3.0,0.8
63.0,1.0,14.0,14.0,0.0,1.0
64.0,1.0,13.0,11.0,2.0,0.85
65.0,1.0,14.0,11.0,3.0,0.79
66.0,1.0,13.0,12.0,1.0,0.92
67.0,1.0,14.0,12.0,2.0,0.86
68.0,1.0,12.0,12.0,0.0,1.0
69.0,1.0,14.0,12.0,2.0,0.86
70.0,1.0,13.0,13.0,0.0,1.0
71.0,1.0,15.0,13.0,2.0,0.87
72.0,1.0,14.0,14.0,0.0,1.0
73.0,1.0,15.0,13.0,2.0,0.87
74.0,1.0,11.0,11.0,0.0,1.0
75.0,1.0,12.0,10.0,2.0,0.83
76.0,1.0,14.0,12.0,2.0,0.86
77.0,1.0,13.0,11.0,2.0,0.85
78.0,1.0,14.0,14.0,0.0,1.0
79.0,1.0,13.0,11.0,2.0,0.85
