,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,12.0,12.0,0.0,1.0
2.0,1.0,14.0,13.0,1.0,0.93
3.0,1.0,15.0,13.0,2.0,0.87
4.0,1.0,14.0,12.0,2.0,0.86
5.0,1.0,15.0,13.0,2.0,0.87
6.0,1.0,14.0,11.0,3.0,0.79
7.0,1.0,14.0,11.0,3.0,0.79
8.0,1.0,14.0,12.0,2.0,0.86
9.0,1.0,14.0,12.0,2.0,0.86
10.0,1.0,12.0,9.0,3.0,0.75
11.0,1.0,14.0,10.0,4.0,0.71
12.0,1.0,15.0,13.0,2.0,0.87
13.0,1.0,15.0,13.0,2.0,0.87
14.0,1.0,15.0,13.0,2.0,0.87
15.0,1.0,15.0,13.0,2.0,0.87
16.0,1.0,14.0,12.0,2.0,0.86
17.0,1.0,13.0,12.0,1.0,0.92
18.0,1.0,14.0,12.0,2.0,0.86
19.0,1.0,14.0,11.0,3.0,0.79
20.0,1.0,15.0,12.0,3.0,0.8
21.0,1.0,15.0,13.0,2.0,0.87
22.0,1.0,15.0,12.0,3.0,0.8
23.0,1.0,14.0,12.0,2.0,0.86
24.0,1.0,15.0,11.0,4.0,0.73
25.0,1.0,14.0,12.0,2.0,0.86
26.0,1.0,15.0,12.0,3.0,0.8
27.0,1.0,11.0,10.0,1.0,0.91
28.0,1.0,15.0,13.0,2.0,0.87
29.0,1.0,14.0,14.0,0.0,1.0
30.0,1.0,13.0,9.0,4.0,0.69
31.0,1.0,13.0,13.0,0.0,1.0
32.0,1.0,15.0,11.0,4.0,0.73
33.0,1.0,14.0,14.0,0.0,1.0
34.0,1.0,14.0,10.0,4.0,0.71
35.0,1.0,14.0,14.0,0.0,1.0
36.0,1.0,14.0,10.0,4.0,0.71
37.0,1.0,13.0,13.0,0.0,1.0
38.0,1.0,12.0,10.0,2.0,0.83
39.0,1.0,15.0,14.0,1.0,0.93
40.0,1.0,15.0,12.0,3.0,0.8
41.0,1.0,15.0,14.0,1.0,0.93
42.0,1.0,14.0,11.0,3.0,0.79
43.0,1.0,14.0,12.0,2.0,0.86
44.0,1.0,14.0,10.0,4.0,0.71
45.0,1.0,13.0,12.0,1.0,0.92
46.0,1.0,15.0,12.0,3.0,0.8
47.0,1.0,14.0,14.0,0.0,1.0
48.0,1.0,15.0,10.0,5.0,0.67
49.0,1.0,12.0,12.0,0.0,1.0
50.0,1.0,12.0,8.0,4.0,0.67
51.0,1.0,12.0,10.0,2.0,0.83
52.0,1.0,10.0,9.0,1.0,0.9
53.0,1.0,14.0,11.0,3.0,0.79
54.0,1.0,12.0,10.0,2.0,0.83
55.0,1.0,15.0,12.0,3.0,0.8
56.0,1.0,15.0,13.0,2.0,0.87
57.0,1.0,14.0,12.0,2.0,0.86
58.0,1.0,15.0,12.0,3.0,0.8
59.0,1.0,14.0,12.0,2.0,0.86
60.0,1.0,13.0,11.0,2.0,0.85
61.0,1.0,12.0,11.0,1.0,0.92
62.0,1.0,15.0,11.0,4.0,0.73
63.0,1.0,14.0,9.0,5.0,0.64
64.0,1.0,14.0,10.0,4.0,0.71
65.0,1.0,14.0,11.0,3.0,0.79
66.0,1.0,15.0,13.0,2.0,0.87
67.0,1.0,14.0,12.0,2.0,0.86
68.0,1.0,13.0,12.0,1.0,0.92
69.0,1.0,14.0,13.0,1.0,0.93
70.0,1.0,13.0,12.0,1.0,0.92
71.0,1.0,15.0,12.0,3.0,0.8
72.0,1.0,15.0,13.0,2.0,0.87
73.0,1.0,15.0,14.0,1.0,0.93
74.0,1.0,14.0,12.0,2.0,0.86
75.0,1.0,11.0,10.0,1.0,0.91
76.0,1.0,15.0,11.0,4.0,0.73
77.0,1.0,15.0,13.0,2.0,0.87
78.0,1.0,14.0,10.0,4.0,0.71
79.0,1.0,15.0,12.0,3.0,0.8
80.0,1.0,15.0,11.0,4.0,0.73
81.0,1.0,15.0,14.0,1.0,0.93
82.0,1.0,14.0,12.0,2.0,0.86
83.0,1.0,14.0,13.0,1.0,0.93
84.0,1.0,14.0,11.0,3.0,0.79
85.0,1.0,14.0,10.0,4.0,0.71
86.0,1.0,10.0,10.0,0.0,1.0
87.0,1.0,13.0,11.0,2.0,0.85
88.0,1.0,12.0,11.0,1.0,0.92
89.0,1.0,13.0,9.0,4.0,0.69
