,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,-1.0,12.0,0.0,12.0,0.0
2.0,1.0,11.0,6.0,5.0,0.55
3.0,-1.0,14.0,7.0,7.0,0.5
4.0,-1.0,12.0,2.0,10.0,0.17
5.0,-1.0,12.0,6.0,6.0,0.5
6.0,-1.0,10.0,3.0,7.0,0.3
7.0,-1.0,12.0,4.0,8.0,0.33
8.0,-1.0,11.0,2.0,9.0,0.18
9.0,-1.0,9.0,4.0,5.0,0.44
10.0,-1.0,14.0,3.0,11.0,0.21
11.0,-1.0,13.0,3.0,10.0,0.23
12.0,-1.0,11.0,4.0,7.0,0.36
13.0,-1.0,12.0,3.0,9.0,0.25
14.0,-1.0,8.0,3.0,5.0,0.38
15.0,-1.0,12.0,2.0,10.0,0.17
16.0,-1.0,13.0,6.0,7.0,0.46
17.0,-1.0,13.0,4.0,9.0,0.31
18.0,-1.0,13.0,4.0,9.0,0.31
19.0,-1.0,14.0,2.0,12.0,0.14
20.0,-1.0,12.0,4.0,8.0,0.33
21.0,-1.0,12.0,2.0,10.0,0.17
22.0,1.0,12.0,8.0,4.0,0.67
23.0,-1.0,13.0,2.0,11.0,0.15
24.0,-1.0,13.0,4.0,9.0,0.31
25.0,-1.0,11.0,4.0,7.0,0.36
26.0,-1.0,12.0,6.0,6.0,0.5
27.0,-1.0,11.0,4.0,7.0,0.36
28.0,-1.0,11.0,5.0,6.0,0.45
29.0,-1.0,13.0,5.0,8.0,0.38
30.0,-1.0,8.0,1.0,7.0,0.13
31.0,-1.0,11.0,4.0,7.0,0.36
32.0,-1.0,13.0,4.0,9.0,0.31
33.0,1.0,14.0,9.0,5.0,0.64
34.0,-1.0,12.0,6.0,6.0,0.5
35.0,-1.0,14.0,1.0,13.0,0.07
36.0,-1.0,10.0,3.0,7.0,0.3
37.0,-1.0,9.0,3.0,6.0,0.33
38.0,-1.0,14.0,4.0,10.0,0.29
39.0,-1.0,11.0,2.0,9.0,0.18
40.0,-1.0,10.0,1.0,9.0,0.1
41.0,1.0,10.0,6.0,4.0,0.6
42.0,-1.0,9.0,0.0,9.0,0.0
43.0,-1.0,12.0,2.0,10.0,0.17
44.0,1.0,11.0,6.0,5.0,0.55
45.0,-1.0,11.0,4.0,7.0,0.36
46.0,-1.0,14.0,5.0,9.0,0.36
47.0,-1.0,8.0,3.0,5.0,0.38
48.0,-1.0,9.0,4.0,5.0,0.44
49.0,-1.0,10.0,1.0,9.0,0.1
50.0,-1.0,10.0,4.0,6.0,0.4
51.0,-1.0,10.0,4.0,6.0,0.4
52.0,-1.0,10.0,4.0,6.0,0.4
53.0,-1.0,9.0,2.0,7.0,0.22
54.0,-1.0,14.0,2.0,12.0,0.14
55.0,-1.0,14.0,6.0,8.0,0.43
56.0,-1.0,8.0,4.0,4.0,0.5
57.0,-1.0,13.0,4.0,9.0,0.31
58.0,-1.0,11.0,4.0,7.0,0.36
59.0,-1.0,12.0,6.0,6.0,0.5
60.0,-1.0,9.0,0.0,9.0,0.0
61.0,1.0,9.0,5.0,4.0,0.56
62.0,-1.0,11.0,2.0,9.0,0.18
63.0,1.0,13.0,7.0,6.0,0.54
64.0,-1.0,13.0,4.0,9.0,0.31
65.0,-1.0,14.0,4.0,10.0,0.29
66.0,1.0,11.0,7.0,4.0,0.64
67.0,-1.0,12.0,4.0,8.0,0.33
68.0,-1.0,12.0,4.0,8.0,0.33
69.0,-1.0,11.0,4.0,7.0,0.36
70.0,-1.0,8.0,4.0,4.0,0.5
71.0,-1.0,12.0,4.0,8.0,0.33
72.0,-1.0,12.0,2.0,10.0,0.17
73.0,-1.0,9.0,0.0,9.0,0.0
74.0,-1.0,12.0,2.0,10.0,0.17
75.0,-1.0,12.0,5.0,7.0,0.42
76.0,-1.0,12.0,1.0,11.0,0.08
77.0,-1.0,11.0,4.0,7.0,0.36
78.0,-1.0,11.0,5.0,6.0,0.45
79.0,-1.0,14.0,3.0,11.0,0.21
80.0,-1.0,12.0,5.0,7.0,0.42
81.0,-1.0,8.0,3.0,5.0,0.38
82.0,-1.0,10.0,5.0,5.0,0.5
83.0,-1.0,12.0,3.0,9.0,0.25
84.0,-1.0,10.0,3.0,7.0,0.3
85.0,-1.0,11.0,3.0,8.0,0.27
86.0,-1.0,11.0,1.0,10.0,0.09
87.0,1.0,12.0,9.0,3.0,0.75
88.0,-1.0,11.0,2.0,9.0,0.18
89.0,1.0,11.0,6.0,5.0,0.55
90.0,-1.0,10.0,2.0,8.0,0.2
91.0,-1.0,10.0,4.0,6.0,0.4
92.0,-1.0,6.0,1.0,5.0,0.17
93.0,-1.0,11.0,4.0,7.0,0.36
94.0,-1.0,12.0,5.0,7.0,0.42
95.0,-1.0,13.0,4.0,9.0,0.31
96.0,1.0,13.0,9.0,4.0,0.69
97.0,-1.0,13.0,4.0,9.0,0.31
98.0,-1.0,14.0,6.0,8.0,0.43
99.0,-1.0,13.0,3.0,10.0,0.23
100.0,-1.0,13.0,4.0,9.0,0.31
101.0,-1.0,11.0,2.0,9.0,0.18
102.0,-1.0,10.0,3.0,7.0,0.3
103.0,-1.0,9.0,4.0,5.0,0.44
104.0,-1.0,10.0,4.0,6.0,0.4
105.0,-1.0,12.0,3.0,9.0,0.25
106.0,-1.0,10.0,4.0,6.0,0.4
107.0,-1.0,12.0,1.0,11.0,0.08
108.0,-1.0,10.0,1.0,9.0,0.1
109.0,-1.0,11.0,4.0,7.0,0.36
110.0,-1.0,13.0,5.0,8.0,0.38
111.0,-1.0,12.0,0.0,12.0,0.0
112.0,-1.0,11.0,3.0,8.0,0.27
113.0,1.0,11.0,6.0,5.0,0.55
114.0,-1.0,12.0,3.0,9.0,0.25
115.0,-1.0,11.0,2.0,9.0,0.18
116.0,-1.0,12.0,6.0,6.0,0.5
117.0,-1.0,11.0,5.0,6.0,0.45
118.0,-1.0,11.0,3.0,8.0,0.27
119.0,-1.0,13.0,5.0,8.0,0.38
120.0,-1.0,8.0,3.0,5.0,0.38
121.0,-1.0,11.0,3.0,8.0,0.27
122.0,-1.0,11.0,2.0,9.0,0.18
123.0,1.0,7.0,4.0,3.0,0.57
124.0,-1.0,11.0,3.0,8.0,0.27
125.0,-1.0,12.0,5.0,7.0,0.42
126.0,-1.0,12.0,2.0,10.0,0.17
127.0,-1.0,11.0,5.0,6.0,0.45
128.0,-1.0,12.0,6.0,6.0,0.5
129.0,-1.0,14.0,5.0,9.0,0.36
130.0,-1.0,13.0,3.0,10.0,0.23
131.0,1.0,11.0,6.0,5.0,0.55
132.0,-1.0,15.0,7.0,8.0,0.47
133.0,-1.0,14.0,4.0,10.0,0.29
134.0,-1.0,9.0,3.0,6.0,0.33
135.0,-1.0,11.0,3.0,8.0,0.27
136.0,-1.0,14.0,6.0,8.0,0.43
