,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,-1.0,10.0,0.0,10.0,0.0
2.0,-1.0,9.0,3.0,6.0,0.33
3.0,-1.0,11.0,3.0,8.0,0.27
4.0,-1.0,11.0,2.0,9.0,0.18
5.0,-1.0,13.0,2.0,11.0,0.15
6.0,-1.0,12.0,4.0,8.0,0.33
7.0,-1.0,9.0,4.0,5.0,0.44
8.0,-1.0,10.0,3.0,7.0,0.3
9.0,-1.0,10.0,4.0,6.0,0.4
10.0,-1.0,12.0,0.0,12.0,0.0
11.0,-1.0,13.0,2.0,11.0,0.15
12.0,-1.0,11.0,5.0,6.0,0.45
13.0,-1.0,11.0,2.0,9.0,0.18
14.0,-1.0,13.0,5.0,8.0,0.38
15.0,-1.0,9.0,4.0,5.0,0.44
16.0,-1.0,7.0,3.0,4.0,0.43
17.0,-1.0,10.0,1.0,9.0,0.1
18.0,-1.0,11.0,4.0,7.0,0.36
19.0,1.0,12.0,7.0,5.0,0.58
20.0,-1.0,12.0,3.0,9.0,0.25
21.0,-1.0,12.0,4.0,8.0,0.33
22.0,-1.0,10.0,3.0,7.0,0.3
23.0,-1.0,9.0,4.0,5.0,0.44
24.0,-1.0,13.0,5.0,8.0,0.38
25.0,-1.0,12.0,2.0,10.0,0.17
26.0,-1.0,9.0,2.0,7.0,0.22
27.0,-1.0,11.0,5.0,6.0,0.45
28.0,-1.0,10.0,2.0,8.0,0.2
29.0,-1.0,9.0,1.0,8.0,0.11
30.0,-1.0,9.0,1.0,8.0,0.11
31.0,-1.0,9.0,3.0,6.0,0.33
32.0,-1.0,9.0,0.0,9.0,0.0
33.0,-1.0,9.0,3.0,6.0,0.33
34.0,-1.0,13.0,4.0,9.0,0.31
35.0,-1.0,9.0,4.0,5.0,0.44
36.0,-1.0,12.0,2.0,10.0,0.17
37.0,-1.0,9.0,2.0,7.0,0.22
38.0,-1.0,12.0,5.0,7.0,0.42
39.0,-1.0,9.0,2.0,7.0,0.22
40.0,-1.0,12.0,3.0,9.0,0.25
41.0,-1.0,10.0,3.0,7.0,0.3
42.0,-1.0,11.0,3.0,8.0,0.27
43.0,-1.0,10.0,3.0,7.0,0.3
44.0,-1.0,11.0,5.0,6.0,0.45
45.0,-1.0,13.0,3.0,10.0,0.23
46.0,-1.0,14.0,3.0,11.0,0.21
47.0,-1.0,11.0,5.0,6.0,0.45
48.0,-1.0,11.0,4.0,7.0,0.36
49.0,-1.0,12.0,3.0,9.0,0.25
50.0,-1.0,13.0,5.0,8.0,0.38
51.0,-1.0,13.0,2.0,11.0,0.15
52.0,-1.0,10.0,3.0,7.0,0.3
53.0,-1.0,8.0,3.0,5.0,0.38
54.0,-1.0,13.0,3.0,10.0,0.23
55.0,1.0,13.0,7.0,6.0,0.54
56.0,-1.0,13.0,3.0,10.0,0.23
57.0,-1.0,11.0,2.0,9.0,0.18
58.0,-1.0,14.0,3.0,11.0,0.21
59.0,-1.0,10.0,1.0,9.0,0.1
60.0,-1.0,13.0,2.0,11.0,0.15
61.0,-1.0,13.0,4.0,9.0,0.31
62.0,-1.0,13.0,4.0,9.0,0.31
63.0,-1.0,12.0,5.0,7.0,0.42
64.0,-1.0,11.0,1.0,10.0,0.09
65.0,-1.0,8.0,3.0,5.0,0.38
66.0,-1.0,8.0,2.0,6.0,0.25
67.0,-1.0,11.0,4.0,7.0,0.36
68.0,1.0,13.0,9.0,4.0,0.69
69.0,-1.0,11.0,2.0,9.0,0.18
70.0,-1.0,12.0,5.0,7.0,0.42
71.0,-1.0,11.0,4.0,7.0,0.36
72.0,-1.0,13.0,5.0,8.0,0.38
73.0,-1.0,12.0,5.0,7.0,0.42
74.0,-1.0,7.0,3.0,4.0,0.43
75.0,-1.0,12.0,2.0,10.0,0.17
76.0,-1.0,9.0,4.0,5.0,0.44
77.0,-1.0,13.0,4.0,9.0,0.31
78.0,-1.0,13.0,2.0,11.0,0.15
79.0,-1.0,12.0,6.0,6.0,0.5
80.0,-1.0,10.0,1.0,9.0,0.1
81.0,-1.0,11.0,4.0,7.0,0.36
82.0,-1.0,14.0,4.0,10.0,0.29
83.0,1.0,10.0,6.0,4.0,0.6
84.0,-1.0,11.0,3.0,8.0,0.27
85.0,-1.0,12.0,5.0,7.0,0.42
86.0,-1.0,9.0,2.0,7.0,0.22
87.0,-1.0,12.0,5.0,7.0,0.42
88.0,-1.0,9.0,2.0,7.0,0.22
89.0,-1.0,9.0,2.0,7.0,0.22
90.0,-1.0,13.0,3.0,10.0,0.23
91.0,-1.0,11.0,3.0,8.0,0.27
92.0,-1.0,12.0,3.0,9.0,0.25
93.0,1.0,12.0,7.0,5.0,0.58
94.0,-1.0,12.0,2.0,10.0,0.17
95.0,-1.0,11.0,3.0,8.0,0.27
96.0,1.0,9.0,5.0,4.0,0.56
97.0,-1.0,12.0,2.0,10.0,0.17
98.0,-1.0,10.0,4.0,6.0,0.4
99.0,-1.0,8.0,0.0,8.0,0.0
100.0,-1.0,10.0,5.0,5.0,0.5
101.0,-1.0,11.0,3.0,8.0,0.27
102.0,-1.0,10.0,3.0,7.0,0.3
103.0,-1.0,11.0,2.0,9.0,0.18
104.0,-1.0,10.0,3.0,7.0,0.3
105.0,-1.0,9.0,2.0,7.0,0.22
106.0,-1.0,10.0,1.0,9.0,0.1
107.0,-1.0,10.0,5.0,5.0,0.5
108.0,-1.0,13.0,3.0,10.0,0.23
109.0,-1.0,14.0,6.0,8.0,0.43
110.0,-1.0,12.0,5.0,7.0,0.42
111.0,-1.0,10.0,3.0,7.0,0.3
112.0,-1.0,8.0,2.0,6.0,0.25
113.0,-1.0,11.0,2.0,9.0,0.18
114.0,-1.0,11.0,3.0,8.0,0.27
115.0,-1.0,13.0,2.0,11.0,0.15
116.0,-1.0,10.0,3.0,7.0,0.3
117.0,-1.0,11.0,4.0,7.0,0.36
118.0,-1.0,14.0,6.0,8.0,0.43
119.0,-1.0,12.0,4.0,8.0,0.33
120.0,-1.0,9.0,3.0,6.0,0.33
121.0,-1.0,11.0,0.0,11.0,0.0
122.0,-1.0,11.0,1.0,10.0,0.09
123.0,-1.0,11.0,3.0,8.0,0.27
124.0,-1.0,10.0,4.0,6.0,0.4
125.0,-1.0,13.0,4.0,9.0,0.31
126.0,-1.0,12.0,2.0,10.0,0.17
127.0,-1.0,15.0,4.0,11.0,0.27
128.0,-1.0,13.0,2.0,11.0,0.15
129.0,1.0,12.0,7.0,5.0,0.58
130.0,-1.0,14.0,1.0,13.0,0.07
131.0,-1.0,11.0,3.0,8.0,0.27
132.0,-1.0,12.0,3.0,9.0,0.25
133.0,-1.0,14.0,5.0,9.0,0.36
134.0,-1.0,12.0,5.0,7.0,0.42
135.0,-1.0,10.0,2.0,8.0,0.2
136.0,-1.0,10.0,2.0,8.0,0.2
137.0,-1.0,11.0,4.0,7.0,0.36
138.0,-1.0,11.0,3.0,8.0,0.27
139.0,-1.0,12.0,3.0,9.0,0.25
140.0,-1.0,10.0,4.0,6.0,0.4
141.0,1.0,11.0,6.0,5.0,0.55
142.0,-1.0,14.0,4.0,10.0,0.29
