,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,-1.0,11.0,0.0,11.0,0.0
2.0,1.0,9.0,5.0,4.0,0.56
3.0,-1.0,14.0,4.0,10.0,0.29
4.0,-1.0,11.0,5.0,6.0,0.45
5.0,-1.0,14.0,0.0,14.0,0.0
6.0,-1.0,11.0,3.0,8.0,0.27
7.0,-1.0,10.0,2.0,8.0,0.2
8.0,-1.0,12.0,4.0,8.0,0.33
9.0,-1.0,10.0,1.0,9.0,0.1
10.0,-1.0,12.0,6.0,6.0,0.5
11.0,-1.0,10.0,3.0,7.0,0.3
12.0,-1.0,13.0,2.0,11.0,0.15
13.0,-1.0,11.0,4.0,7.0,0.36
14.0,-1.0,13.0,2.0,11.0,0.15
15.0,-1.0,11.0,4.0,7.0,0.36
16.0,1.0,13.0,7.0,6.0,0.54
17.0,-1.0,14.0,5.0,9.0,0.36
18.0,1.0,12.0,7.0,5.0,0.58
19.0,-1.0,9.0,2.0,7.0,0.22
20.0,-1.0,10.0,1.0,9.0,0.1
21.0,-1.0,13.0,3.0,10.0,0.23
22.0,-1.0,14.0,4.0,10.0,0.29
23.0,-1.0,8.0,3.0,5.0,0.38
24.0,-1.0,9.0,4.0,5.0,0.44
25.0,-1.0,8.0,2.0,6.0,0.25
26.0,-1.0,8.0,2.0,6.0,0.25
27.0,-1.0,10.0,3.0,7.0,0.3
28.0,-1.0,9.0,2.0,7.0,0.22
29.0,-1.0,11.0,4.0,7.0,0.36
30.0,-1.0,9.0,2.0,7.0,0.22
31.0,-1.0,13.0,3.0,10.0,0.23
32.0,1.0,11.0,6.0,5.0,0.55
33.0,-1.0,15.0,1.0,14.0,0.07
34.0,-1.0,12.0,4.0,8.0,0.33
35.0,-1.0,9.0,1.0,8.0,0.11
36.0,-1.0,12.0,5.0,7.0,0.42
37.0,-1.0,11.0,5.0,6.0,0.45
38.0,-1.0,12.0,2.0,10.0,0.17
39.0,-1.0,12.0,5.0,7.0,0.42
40.0,-1.0,11.0,5.0,6.0,0.45
41.0,1.0,13.0,9.0,4.0,0.69
42.0,-1.0,13.0,1.0,12.0,0.08
43.0,1.0,14.0,9.0,5.0,0.64
44.0,-1.0,9.0,2.0,7.0,0.22
45.0,-1.0,11.0,4.0,7.0,0.36
46.0,-1.0,10.0,4.0,6.0,0.4
47.0,-1.0,11.0,2.0,9.0,0.18
48.0,-1.0,15.0,7.0,8.0,0.47
49.0,-1.0,11.0,3.0,8.0,0.27
50.0,-1.0,13.0,4.0,9.0,0.31
51.0,-1.0,13.0,5.0,8.0,0.38
52.0,-1.0,13.0,5.0,8.0,0.38
53.0,-1.0,15.0,3.0,12.0,0.2
54.0,-1.0,11.0,3.0,8.0,0.27
55.0,-1.0,14.0,4.0,10.0,0.29
56.0,-1.0,9.0,4.0,5.0,0.44
57.0,-1.0,12.0,5.0,7.0,0.42
58.0,-1.0,10.0,5.0,5.0,0.5
59.0,-1.0,12.0,6.0,6.0,0.5
60.0,-1.0,9.0,3.0,6.0,0.33
61.0,1.0,11.0,6.0,5.0,0.55
62.0,-1.0,9.0,4.0,5.0,0.44
63.0,-1.0,13.0,3.0,10.0,0.23
64.0,-1.0,11.0,4.0,7.0,0.36
65.0,1.0,10.0,6.0,4.0,0.6
66.0,-1.0,10.0,2.0,8.0,0.2
67.0,-1.0,10.0,4.0,6.0,0.4
68.0,-1.0,10.0,4.0,6.0,0.4
69.0,-1.0,12.0,2.0,10.0,0.17
70.0,-1.0,13.0,5.0,8.0,0.38
71.0,-1.0,11.0,4.0,7.0,0.36
72.0,-1.0,15.0,5.0,10.0,0.33
73.0,-1.0,11.0,5.0,6.0,0.45
74.0,-1.0,8.0,4.0,4.0,0.5
75.0,-1.0,10.0,1.0,9.0,0.1
76.0,1.0,10.0,6.0,4.0,0.6
77.0,-1.0,12.0,4.0,8.0,0.33
78.0,-1.0,12.0,5.0,7.0,0.42
79.0,-1.0,11.0,2.0,9.0,0.18
80.0,-1.0,13.0,4.0,9.0,0.31
81.0,1.0,12.0,7.0,5.0,0.58
82.0,-1.0,13.0,5.0,8.0,0.38
83.0,-1.0,13.0,6.0,7.0,0.46
84.0,-1.0,14.0,6.0,8.0,0.43
85.0,1.0,14.0,8.0,6.0,0.57
86.0,-1.0,10.0,4.0,6.0,0.4
87.0,-1.0,9.0,3.0,6.0,0.33
88.0,-1.0,12.0,3.0,9.0,0.25
89.0,-1.0,13.0,2.0,11.0,0.15
90.0,-1.0,10.0,5.0,5.0,0.5
91.0,-1.0,6.0,2.0,4.0,0.33
92.0,-1.0,9.0,2.0,7.0,0.22
93.0,-1.0,13.0,1.0,12.0,0.08
