,Topic Divergence,Avg Compat Ratio,Burst Length
0.0,0.0,0.5,1.0
1.0,-1.0,0.0,10.0
2.0,-1.0,0.27,5.0
3.0,-1.0,0.24,10.0
4.0,-1.0,0.35,9.0
5.0,-1.0,0.41,7.0
6.0,1.0,0.53,12.0
7.0,1.0,0.6,10.0
8.0,1.0,0.66,13.0
9.0,1.0,0.67,10.0
10.0,1.0,0.69,9.0
11.0,1.0,0.66,6.0
12.0,1.0,0.66,3.0
13.0,1.0,0.65,6.0
14.0,1.0,0.64,7.0
15.0,1.0,0.62,12.0
16.0,1.0,0.6,10.0
17.0,1.0,0.6,9.0
18.0,1.0,0.61,5.0
19.0,1.0,0.59,5.0
20.0,1.0,0.59,12.0
21.0,1.0,0.6,12.0
22.0,1.0,0.61,10.0
23.0,1.0,0.6,7.0
24.0,1.0,0.59,2.0
25.0,1.0,0.59,3.0
26.0,1.0,0.6,9.0
27.0,1.0,0.59,8.0
28.0,1.0,0.59,4.0
29.0,1.0,0.58,4.0
30.0,1.0,0.58,7.0
31.0,1.0,0.57,7.0
32.0,1.0,0.57,10.0
33.0,1.0,0.58,10.0
34.0,1.0,0.56,9.0
35.0,1.0,0.55,14.0
36.0,1.0,0.54,8.0
37.0,1.0,0.54,5.0
38.0,1.0,0.53,9.0
39.0,1.0,0.54,11.0
40.0,1.0,0.53,9.0
41.0,1.0,0.54,6.0
42.0,1.0,0.53,6.0
43.0,1.0,0.53,7.0
44.0,1.0,0.52,8.0
45.0,1.0,0.52,4.0
46.0,1.0,0.52,9.0
47.0,1.0,0.52,8.0
48.0,1.0,0.52,4.0
49.0,1.0,0.52,10.0
50.0,1.0,0.52,8.0
51.0,1.0,0.51,9.0
52.0,1.0,0.51,5.0
53.0,1.0,0.51,8.0
54.0,1.0,0.51,4.0
55.0,1.0,0.52,9.0
56.0,1.0,0.52,6.0
57.0,1.0,0.51,7.0
58.0,1.0,0.51,15.0
59.0,1.0,0.51,6.0
60.0,1.0,0.51,10.0
61.0,1.0,0.51,8.0
62.0,-1.0,0.5,12.0
63.0,-1.0,0.5,8.0
64.0,1.0,0.51,10.0
65.0,1.0,0.51,12.0
66.0,-1.0,0.5,9.0
67.0,-1.0,0.5,2.0
68.0,-1.0,0.5,7.0
69.0,1.0,0.51,9.0
70.0,1.0,0.51,9.0
71.0,1.0,0.51,8.0
72.0,1.0,0.51,6.0
73.0,1.0,0.51,12.0
74.0,1.0,0.51,8.0
75.0,1.0,0.51,9.0
76.0,1.0,0.51,1.0
77.0,1.0,0.51,7.0
78.0,1.0,0.51,6.0
79.0,1.0,0.51,8.0
80.0,1.0,0.51,7.0
81.0,1.0,0.51,11.0
82.0,1.0,0.51,8.0
83.0,1.0,0.51,9.0
84.0,1.0,0.51,4.0
85.0,1.0,0.51,10.0
86.0,1.0,0.51,10.0
87.0,1.0,0.51,5.0
88.0,1.0,0.51,2.0
89.0,1.0,0.51,8.0
90.0,1.0,0.52,10.0
91.0,1.0,0.52,11.0
92.0,1.0,0.52,8.0
93.0,1.0,0.52,8.0
94.0,1.0,0.52,11.0
95.0,1.0,0.52,7.0
96.0,1.0,0.52,2.0
97.0,1.0,0.52,12.0
98.0,1.0,0.52,9.0
99.0,1.0,0.52,13.0
100.0,1.0,0.52,7.0
101.0,1.0,0.52,8.0
102.0,1.0,0.52,9.0
103.0,1.0,0.52,8.0
104.0,1.0,0.52,9.0
105.0,1.0,0.52,10.0
106.0,1.0,0.53,11.0
107.0,1.0,0.52,10.0
108.0,1.0,0.52,12.0
109.0,1.0,0.52,7.0
110.0,1.0,0.52,11.0
111.0,1.0,0.52,8.0
112.0,1.0,0.52,12.0
113.0,1.0,0.52,9.0
114.0,1.0,0.52,6.0
115.0,1.0,0.52,6.0
116.0,1.0,0.52,7.0
117.0,1.0,0.52,8.0
118.0,1.0,0.52,5.0
119.0,1.0,0.52,6.0
120.0,1.0,0.52,10.0
121.0,1.0,0.52,8.0
122.0,1.0,0.52,2.0
123.0,1.0,0.52,8.0
124.0,1.0,0.52,2.0
125.0,1.0,0.52,4.0
126.0,1.0,0.52,2.0
127.0,1.0,0.52,9.0
128.0,1.0,0.52,11.0
129.0,1.0,0.52,7.0
130.0,1.0,0.52,9.0
131.0,1.0,0.52,5.0
132.0,1.0,0.52,6.0
133.0,1.0,0.52,9.0
134.0,1.0,0.52,11.0
135.0,1.0,0.52,7.0
136.0,1.0,0.52,4.0
137.0,1.0,0.52,4.0
138.0,1.0,0.52,9.0
139.0,1.0,0.52,5.0
140.0,1.0,0.53,9.0
141.0,1.0,0.52,8.0
142.0,1.0,0.52,3.0
143.0,1.0,0.53,9.0
144.0,1.0,0.53,10.0
145.0,1.0,0.53,12.0
146.0,1.0,0.53,7.0
147.0,1.0,0.53,13.0
148.0,1.0,0.52,11.0
149.0,1.0,0.52,14.0
150.0,1.0,0.52,9.0
151.0,1.0,0.52,12.0
152.0,1.0,0.53,8.0
153.0,1.0,0.52,6.0
154.0,1.0,0.52,5.0
155.0,1.0,0.52,10.0
156.0,1.0,0.52,9.0
157.0,1.0,0.52,10.0
158.0,1.0,0.52,9.0
159.0,1.0,0.51,7.0
160.0,1.0,0.51,5.0
161.0,1.0,0.51,8.0
162.0,1.0,0.51,3.0
163.0,1.0,0.51,6.0
164.0,1.0,0.51,5.0
165.0,1.0,0.51,10.0
166.0,1.0,0.51,5.0
167.0,1.0,0.51,11.0
168.0,1.0,0.51,8.0
169.0,1.0,0.51,5.0
170.0,1.0,0.51,7.0
171.0,1.0,0.51,14.0
172.0,1.0,0.51,11.0
173.0,1.0,0.52,7.0
174.0,1.0,0.51,6.0
175.0,1.0,0.51,8.0
176.0,1.0,0.51,7.0
177.0,1.0,0.51,2.0
178.0,1.0,0.51,7.0
179.0,1.0,0.51,6.0
180.0,1.0,0.51,8.0
181.0,1.0,0.51,9.0
182.0,1.0,0.52,12.0
183.0,1.0,0.52,8.0
184.0,1.0,0.52,9.0
185.0,1.0,0.52,6.0
186.0,1.0,0.52,5.0
187.0,1.0,0.52,12.0
188.0,1.0,0.52,5.0
189.0,1.0,0.52,6.0
190.0,1.0,0.52,12.0
191.0,1.0,0.52,10.0
192.0,1.0,0.52,10.0
193.0,1.0,0.52,7.0
194.0,1.0,0.52,11.0
195.0,1.0,0.52,11.0
196.0,1.0,0.52,5.0
197.0,1.0,0.52,7.0
198.0,1.0,0.52,2.0
199.0,1.0,0.52,6.0
200.0,1.0,0.52,9.0
