,Topic Divergence,Avg Compat Ratio,Burst Length
0.0,0.0,0.5,1.0
1.0,-1.0,0.0,10.0
2.0,-1.0,0.19,6.0
3.0,-1.0,0.44,11.0
4.0,-1.0,0.36,6.0
5.0,-1.0,0.38,4.0
6.0,-1.0,0.4,13.0
7.0,-1.0,0.36,8.0
8.0,-1.0,0.36,8.0
9.0,-1.0,0.39,12.0
10.0,-1.0,0.42,8.0
11.0,-1.0,0.41,2.0
12.0,-1.0,0.4,3.0
13.0,-1.0,0.41,10.0
14.0,-1.0,0.41,7.0
15.0,-1.0,0.41,10.0
16.0,-1.0,0.45,10.0
17.0,-1.0,0.43,7.0
18.0,-1.0,0.42,13.0
19.0,-1.0,0.42,10.0
20.0,-1.0,0.42,12.0
21.0,-1.0,0.43,9.0
22.0,-1.0,0.42,7.0
23.0,-1.0,0.42,2.0
24.0,-1.0,0.4,7.0
25.0,-1.0,0.39,3.0
26.0,-1.0,0.39,8.0
27.0,-1.0,0.39,8.0
28.0,-1.0,0.39,6.0
29.0,-1.0,0.39,5.0
30.0,-1.0,0.4,7.0
31.0,-1.0,0.42,10.0
32.0,-1.0,0.41,6.0
33.0,-1.0,0.42,10.0
34.0,-1.0,0.43,10.0
35.0,-1.0,0.44,11.0
36.0,-1.0,0.45,11.0
37.0,-1.0,0.47,11.0
38.0,-1.0,0.46,7.0
39.0,-1.0,0.46,3.0
40.0,-1.0,0.46,7.0
41.0,-1.0,0.46,8.0
42.0,-1.0,0.46,9.0
43.0,-1.0,0.47,4.0
44.0,-1.0,0.47,11.0
45.0,-1.0,0.48,11.0
46.0,-1.0,0.47,10.0
47.0,-1.0,0.47,1.0
48.0,-1.0,0.47,9.0
49.0,-1.0,0.48,9.0
50.0,-1.0,0.47,6.0
51.0,-1.0,0.47,5.0
52.0,-1.0,0.48,7.0
53.0,-1.0,0.47,9.0
54.0,-1.0,0.47,3.0
55.0,-1.0,0.47,11.0
56.0,-1.0,0.48,9.0
57.0,-1.0,0.48,7.0
58.0,-1.0,0.48,1.0
59.0,-1.0,0.47,10.0
60.0,-1.0,0.47,8.0
61.0,-1.0,0.48,11.0
62.0,-1.0,0.48,9.0
63.0,-1.0,0.48,6.0
64.0,-1.0,0.48,12.0
65.0,-1.0,0.48,7.0
66.0,-1.0,0.48,11.0
67.0,-1.0,0.48,2.0
68.0,-1.0,0.49,9.0
69.0,-1.0,0.49,9.0
70.0,-1.0,0.48,8.0
71.0,-1.0,0.48,3.0
72.0,-1.0,0.48,12.0
73.0,-1.0,0.48,8.0
74.0,-1.0,0.48,7.0
75.0,-1.0,0.48,8.0
76.0,-1.0,0.48,5.0
77.0,-1.0,0.48,10.0
78.0,-1.0,0.48,8.0
79.0,-1.0,0.48,10.0
80.0,-1.0,0.49,11.0
81.0,-1.0,0.49,11.0
82.0,-1.0,0.49,7.0
83.0,-1.0,0.49,11.0
84.0,-1.0,0.49,6.0
85.0,-1.0,0.5,13.0
86.0,-1.0,0.5,11.0
87.0,-1.0,0.5,8.0
88.0,-1.0,0.5,7.0
89.0,-1.0,0.5,6.0
90.0,-1.0,0.5,12.0
91.0,-1.0,0.49,10.0
92.0,-1.0,0.5,7.0
93.0,-1.0,0.49,5.0
94.0,-1.0,0.49,3.0
95.0,-1.0,0.49,6.0
96.0,-1.0,0.5,11.0
97.0,-1.0,0.49,9.0
98.0,-1.0,0.49,5.0
99.0,-1.0,0.49,11.0
100.0,-1.0,0.49,11.0
101.0,-1.0,0.49,8.0
102.0,-1.0,0.49,8.0
103.0,-1.0,0.49,8.0
104.0,-1.0,0.49,6.0
105.0,-1.0,0.49,10.0
106.0,-1.0,0.49,8.0
107.0,-1.0,0.49,11.0
108.0,-1.0,0.48,10.0
109.0,-1.0,0.48,5.0
110.0,-1.0,0.48,6.0
111.0,-1.0,0.48,3.0
112.0,-1.0,0.48,12.0
113.0,-1.0,0.48,7.0
114.0,-1.0,0.48,8.0
115.0,-1.0,0.48,3.0
116.0,-1.0,0.48,10.0
117.0,-1.0,0.49,10.0
118.0,-1.0,0.48,7.0
119.0,-1.0,0.48,4.0
120.0,-1.0,0.48,12.0
121.0,-1.0,0.49,8.0
122.0,-1.0,0.48,7.0
123.0,-1.0,0.49,12.0
124.0,-1.0,0.49,7.0
125.0,-1.0,0.49,12.0
126.0,-1.0,0.49,8.0
127.0,-1.0,0.49,9.0
128.0,-1.0,0.49,7.0
129.0,-1.0,0.49,4.0
130.0,-1.0,0.49,2.0
131.0,-1.0,0.49,7.0
132.0,-1.0,0.49,10.0
133.0,-1.0,0.49,4.0
134.0,-1.0,0.49,7.0
135.0,-1.0,0.49,11.0
136.0,-1.0,0.49,6.0
137.0,-1.0,0.49,10.0
138.0,-1.0,0.49,7.0
139.0,-1.0,0.49,4.0
140.0,-1.0,0.49,11.0
141.0,-1.0,0.49,8.0
142.0,-1.0,0.49,5.0
143.0,-1.0,0.49,12.0
144.0,-1.0,0.49,9.0
145.0,-1.0,0.49,6.0
146.0,-1.0,0.49,8.0
147.0,-1.0,0.49,10.0
148.0,-1.0,0.49,6.0
149.0,-1.0,0.49,2.0
150.0,-1.0,0.49,6.0
151.0,-1.0,0.49,7.0
152.0,-1.0,0.5,9.0
153.0,-1.0,0.49,6.0
154.0,-1.0,0.49,11.0
155.0,-1.0,0.49,8.0
156.0,-1.0,0.49,6.0
157.0,-1.0,0.49,6.0
158.0,-1.0,0.49,4.0
159.0,-1.0,0.5,10.0
160.0,-1.0,0.49,7.0
161.0,-1.0,0.49,11.0
162.0,-1.0,0.49,13.0
163.0,-1.0,0.5,6.0
164.0,-1.0,0.49,9.0
165.0,-1.0,0.49,11.0
166.0,-1.0,0.49,7.0
167.0,-1.0,0.49,7.0
168.0,-1.0,0.49,10.0
169.0,-1.0,0.49,12.0
170.0,-1.0,0.49,11.0
171.0,-1.0,0.49,7.0
172.0,-1.0,0.49,3.0
173.0,-1.0,0.49,11.0
174.0,-1.0,0.49,11.0
175.0,-1.0,0.49,4.0
176.0,-1.0,0.49,5.0
177.0,-1.0,0.49,11.0
178.0,-1.0,0.49,5.0
179.0,-1.0,0.49,7.0
180.0,-1.0,0.49,5.0
181.0,-1.0,0.49,11.0
182.0,-1.0,0.49,9.0
183.0,-1.0,0.49,7.0
184.0,-1.0,0.49,7.0
185.0,-1.0,0.49,11.0
186.0,-1.0,0.49,7.0
187.0,-1.0,0.49,12.0
188.0,-1.0,0.49,6.0
189.0,-1.0,0.49,6.0
190.0,-1.0,0.49,12.0
191.0,-1.0,0.49,11.0
192.0,-1.0,0.5,10.0
193.0,-1.0,0.5,11.0
194.0,-1.0,0.5,10.0
195.0,-1.0,0.5,8.0
196.0,-1.0,0.5,1.0
197.0,-1.0,0.5,4.0
198.0,-1.0,0.5,7.0
199.0,-1.0,0.49,7.0
200.0,-1.0,0.49,4.0
