,Topic Divergence,Avg Compat Ratio,Burst Length
0.0,0.0,0.5,1.0
1.0,1.0,1.0,9.0
2.0,1.0,0.79,10.0
3.0,1.0,0.65,7.0
4.0,1.0,0.68,11.0
5.0,1.0,0.57,7.0
6.0,1.0,0.57,7.0
7.0,1.0,0.55,14.0
8.0,1.0,0.54,7.0
9.0,1.0,0.53,7.0
10.0,1.0,0.55,5.0
11.0,1.0,0.58,9.0
12.0,1.0,0.61,8.0
13.0,1.0,0.6,11.0
14.0,1.0,0.57,8.0
15.0,1.0,0.56,4.0
16.0,1.0,0.56,9.0
17.0,1.0,0.57,8.0
18.0,1.0,0.54,8.0
19.0,1.0,0.52,14.0
20.0,1.0,0.51,12.0
21.0,1.0,0.53,8.0
22.0,1.0,0.51,7.0
23.0,1.0,0.52,7.0
24.0,1.0,0.54,9.0
25.0,1.0,0.55,10.0
26.0,1.0,0.54,4.0
27.0,1.0,0.54,12.0
28.0,1.0,0.53,7.0
29.0,1.0,0.53,5.0
30.0,1.0,0.53,6.0
31.0,1.0,0.52,5.0
32.0,1.0,0.52,3.0
33.0,1.0,0.51,8.0
34.0,1.0,0.51,11.0
35.0,1.0,0.52,2.0
36.0,1.0,0.51,10.0
37.0,1.0,0.51,5.0
38.0,1.0,0.52,11.0
39.0,1.0,0.53,11.0
40.0,1.0,0.52,8.0
41.0,1.0,0.52,9.0
42.0,1.0,0.52,4.0
43.0,1.0,0.52,9.0
44.0,1.0,0.51,7.0
45.0,1.0,0.52,6.0
46.0,1.0,0.51,4.0
47.0,1.0,0.51,9.0
48.0,1.0,0.52,11.0
49.0,1.0,0.53,10.0
50.0,1.0,0.52,7.0
51.0,1.0,0.52,13.0
52.0,1.0,0.53,12.0
53.0,1.0,0.52,6.0
54.0,1.0,0.52,4.0
55.0,1.0,0.53,10.0
56.0,1.0,0.53,9.0
57.0,1.0,0.52,8.0
58.0,1.0,0.52,1.0
59.0,1.0,0.53,9.0
60.0,1.0,0.53,8.0
61.0,1.0,0.54,9.0
62.0,1.0,0.55,9.0
63.0,1.0,0.56,12.0
64.0,1.0,0.55,7.0
65.0,1.0,0.55,7.0
66.0,1.0,0.56,9.0
67.0,1.0,0.57,13.0
