,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,-1.0,8.0,0.0,8.0,0.0
2.0,1.0,5.0,5.0,0.0,1.0
3.0,-1.0,9.0,4.0,5.0,0.44
4.0,-1.0,8.0,4.0,4.0,0.5
5.0,-1.0,4.0,2.0,2.0,0.5
6.0,1.0,8.0,5.0,3.0,0.63
7.0,-1.0,5.0,0.0,5.0,0.0
8.0,1.0,12.0,9.0,3.0,0.75
9.0,1.0,7.0,4.0,3.0,0.57
10.0,1.0,10.0,8.0,2.0,0.8
11.0,-1.0,2.0,1.0,1.0,0.5
12.0,-1.0,7.0,3.0,4.0,0.43
13.0,1.0,5.0,4.0,1.0,0.8
14.0,-1.0,8.0,4.0,4.0,0.5
15.0,1.0,5.0,3.0,2.0,0.6
16.0,1.0,8.0,5.0,3.0,0.63
17.0,-1.0,8.0,4.0,4.0,0.5
18.0,-1.0,8.0,4.0,4.0,0.5
19.0,1.0,7.0,5.0,2.0,0.71
20.0,-1.0,6.0,2.0,4.0,0.33
21.0,-1.0,8.0,4.0,4.0,0.5
22.0,-1.0,8.0,2.0,6.0,0.25
23.0,-1.0,7.0,3.0,4.0,0.43
24.0,-1.0,4.0,2.0,2.0,0.5
25.0,1.0,3.0,2.0,1.0,0.67
26.0,1.0,8.0,6.0,2.0,0.75
27.0,1.0,9.0,6.0,3.0,0.67
28.0,1.0,11.0,8.0,3.0,0.73
29.0,1.0,5.0,4.0,1.0,0.8
30.0,-1.0,7.0,3.0,4.0,0.43
31.0,1.0,2.0,2.0,0.0,1.0
32.0,-1.0,10.0,5.0,5.0,0.5
33.0,-1.0,7.0,3.0,4.0,0.43
34.0,-1.0,5.0,2.0,3.0,0.4
35.0,-1.0,4.0,1.0,3.0,0.25
36.0,-1.0,4.0,1.0,3.0,0.25
37.0,-1.0,4.0,2.0,2.0,0.5
38.0,-1.0,7.0,2.0,5.0,0.29
39.0,-1.0,6.0,2.0,4.0,0.33
40.0,-1.0,5.0,2.0,3.0,0.4
41.0,-1.0,7.0,2.0,5.0,0.29
42.0,-1.0,9.0,4.0,5.0,0.44
43.0,1.0,13.0,9.0,4.0,0.69
44.0,1.0,7.0,6.0,1.0,0.86
45.0,-1.0,6.0,2.0,4.0,0.33
46.0,1.0,6.0,5.0,1.0,0.83
47.0,1.0,9.0,9.0,0.0,1.0
48.0,1.0,6.0,5.0,1.0,0.83
