,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,7.0,5.0,2.0,0.71
2.0,1.0,6.0,4.0,2.0,0.67
3.0,-1.0,5.0,2.0,3.0,0.4
4.0,-1.0,7.0,3.0,4.0,0.43
5.0,1.0,5.0,3.0,2.0,0.6
6.0,1.0,10.0,6.0,4.0,0.6
7.0,-1.0,3.0,1.0,2.0,0.33
8.0,1.0,12.0,7.0,5.0,0.58
9.0,1.0,11.0,6.0,5.0,0.55
10.0,1.0,9.0,6.0,3.0,0.67
11.0,1.0,8.0,7.0,1.0,0.88
12.0,1.0,8.0,7.0,1.0,0.88
13.0,-1.0,4.0,1.0,3.0,0.25
14.0,1.0,4.0,3.0,1.0,0.75
15.0,1.0,5.0,3.0,2.0,0.6
16.0,-1.0,11.0,5.0,6.0,0.45
17.0,1.0,3.0,3.0,0.0,1.0
18.0,1.0,7.0,6.0,1.0,0.86
19.0,1.0,11.0,8.0,3.0,0.73
20.0,-1.0,7.0,2.0,5.0,0.29
21.0,-1.0,6.0,3.0,3.0,0.5
22.0,-1.0,8.0,4.0,4.0,0.5
23.0,-1.0,7.0,3.0,4.0,0.43
24.0,-1.0,6.0,2.0,4.0,0.33
25.0,-1.0,8.0,4.0,4.0,0.5
26.0,1.0,5.0,3.0,2.0,0.6
27.0,1.0,6.0,4.0,2.0,0.67
28.0,-1.0,3.0,1.0,2.0,0.33
29.0,-1.0,7.0,0.0,7.0,0.0
30.0,-1.0,6.0,3.0,3.0,0.5
31.0,-1.0,7.0,3.0,4.0,0.43
32.0,-1.0,7.0,3.0,4.0,0.43
33.0,1.0,9.0,5.0,4.0,0.56
34.0,-1.0,8.0,4.0,4.0,0.5
35.0,-1.0,6.0,2.0,4.0,0.33
36.0,1.0,8.0,7.0,1.0,0.88
37.0,-1.0,3.0,1.0,2.0,0.33
38.0,1.0,8.0,5.0,3.0,0.63
39.0,-1.0,6.0,3.0,3.0,0.5
40.0,1.0,8.0,5.0,3.0,0.63
41.0,-1.0,6.0,2.0,4.0,0.33
42.0,-1.0,10.0,5.0,5.0,0.5
43.0,-1.0,5.0,2.0,3.0,0.4
44.0,1.0,5.0,3.0,2.0,0.6
45.0,1.0,3.0,2.0,1.0,0.67
46.0,-1.0,11.0,5.0,6.0,0.45
47.0,1.0,8.0,6.0,2.0,0.75
48.0,-1.0,7.0,3.0,4.0,0.43
49.0,1.0,5.0,3.0,2.0,0.6
50.0,-1.0,4.0,1.0,3.0,0.25
51.0,-1.0,4.0,0.0,4.0,0.0
52.0,-1.0,8.0,4.0,4.0,0.5
53.0,-1.0,6.0,3.0,3.0,0.5
54.0,-1.0,8.0,2.0,6.0,0.25
55.0,-1.0,5.0,1.0,4.0,0.2
56.0,-1.0,5.0,1.0,4.0,0.2
57.0,1.0,10.0,8.0,2.0,0.8
58.0,-1.0,3.0,0.0,3.0,0.0
59.0,-1.0,4.0,2.0,2.0,0.5
60.0,1.0,4.0,4.0,0.0,1.0
61.0,1.0,9.0,8.0,1.0,0.89
62.0,1.0,7.0,6.0,1.0,0.86
63.0,-1.0,4.0,2.0,2.0,0.5
64.0,1.0,8.0,5.0,3.0,0.63
65.0,1.0,8.0,5.0,3.0,0.63
66.0,1.0,7.0,5.0,2.0,0.71
67.0,-1.0,5.0,1.0,4.0,0.2
68.0,-1.0,8.0,4.0,4.0,0.5
69.0,-1.0,7.0,2.0,5.0,0.29
70.0,-1.0,7.0,3.0,4.0,0.43
71.0,-1.0,8.0,4.0,4.0,0.5
72.0,-1.0,9.0,3.0,6.0,0.33
73.0,1.0,12.0,9.0,3.0,0.75
74.0,1.0,6.0,5.0,1.0,0.83
75.0,1.0,9.0,6.0,3.0,0.67
76.0,-1.0,9.0,2.0,7.0,0.22
77.0,1.0,4.0,4.0,0.0,1.0
78.0,1.0,6.0,4.0,2.0,0.67
79.0,1.0,9.0,6.0,3.0,0.67
80.0,-1.0,5.0,2.0,3.0,0.4
81.0,-1.0,8.0,2.0,6.0,0.25
82.0,1.0,2.0,2.0,0.0,1.0
83.0,-1.0,6.0,3.0,3.0,0.5
84.0,-1.0,9.0,3.0,6.0,0.33
85.0,1.0,5.0,3.0,2.0,0.6
86.0,1.0,6.0,4.0,2.0,0.67
87.0,-1.0,8.0,4.0,4.0,0.5
88.0,-1.0,5.0,1.0,4.0,0.2
89.0,-1.0,1.0,0.0,1.0,0.0
90.0,1.0,10.0,6.0,4.0,0.6
91.0,-1.0,2.0,0.0,2.0,0.0
92.0,1.0,5.0,3.0,2.0,0.6
93.0,-1.0,7.0,3.0,4.0,0.43
94.0,1.0,6.0,4.0,2.0,0.67
