,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,3.0,3.0,0.0,1.0
2.0,1.0,9.0,5.0,4.0,0.56
3.0,1.0,10.0,6.0,4.0,0.6
4.0,-1.0,2.0,1.0,1.0,0.5
5.0,-1.0,6.0,1.0,5.0,0.17
6.0,1.0,5.0,3.0,2.0,0.6
7.0,-1.0,3.0,0.0,3.0,0.0
8.0,-1.0,7.0,2.0,5.0,0.29
9.0,-1.0,5.0,1.0,4.0,0.2
10.0,1.0,8.0,5.0,3.0,0.63
11.0,-1.0,7.0,1.0,6.0,0.14
12.0,-1.0,4.0,1.0,3.0,0.25
13.0,-1.0,8.0,2.0,6.0,0.25
14.0,1.0,11.0,7.0,4.0,0.64
15.0,1.0,3.0,2.0,1.0,0.67
16.0,-1.0,6.0,3.0,3.0,0.5
17.0,-1.0,3.0,1.0,2.0,0.33
18.0,1.0,9.0,6.0,3.0,0.67
19.0,-1.0,6.0,0.0,6.0,0.0
20.0,-1.0,10.0,5.0,5.0,0.5
21.0,-1.0,4.0,0.0,4.0,0.0
22.0,-1.0,8.0,4.0,4.0,0.5
23.0,1.0,6.0,5.0,1.0,0.83
24.0,1.0,6.0,4.0,2.0,0.67
25.0,-1.0,5.0,2.0,3.0,0.4
26.0,1.0,5.0,3.0,2.0,0.6
27.0,-1.0,5.0,2.0,3.0,0.4
28.0,-1.0,6.0,3.0,3.0,0.5
29.0,-1.0,11.0,4.0,7.0,0.36
30.0,-1.0,4.0,1.0,3.0,0.25
31.0,-1.0,6.0,2.0,4.0,0.33
32.0,1.0,6.0,4.0,2.0,0.67
33.0,1.0,5.0,3.0,2.0,0.6
34.0,-1.0,14.0,6.0,8.0,0.43
35.0,-1.0,9.0,4.0,5.0,0.44
36.0,1.0,9.0,6.0,3.0,0.67
37.0,1.0,11.0,6.0,5.0,0.55
38.0,-1.0,5.0,2.0,3.0,0.4
39.0,-1.0,6.0,3.0,3.0,0.5
40.0,-1.0,8.0,4.0,4.0,0.5
41.0,-1.0,7.0,2.0,5.0,0.29
42.0,1.0,8.0,5.0,3.0,0.63
43.0,-1.0,4.0,1.0,3.0,0.25
44.0,1.0,8.0,6.0,2.0,0.75
45.0,-1.0,6.0,2.0,4.0,0.33
46.0,1.0,13.0,10.0,3.0,0.77
47.0,-1.0,5.0,2.0,3.0,0.4
48.0,1.0,13.0,8.0,5.0,0.62
49.0,-1.0,4.0,1.0,3.0,0.25
