,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,-1.0,6.0,1.0,5.0,0.17
2.0,-1.0,6.0,3.0,3.0,0.5
3.0,1.0,9.0,6.0,3.0,0.67
4.0,1.0,8.0,5.0,3.0,0.63
5.0,-1.0,7.0,3.0,4.0,0.43
6.0,-1.0,8.0,3.0,5.0,0.38
7.0,-1.0,4.0,2.0,2.0,0.5
8.0,-1.0,8.0,4.0,4.0,0.5
9.0,-1.0,5.0,2.0,3.0,0.4
10.0,-1.0,3.0,1.0,2.0,0.33
11.0,1.0,8.0,6.0,2.0,0.75
12.0,-1.0,7.0,3.0,4.0,0.43
13.0,1.0,5.0,3.0,2.0,0.6
14.0,1.0,7.0,4.0,3.0,0.57
15.0,1.0,7.0,5.0,2.0,0.71
16.0,1.0,7.0,6.0,1.0,0.86
17.0,-1.0,6.0,3.0,3.0,0.5
18.0,1.0,5.0,4.0,1.0,0.8
19.0,-1.0,4.0,1.0,3.0,0.25
20.0,-1.0,5.0,2.0,3.0,0.4
21.0,1.0,4.0,3.0,1.0,0.75
22.0,-1.0,8.0,3.0,5.0,0.38
23.0,-1.0,5.0,2.0,3.0,0.4
24.0,-1.0,6.0,1.0,5.0,0.17
25.0,1.0,8.0,5.0,3.0,0.63
26.0,1.0,7.0,4.0,3.0,0.57
27.0,1.0,9.0,6.0,3.0,0.67
28.0,1.0,6.0,4.0,2.0,0.67
29.0,1.0,7.0,7.0,0.0,1.0
30.0,-1.0,6.0,2.0,4.0,0.33
31.0,-1.0,6.0,2.0,4.0,0.33
32.0,1.0,7.0,4.0,3.0,0.57
33.0,1.0,6.0,4.0,2.0,0.67
34.0,-1.0,6.0,2.0,4.0,0.33
35.0,1.0,9.0,6.0,3.0,0.67
36.0,1.0,7.0,5.0,2.0,0.71
37.0,-1.0,8.0,3.0,5.0,0.38
38.0,1.0,10.0,8.0,2.0,0.8
39.0,1.0,9.0,7.0,2.0,0.78
40.0,1.0,7.0,5.0,2.0,0.71
41.0,-1.0,8.0,4.0,4.0,0.5
42.0,1.0,11.0,7.0,4.0,0.64
43.0,1.0,6.0,5.0,1.0,0.83
44.0,1.0,9.0,7.0,2.0,0.78
45.0,-1.0,2.0,1.0,1.0,0.5
46.0,-1.0,7.0,3.0,4.0,0.43
47.0,1.0,6.0,5.0,1.0,0.83
48.0,1.0,6.0,5.0,1.0,0.83
49.0,-1.0,6.0,3.0,3.0,0.5
50.0,1.0,7.0,4.0,3.0,0.57
51.0,1.0,7.0,4.0,3.0,0.57
52.0,1.0,10.0,8.0,2.0,0.8
53.0,-1.0,7.0,2.0,5.0,0.29
54.0,1.0,5.0,3.0,2.0,0.6
55.0,-1.0,8.0,4.0,4.0,0.5
56.0,-1.0,8.0,4.0,4.0,0.5
57.0,1.0,7.0,4.0,3.0,0.57
58.0,-1.0,7.0,3.0,4.0,0.43
59.0,1.0,12.0,7.0,5.0,0.58
60.0,-1.0,5.0,2.0,3.0,0.4
61.0,1.0,7.0,5.0,2.0,0.71
62.0,-1.0,8.0,4.0,4.0,0.5
63.0,-1.0,4.0,2.0,2.0,0.5
64.0,1.0,11.0,7.0,4.0,0.64
65.0,1.0,7.0,4.0,3.0,0.57
66.0,-1.0,4.0,1.0,3.0,0.25
67.0,-1.0,7.0,3.0,4.0,0.43
68.0,1.0,6.0,4.0,2.0,0.67
69.0,-1.0,3.0,0.0,3.0,0.0
70.0,-1.0,3.0,1.0,2.0,0.33
71.0,-1.0,6.0,3.0,3.0,0.5
72.0,-1.0,9.0,4.0,5.0,0.44
73.0,1.0,8.0,5.0,3.0,0.63
74.0,-1.0,11.0,5.0,6.0,0.45
75.0,1.0,4.0,3.0,1.0,0.75
76.0,1.0,7.0,5.0,2.0,0.71
77.0,1.0,9.0,6.0,3.0,0.67
78.0,-1.0,11.0,5.0,6.0,0.45
79.0,-1.0,9.0,4.0,5.0,0.44
80.0,-1.0,3.0,1.0,2.0,0.33
81.0,1.0,10.0,7.0,3.0,0.7
82.0,1.0,7.0,6.0,1.0,0.86
83.0,-1.0,6.0,1.0,5.0,0.17
84.0,1.0,5.0,3.0,2.0,0.6
85.0,-1.0,8.0,4.0,4.0,0.5
86.0,-1.0,8.0,4.0,4.0,0.5
87.0,1.0,7.0,5.0,2.0,0.71
88.0,1.0,7.0,5.0,2.0,0.71
89.0,-1.0,7.0,3.0,4.0,0.43
90.0,1.0,9.0,6.0,3.0,0.67
91.0,1.0,9.0,6.0,3.0,0.67
92.0,-1.0,5.0,2.0,3.0,0.4
93.0,1.0,5.0,3.0,2.0,0.6
94.0,1.0,7.0,5.0,2.0,0.71
95.0,-1.0,12.0,5.0,7.0,0.42
96.0,1.0,4.0,3.0,1.0,0.75
97.0,1.0,9.0,7.0,2.0,0.78
98.0,1.0,10.0,8.0,2.0,0.8
99.0,-1.0,10.0,5.0,5.0,0.5
100.0,1.0,7.0,5.0,2.0,0.71
101.0,1.0,8.0,6.0,2.0,0.75
