,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,6.0,6.0,0.0,1.0
2.0,-1.0,7.0,2.0,5.0,0.29
3.0,1.0,6.0,6.0,0.0,1.0
4.0,1.0,7.0,5.0,2.0,0.71
5.0,1.0,8.0,8.0,0.0,1.0
6.0,1.0,8.0,6.0,2.0,0.75
7.0,-1.0,5.0,2.0,3.0,0.4
8.0,1.0,9.0,5.0,4.0,0.56
9.0,-1.0,7.0,3.0,4.0,0.43
10.0,-1.0,7.0,2.0,5.0,0.29
11.0,1.0,3.0,2.0,1.0,0.67
12.0,1.0,5.0,4.0,1.0,0.8
13.0,1.0,7.0,6.0,1.0,0.86
14.0,1.0,7.0,6.0,1.0,0.86
15.0,1.0,6.0,5.0,1.0,0.83
16.0,1.0,6.0,5.0,1.0,0.83
17.0,1.0,7.0,4.0,3.0,0.57
18.0,1.0,4.0,3.0,1.0,0.75
19.0,1.0,7.0,4.0,3.0,0.57
20.0,1.0,7.0,6.0,1.0,0.86
21.0,-1.0,8.0,3.0,5.0,0.38
22.0,1.0,4.0,4.0,0.0,1.0
23.0,-1.0,7.0,3.0,4.0,0.43
24.0,1.0,5.0,5.0,0.0,1.0
25.0,1.0,7.0,7.0,0.0,1.0
26.0,1.0,7.0,7.0,0.0,1.0
27.0,1.0,9.0,5.0,4.0,0.56
28.0,1.0,4.0,4.0,0.0,1.0
29.0,1.0,5.0,5.0,0.0,1.0
30.0,1.0,7.0,6.0,1.0,0.86
31.0,1.0,8.0,8.0,0.0,1.0
32.0,-1.0,8.0,4.0,4.0,0.5
33.0,1.0,7.0,7.0,0.0,1.0
34.0,1.0,5.0,3.0,2.0,0.6
35.0,1.0,8.0,7.0,1.0,0.88
36.0,1.0,7.0,4.0,3.0,0.57
37.0,1.0,10.0,8.0,2.0,0.8
38.0,-1.0,8.0,4.0,4.0,0.5
39.0,1.0,9.0,5.0,4.0,0.56
40.0,-1.0,5.0,2.0,3.0,0.4
41.0,1.0,5.0,5.0,0.0,1.0
42.0,1.0,7.0,5.0,2.0,0.71
43.0,1.0,10.0,9.0,1.0,0.9
44.0,1.0,7.0,5.0,2.0,0.71
45.0,1.0,7.0,5.0,2.0,0.71
46.0,1.0,11.0,8.0,3.0,0.73
47.0,-1.0,7.0,3.0,4.0,0.43
48.0,1.0,5.0,4.0,1.0,0.8
49.0,-1.0,7.0,3.0,4.0,0.43
50.0,-1.0,6.0,2.0,4.0,0.33
51.0,1.0,7.0,5.0,2.0,0.71
52.0,1.0,12.0,10.0,2.0,0.83
53.0,1.0,8.0,5.0,3.0,0.63
54.0,1.0,6.0,4.0,2.0,0.67
55.0,1.0,4.0,4.0,0.0,1.0
56.0,1.0,8.0,5.0,3.0,0.63
57.0,-1.0,6.0,3.0,3.0,0.5
58.0,1.0,5.0,5.0,0.0,1.0
59.0,-1.0,6.0,3.0,3.0,0.5
60.0,1.0,8.0,6.0,2.0,0.75
61.0,1.0,7.0,5.0,2.0,0.71
62.0,1.0,8.0,6.0,2.0,0.75
63.0,-1.0,9.0,4.0,5.0,0.44
64.0,1.0,10.0,6.0,4.0,0.6
65.0,1.0,7.0,4.0,3.0,0.57
66.0,1.0,8.0,6.0,2.0,0.75
67.0,1.0,7.0,4.0,3.0,0.57
68.0,1.0,9.0,6.0,3.0,0.67
69.0,-1.0,6.0,3.0,3.0,0.5
70.0,1.0,4.0,3.0,1.0,0.75
71.0,1.0,7.0,4.0,3.0,0.57
72.0,1.0,8.0,8.0,0.0,1.0
73.0,-1.0,6.0,3.0,3.0,0.5
74.0,1.0,6.0,5.0,1.0,0.83
75.0,1.0,8.0,7.0,1.0,0.88
76.0,-1.0,7.0,3.0,4.0,0.43
77.0,1.0,9.0,7.0,2.0,0.78
78.0,1.0,7.0,5.0,2.0,0.71
