,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,6.0,6.0,0.0,1.0
2.0,1.0,8.0,7.0,1.0,0.88
3.0,-1.0,5.0,2.0,3.0,0.4
4.0,1.0,7.0,6.0,1.0,0.86
5.0,1.0,9.0,6.0,3.0,0.67
6.0,1.0,6.0,5.0,1.0,0.83
7.0,1.0,5.0,4.0,1.0,0.8
8.0,1.0,7.0,6.0,1.0,0.86
9.0,-1.0,6.0,3.0,3.0,0.5
10.0,1.0,8.0,6.0,2.0,0.75
11.0,1.0,9.0,6.0,3.0,0.67
12.0,1.0,10.0,8.0,2.0,0.8
13.0,1.0,6.0,6.0,0.0,1.0
14.0,1.0,6.0,5.0,1.0,0.83
15.0,1.0,6.0,4.0,2.0,0.67
16.0,1.0,8.0,8.0,0.0,1.0
17.0,1.0,6.0,5.0,1.0,0.83
18.0,1.0,9.0,6.0,3.0,0.67
19.0,1.0,6.0,4.0,2.0,0.67
20.0,1.0,8.0,5.0,3.0,0.63
21.0,-1.0,2.0,0.0,2.0,0.0
22.0,1.0,6.0,4.0,2.0,0.67
23.0,1.0,8.0,7.0,1.0,0.88
24.0,1.0,11.0,7.0,4.0,0.64
25.0,1.0,10.0,6.0,4.0,0.6
26.0,1.0,6.0,5.0,1.0,0.83
27.0,1.0,5.0,3.0,2.0,0.6
28.0,1.0,4.0,3.0,1.0,0.75
29.0,1.0,6.0,5.0,1.0,0.83
30.0,1.0,10.0,8.0,2.0,0.8
31.0,1.0,11.0,9.0,2.0,0.82
32.0,1.0,7.0,4.0,3.0,0.57
33.0,1.0,4.0,3.0,1.0,0.75
34.0,1.0,10.0,7.0,3.0,0.7
35.0,1.0,6.0,5.0,1.0,0.83
36.0,1.0,6.0,4.0,2.0,0.67
37.0,1.0,7.0,5.0,2.0,0.71
38.0,-1.0,8.0,4.0,4.0,0.5
39.0,1.0,6.0,4.0,2.0,0.67
40.0,1.0,8.0,6.0,2.0,0.75
41.0,1.0,5.0,5.0,0.0,1.0
42.0,1.0,7.0,5.0,2.0,0.71
43.0,1.0,11.0,10.0,1.0,0.91
44.0,-1.0,7.0,1.0,6.0,0.14
45.0,1.0,11.0,8.0,3.0,0.73
46.0,1.0,4.0,3.0,1.0,0.75
47.0,1.0,6.0,6.0,0.0,1.0
48.0,-1.0,10.0,5.0,5.0,0.5
49.0,1.0,10.0,6.0,4.0,0.6
50.0,1.0,11.0,7.0,4.0,0.64
51.0,1.0,8.0,7.0,1.0,0.88
52.0,1.0,6.0,4.0,2.0,0.67
53.0,1.0,6.0,5.0,1.0,0.83
54.0,1.0,11.0,7.0,4.0,0.64
55.0,1.0,8.0,6.0,2.0,0.75
56.0,1.0,7.0,6.0,1.0,0.86
57.0,1.0,6.0,6.0,0.0,1.0
58.0,1.0,8.0,6.0,2.0,0.75
59.0,-1.0,4.0,2.0,2.0,0.5
60.0,1.0,7.0,7.0,0.0,1.0
61.0,1.0,8.0,5.0,3.0,0.63
62.0,1.0,9.0,8.0,1.0,0.89
63.0,1.0,6.0,6.0,0.0,1.0
64.0,1.0,5.0,5.0,0.0,1.0
65.0,1.0,8.0,5.0,3.0,0.63
66.0,1.0,9.0,7.0,2.0,0.78
67.0,1.0,7.0,5.0,2.0,0.71
68.0,1.0,5.0,5.0,0.0,1.0
69.0,1.0,6.0,4.0,2.0,0.67
70.0,1.0,10.0,9.0,1.0,0.9
71.0,1.0,9.0,7.0,2.0,0.78
72.0,1.0,6.0,5.0,1.0,0.83
73.0,1.0,7.0,4.0,3.0,0.57
74.0,1.0,10.0,10.0,0.0,1.0
75.0,1.0,7.0,5.0,2.0,0.71
76.0,1.0,4.0,3.0,1.0,0.75
77.0,1.0,9.0,7.0,2.0,0.78
78.0,1.0,9.0,9.0,0.0,1.0
