,Topic Divergence,Avg Compat Ratio,Burst Length
0.0,0.0,0.5,1.0
1.0,1.0,0.6,5.0
2.0,1.0,0.69,8.0
3.0,1.0,0.73,9.0
4.0,1.0,0.79,7.0
5.0,1.0,0.79,10.0
6.0,1.0,0.78,10.0
7.0,1.0,0.79,12.0
8.0,1.0,0.81,8.0
9.0,1.0,0.8,13.0
10.0,1.0,0.82,8.0
11.0,1.0,0.81,7.0
12.0,1.0,0.83,12.0
13.0,1.0,0.83,11.0
14.0,1.0,0.83,6.0
15.0,1.0,0.84,8.0
16.0,1.0,0.85,8.0
17.0,1.0,0.86,14.0
18.0,1.0,0.87,7.0
19.0,1.0,0.87,11.0
20.0,1.0,0.87,8.0
21.0,1.0,0.88,8.0
22.0,1.0,0.88,9.0
23.0,1.0,0.88,8.0
24.0,1.0,0.88,7.0
25.0,1.0,0.88,5.0
26.0,1.0,0.88,7.0
27.0,1.0,0.88,11.0
28.0,1.0,0.88,7.0
29.0,1.0,0.88,8.0
30.0,1.0,0.88,9.0
31.0,1.0,0.88,5.0
32.0,1.0,0.88,8.0
33.0,1.0,0.88,10.0
34.0,1.0,0.87,12.0
35.0,1.0,0.87,9.0
36.0,1.0,0.87,7.0
37.0,1.0,0.88,9.0
38.0,1.0,0.88,9.0
39.0,1.0,0.88,12.0
40.0,1.0,0.88,7.0
41.0,1.0,0.88,8.0
42.0,1.0,0.88,10.0
43.0,1.0,0.88,11.0
44.0,1.0,0.87,9.0
45.0,1.0,0.87,10.0
46.0,1.0,0.88,8.0
47.0,1.0,0.88,11.0
48.0,1.0,0.87,5.0
49.0,1.0,0.88,12.0
50.0,1.0,0.88,8.0
51.0,1.0,0.88,10.0
52.0,1.0,0.88,9.0
53.0,1.0,0.87,10.0
54.0,1.0,0.88,10.0
55.0,1.0,0.87,9.0
56.0,1.0,0.87,6.0
57.0,1.0,0.87,15.0
58.0,1.0,0.87,10.0
59.0,1.0,0.87,8.0
60.0,1.0,0.86,10.0
61.0,1.0,0.86,8.0
62.0,1.0,0.86,9.0
63.0,1.0,0.86,9.0
64.0,1.0,0.87,9.0
65.0,1.0,0.87,9.0
66.0,1.0,0.87,8.0
67.0,1.0,0.87,7.0
68.0,1.0,0.87,6.0
69.0,1.0,0.87,12.0
70.0,1.0,0.87,8.0
71.0,1.0,0.88,8.0
72.0,1.0,0.88,8.0
73.0,1.0,0.88,8.0
74.0,1.0,0.88,8.0
75.0,1.0,0.88,7.0
76.0,1.0,0.88,10.0
77.0,1.0,0.88,10.0
78.0,1.0,0.88,9.0
79.0,1.0,0.88,7.0
80.0,1.0,0.88,9.0
81.0,1.0,0.88,10.0
82.0,1.0,0.87,9.0
83.0,1.0,0.88,11.0
84.0,1.0,0.88,10.0
85.0,1.0,0.87,8.0
86.0,1.0,0.87,12.0
87.0,1.0,0.88,8.0
88.0,1.0,0.88,11.0
