,Topic Divergence,Avg Compat Ratio,Burst Length
0.0,0.0,0.5,1.0
1.0,-1.0,0.33,9.0
2.0,-1.0,0.24,8.0
3.0,-1.0,0.32,8.0
4.0,-1.0,0.42,8.0
5.0,-1.0,0.4,9.0
6.0,-1.0,0.44,10.0
7.0,-1.0,0.48,9.0
8.0,1.0,0.51,8.0
9.0,-1.0,0.48,10.0
10.0,-1.0,0.47,8.0
11.0,-1.0,0.45,12.0
12.0,-1.0,0.44,5.0
13.0,-1.0,0.44,9.0
14.0,-1.0,0.47,10.0
15.0,-1.0,0.47,8.0
16.0,-1.0,0.45,11.0
17.0,-1.0,0.47,8.0
18.0,-1.0,0.48,12.0
19.0,-1.0,0.47,6.0
20.0,-1.0,0.47,5.0
21.0,-1.0,0.46,10.0
22.0,-1.0,0.47,6.0
23.0,-1.0,0.48,10.0
24.0,-1.0,0.49,9.0
25.0,1.0,0.51,11.0
26.0,1.0,0.51,6.0
27.0,1.0,0.52,10.0
28.0,1.0,0.51,8.0
29.0,1.0,0.51,9.0
30.0,-1.0,0.5,9.0
31.0,-1.0,0.5,9.0
32.0,1.0,0.51,8.0
33.0,1.0,0.51,6.0
34.0,1.0,0.51,12.0
35.0,1.0,0.52,8.0
36.0,1.0,0.52,9.0
37.0,1.0,0.52,9.0
38.0,1.0,0.53,6.0
39.0,1.0,0.53,12.0
40.0,1.0,0.52,10.0
41.0,1.0,0.52,9.0
42.0,1.0,0.51,8.0
43.0,1.0,0.51,8.0
44.0,1.0,0.51,4.0
45.0,1.0,0.51,12.0
46.0,1.0,0.51,7.0
47.0,-1.0,0.5,8.0
48.0,1.0,0.51,9.0
49.0,1.0,0.51,5.0
50.0,1.0,0.51,7.0
51.0,1.0,0.51,7.0
52.0,1.0,0.51,10.0
53.0,1.0,0.51,6.0
54.0,1.0,0.51,8.0
55.0,1.0,0.51,3.0
56.0,1.0,0.51,4.0
57.0,1.0,0.51,7.0
58.0,1.0,0.51,12.0
59.0,1.0,0.51,10.0
60.0,1.0,0.51,7.0
61.0,1.0,0.51,2.0
62.0,1.0,0.51,11.0
63.0,1.0,0.52,8.0
64.0,1.0,0.52,5.0
65.0,1.0,0.52,5.0
66.0,1.0,0.52,10.0
67.0,1.0,0.52,5.0
68.0,1.0,0.52,5.0
69.0,1.0,0.52,7.0
70.0,1.0,0.52,9.0
71.0,1.0,0.52,10.0
72.0,1.0,0.52,9.0
73.0,1.0,0.52,9.0
74.0,1.0,0.52,7.0
75.0,1.0,0.52,6.0
76.0,1.0,0.52,5.0
77.0,1.0,0.53,9.0
78.0,1.0,0.53,5.0
79.0,1.0,0.53,8.0
80.0,1.0,0.53,4.0
81.0,1.0,0.53,8.0
82.0,1.0,0.53,9.0
83.0,1.0,0.53,9.0
84.0,1.0,0.54,9.0
85.0,1.0,0.54,9.0
86.0,1.0,0.53,10.0
87.0,1.0,0.53,12.0
88.0,1.0,0.53,7.0
89.0,1.0,0.53,9.0
90.0,1.0,0.53,7.0
91.0,1.0,0.53,4.0
92.0,1.0,0.53,11.0
93.0,1.0,0.53,3.0
94.0,1.0,0.53,7.0
95.0,1.0,0.53,4.0
96.0,1.0,0.53,6.0
97.0,1.0,0.53,10.0
98.0,1.0,0.53,9.0
99.0,1.0,0.54,9.0
