,Topic Divergence,Avg Compat Ratio,Burst Length
0.0,0.0,0.5,1.0
1.0,-1.0,0.17,6.0
2.0,-1.0,0.5,8.0
3.0,1.0,0.57,7.0
4.0,-1.0,0.43,7.0
5.0,-1.0,0.46,9.0
6.0,-1.0,0.45,5.0
7.0,-1.0,0.45,7.0
8.0,-1.0,0.39,7.0
9.0,-1.0,0.42,9.0
10.0,-1.0,0.45,10.0
11.0,-1.0,0.47,10.0
12.0,-1.0,0.46,7.0
13.0,-1.0,0.45,9.0
14.0,-1.0,0.46,6.0
15.0,-1.0,0.45,6.0
16.0,-1.0,0.45,11.0
17.0,-1.0,0.44,11.0
18.0,-1.0,0.44,11.0
19.0,-1.0,0.44,14.0
20.0,-1.0,0.43,11.0
21.0,-1.0,0.44,7.0
22.0,-1.0,0.45,7.0
23.0,-1.0,0.45,9.0
24.0,-1.0,0.44,7.0
25.0,-1.0,0.44,4.0
26.0,-1.0,0.43,5.0
27.0,-1.0,0.44,8.0
28.0,-1.0,0.42,8.0
29.0,-1.0,0.43,8.0
30.0,-1.0,0.42,9.0
31.0,-1.0,0.43,11.0
32.0,-1.0,0.43,6.0
33.0,-1.0,0.43,9.0
34.0,-1.0,0.43,12.0
35.0,-1.0,0.44,9.0
36.0,-1.0,0.43,10.0
37.0,-1.0,0.43,7.0
38.0,-1.0,0.43,10.0
39.0,-1.0,0.42,6.0
40.0,-1.0,0.43,8.0
41.0,-1.0,0.44,5.0
42.0,-1.0,0.44,12.0
43.0,-1.0,0.45,8.0
44.0,-1.0,0.44,5.0
45.0,-1.0,0.45,12.0
46.0,-1.0,0.46,13.0
47.0,-1.0,0.46,6.0
48.0,-1.0,0.46,5.0
49.0,-1.0,0.46,10.0
50.0,-1.0,0.47,7.0
51.0,-1.0,0.47,7.0
52.0,-1.0,0.48,8.0
53.0,-1.0,0.48,6.0
54.0,-1.0,0.48,8.0
55.0,-1.0,0.48,9.0
56.0,-1.0,0.48,10.0
57.0,-1.0,0.48,10.0
58.0,-1.0,0.48,5.0
59.0,-1.0,0.48,6.0
