Compatíveis  2133  |  387   Incompatíveis
Compatíveis  2215  |  297   Incompatíveis
Compatíveis  2324  |  171   Incompatíveis
Compatíveis  2287  |  180   Incompatíveis
Compatíveis  1879  |  600   Incompatíveis
Compatíveis  1975  |  471   Incompatíveis
Compatíveis  2028  |  440   Incompatíveis
Compatíveis  1896  |  534   Incompatíveis
Compatíveis  1985  |  514   Incompatíveis
Compatíveis  1960  |  524   Incompatíveis
Compatíveis  2045  |  501   Incompatíveis
Compatíveis  1980  |  504   Incompatíveis
Compatíveis  2050  |  467   Incompatíveis
Compatíveis  1991  |  463   Incompatíveis
Compatíveis  1749  |  677   Incompatíveis
Compatíveis  1733  |  753   Incompatíveis
Compatíveis  1761  |  711   Incompatíveis
Compatíveis  2204  |  301   Incompatíveis
Compatíveis  2193  |  309   Incompatíveis
Compatíveis  1866  |  593   Incompatíveis
