,Topic Divergence,Avg Compat Ratio,Burst Length
63.0,1.0,0.54,7.0
64.0,1.0,0.54,5.0
65.0,1.0,0.53,10.0
66.0,1.0,0.54,9.0
67.0,1.0,0.53,6.0
68.0,1.0,0.53,8.0
69.0,1.0,0.52,8.0
70.0,1.0,0.53,5.0
71.0,1.0,0.53,10.0
72.0,1.0,0.52,6.0
73.0,1.0,0.52,3.0
74.0,1.0,0.53,6.0
75.0,1.0,0.53,4.0
76.0,1.0,0.52,4.0
77.0,1.0,0.52,11.0
78.0,1.0,0.52,8.0
79.0,1.0,0.53,11.0
80.0,1.0,0.53,5.0
81.0,1.0,0.52,8.0
82.0,1.0,0.52,3.0
83.0,1.0,0.53,9.0
84.0,1.0,0.52,5.0
85.0,1.0,0.52,9.0
86.0,1.0,0.52,8.0
87.0,1.0,0.52,7.0
88.0,1.0,0.52,9.0
89.0,1.0,0.52,10.0
90.0,1.0,0.52,8.0
91.0,1.0,0.52,6.0
92.0,1.0,0.52,6.0
93.0,1.0,0.52,11.0
94.0,1.0,0.52,7.0
95.0,1.0,0.52,9.0
96.0,1.0,0.52,9.0
97.0,1.0,0.52,9.0
98.0,1.0,0.52,8.0
99.0,1.0,0.52,5.0
100.0,1.0,0.52,6.0
101.0,1.0,0.51,6.0
102.0,1.0,0.51,7.0
103.0,1.0,0.51,4.0
104.0,1.0,0.51,4.0
105.0,1.0,0.51,7.0
106.0,1.0,0.51,6.0
107.0,1.0,0.51,10.0
108.0,1.0,0.51,8.0
109.0,-1.0,0.5,8.0
110.0,-1.0,0.5,5.0
111.0,-1.0,0.5,9.0
112.0,1.0,0.51,8.0
113.0,1.0,0.51,10.0
114.0,-1.0,0.5,7.0
115.0,-1.0,0.5,5.0
116.0,-1.0,0.5,9.0
117.0,-1.0,0.5,8.0
118.0,-1.0,0.5,7.0
119.0,-1.0,0.5,7.0
120.0,1.0,0.51,8.0
121.0,1.0,0.51,4.0
122.0,1.0,0.51,8.0
123.0,1.0,0.51,8.0
124.0,1.0,0.51,6.0
125.0,1.0,0.51,6.0
126.0,1.0,0.51,5.0
127.0,1.0,0.51,7.0
128.0,1.0,0.51,6.0
129.0,1.0,0.51,8.0
130.0,1.0,0.51,5.0
131.0,1.0,0.51,9.0
132.0,1.0,0.51,13.0
133.0,1.0,0.51,4.0
134.0,1.0,0.51,9.0
135.0,1.0,0.51,8.0
136.0,1.0,0.51,8.0
137.0,1.0,0.51,5.0
138.0,1.0,0.51,10.0
