,Topic Divergence,Avg Compat Ratio,Burst Length
0.0,0.0,0.5,1.0
1.0,1.0,0.7,10.0
2.0,-1.0,0.47,9.0
3.0,1.0,0.54,9.0
4.0,1.0,0.56,4.0
5.0,1.0,0.54,7.0
6.0,1.0,0.56,6.0
7.0,1.0,0.58,8.0
8.0,1.0,0.57,7.0
9.0,1.0,0.56,11.0
10.0,1.0,0.57,10.0
11.0,1.0,0.57,9.0
12.0,1.0,0.56,8.0
13.0,1.0,0.56,4.0
14.0,1.0,0.55,8.0
15.0,1.0,0.54,8.0
16.0,1.0,0.54,7.0
17.0,1.0,0.53,8.0
18.0,1.0,0.54,8.0
19.0,1.0,0.54,6.0
20.0,1.0,0.53,6.0
21.0,1.0,0.54,11.0
22.0,1.0,0.53,9.0
23.0,1.0,0.53,7.0
24.0,1.0,0.54,8.0
25.0,1.0,0.53,7.0
26.0,1.0,0.54,10.0
27.0,1.0,0.55,7.0
28.0,1.0,0.54,9.0
29.0,1.0,0.54,3.0
30.0,1.0,0.55,6.0
31.0,1.0,0.55,9.0
32.0,1.0,0.56,3.0
33.0,1.0,0.55,7.0
34.0,1.0,0.56,11.0
35.0,1.0,0.56,6.0
36.0,1.0,0.55,12.0
37.0,1.0,0.55,4.0
38.0,1.0,0.54,10.0
39.0,1.0,0.54,8.0
40.0,1.0,0.54,8.0
41.0,1.0,0.54,7.0
42.0,1.0,0.53,11.0
43.0,1.0,0.53,3.0
44.0,1.0,0.53,8.0
45.0,1.0,0.53,9.0
46.0,1.0,0.53,8.0
47.0,1.0,0.53,13.0
48.0,1.0,0.53,8.0
49.0,1.0,0.53,7.0
50.0,1.0,0.53,8.0
51.0,1.0,0.53,9.0
52.0,1.0,0.53,8.0
53.0,1.0,0.53,6.0
54.0,1.0,0.53,5.0
55.0,1.0,0.53,7.0
56.0,1.0,0.53,8.0
57.0,1.0,0.53,11.0
58.0,1.0,0.53,9.0
59.0,1.0,0.54,7.0
60.0,1.0,0.54,5.0
61.0,1.0,0.53,9.0
62.0,1.0,0.53,8.0
63.0,1.0,0.54,7.0
64.0,1.0,0.54,9.0
65.0,1.0,0.54,6.0
66.0,1.0,0.54,10.0
67.0,1.0,0.53,7.0
68.0,1.0,0.53,7.0
69.0,1.0,0.53,10.0
70.0,1.0,0.53,10.0
71.0,1.0,0.53,11.0
72.0,1.0,0.53,9.0
73.0,1.0,0.53,8.0
74.0,1.0,0.52,7.0
75.0,1.0,0.53,12.0
76.0,1.0,0.53,6.0
77.0,1.0,0.53,5.0
78.0,1.0,0.53,8.0
79.0,1.0,0.53,7.0
80.0,1.0,0.53,8.0
81.0,1.0,0.53,9.0
82.0,1.0,0.53,9.0
83.0,1.0,0.53,8.0
84.0,1.0,0.53,8.0
85.0,1.0,0.53,7.0
86.0,1.0,0.53,10.0
87.0,1.0,0.53,6.0
88.0,1.0,0.53,8.0
89.0,1.0,0.53,3.0
90.0,1.0,0.53,8.0
91.0,1.0,0.54,7.0
92.0,1.0,0.53,6.0
93.0,1.0,0.53,12.0
94.0,1.0,0.53,8.0
95.0,1.0,0.53,8.0
96.0,1.0,0.53,9.0
97.0,1.0,0.53,5.0
98.0,1.0,0.53,12.0
99.0,1.0,0.53,5.0
100.0,1.0,0.53,12.0
101.0,1.0,0.53,8.0
102.0,1.0,0.53,9.0
103.0,1.0,0.53,9.0
104.0,1.0,0.53,5.0
105.0,1.0,0.53,8.0
106.0,1.0,0.53,8.0
107.0,1.0,0.53,7.0
108.0,1.0,0.54,11.0
109.0,1.0,0.54,7.0
110.0,1.0,0.54,8.0
111.0,1.0,0.53,8.0
112.0,1.0,0.53,10.0
113.0,1.0,0.53,8.0
114.0,1.0,0.53,8.0
115.0,1.0,0.53,8.0
116.0,1.0,0.53,5.0
117.0,1.0,0.53,9.0
118.0,1.0,0.53,9.0
