,Topic Divergence,Avg Compat Ratio,Burst Length
186.0,-1.0,0.47,8.0
187.0,-1.0,0.47,10.0
188.0,-1.0,0.47,6.0
189.0,-1.0,0.47,8.0
190.0,-1.0,0.46,10.0
191.0,-1.0,0.46,8.0
192.0,-1.0,0.46,10.0
193.0,-1.0,0.46,5.0
194.0,-1.0,0.46,4.0
195.0,-1.0,0.46,11.0
196.0,-1.0,0.46,7.0
197.0,-1.0,0.46,11.0
198.0,-1.0,0.46,10.0
199.0,-1.0,0.46,7.0
200.0,-1.0,0.46,8.0
201.0,-1.0,0.46,5.0
202.0,-1.0,0.46,8.0
203.0,-1.0,0.46,7.0
204.0,-1.0,0.46,7.0
205.0,-1.0,0.46,6.0
206.0,-1.0,0.46,11.0
207.0,-1.0,0.46,11.0
208.0,-1.0,0.46,6.0
209.0,-1.0,0.46,10.0
210.0,-1.0,0.46,8.0
211.0,-1.0,0.46,8.0
212.0,-1.0,0.46,4.0
213.0,-1.0,0.46,6.0
214.0,-1.0,0.46,11.0
215.0,-1.0,0.46,7.0
216.0,-1.0,0.46,11.0
217.0,-1.0,0.46,9.0
218.0,-1.0,0.46,6.0
219.0,-1.0,0.46,11.0
220.0,-1.0,0.46,8.0
221.0,-1.0,0.46,9.0
222.0,-1.0,0.46,5.0
223.0,-1.0,0.46,7.0
224.0,-1.0,0.46,8.0
225.0,-1.0,0.46,8.0
226.0,-1.0,0.46,10.0
227.0,-1.0,0.46,8.0
228.0,-1.0,0.46,6.0
229.0,-1.0,0.46,8.0
230.0,-1.0,0.46,8.0
231.0,-1.0,0.46,12.0
232.0,-1.0,0.46,11.0
233.0,-1.0,0.46,5.0
234.0,-1.0,0.46,8.0
235.0,-1.0,0.46,7.0
236.0,-1.0,0.46,6.0
237.0,-1.0,0.46,5.0
238.0,-1.0,0.46,8.0
239.0,-1.0,0.46,5.0
240.0,-1.0,0.46,8.0
241.0,-1.0,0.46,7.0
242.0,-1.0,0.46,10.0
243.0,-1.0,0.46,9.0
244.0,-1.0,0.46,5.0
245.0,-1.0,0.46,11.0
246.0,-1.0,0.46,6.0
247.0,-1.0,0.46,6.0
248.0,-1.0,0.46,5.0
249.0,-1.0,0.46,12.0
250.0,-1.0,0.46,10.0
251.0,-1.0,0.46,6.0
252.0,-1.0,0.46,9.0
253.0,-1.0,0.46,6.0
254.0,-1.0,0.46,4.0
255.0,-1.0,0.46,9.0
256.0,-1.0,0.46,8.0
257.0,-1.0,0.46,8.0
258.0,-1.0,0.46,6.0
259.0,-1.0,0.46,6.0
260.0,-1.0,0.46,8.0
261.0,-1.0,0.46,11.0
262.0,-1.0,0.46,7.0
263.0,-1.0,0.46,6.0
264.0,-1.0,0.46,8.0
265.0,-1.0,0.46,8.0
266.0,-1.0,0.46,10.0
267.0,-1.0,0.46,4.0
268.0,-1.0,0.45,5.0
269.0,-1.0,0.45,6.0
270.0,-1.0,0.45,6.0
271.0,-1.0,0.45,6.0
272.0,-1.0,0.45,6.0
273.0,-1.0,0.45,9.0
274.0,-1.0,0.45,6.0
275.0,-1.0,0.45,4.0
276.0,-1.0,0.45,4.0
277.0,-1.0,0.45,11.0
278.0,-1.0,0.45,9.0
279.0,-1.0,0.45,9.0
280.0,-1.0,0.45,10.0
281.0,-1.0,0.45,4.0
282.0,-1.0,0.45,9.0
283.0,-1.0,0.45,7.0
