,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,7.0,4.0,3.0,0.57
2.0,1.0,7.0,4.0,3.0,0.57
3.0,1.0,12.0,9.0,3.0,0.75
4.0,1.0,5.0,3.0,2.0,0.6
5.0,1.0,7.0,6.0,1.0,0.86
6.0,-1.0,8.0,4.0,4.0,0.5
7.0,1.0,6.0,4.0,2.0,0.67
8.0,1.0,5.0,3.0,2.0,0.6
9.0,1.0,10.0,6.0,4.0,0.6
10.0,1.0,8.0,8.0,0.0,1.0
11.0,1.0,8.0,5.0,3.0,0.63
12.0,1.0,7.0,5.0,2.0,0.71
13.0,-1.0,8.0,3.0,5.0,0.38
14.0,1.0,3.0,3.0,0.0,1.0
15.0,1.0,7.0,5.0,2.0,0.71
16.0,1.0,7.0,7.0,0.0,1.0
17.0,-1.0,3.0,1.0,2.0,0.33
18.0,1.0,6.0,4.0,2.0,0.67
19.0,1.0,10.0,8.0,2.0,0.8
20.0,1.0,5.0,4.0,1.0,0.8
21.0,1.0,6.0,6.0,0.0,1.0
22.0,1.0,9.0,7.0,2.0,0.78
23.0,1.0,12.0,10.0,2.0,0.83
24.0,1.0,5.0,4.0,1.0,0.8
25.0,1.0,8.0,6.0,2.0,0.75
26.0,1.0,6.0,4.0,2.0,0.67
27.0,1.0,6.0,4.0,2.0,0.67
28.0,1.0,11.0,8.0,3.0,0.73
29.0,1.0,7.0,5.0,2.0,0.71
30.0,1.0,10.0,7.0,3.0,0.7
31.0,1.0,9.0,6.0,3.0,0.67
32.0,1.0,7.0,5.0,2.0,0.71
33.0,1.0,3.0,2.0,1.0,0.67
34.0,1.0,6.0,4.0,2.0,0.67
35.0,1.0,6.0,5.0,1.0,0.83
36.0,1.0,6.0,5.0,1.0,0.83
37.0,1.0,7.0,6.0,1.0,0.86
38.0,1.0,6.0,5.0,1.0,0.83
39.0,1.0,7.0,6.0,1.0,0.86
40.0,-1.0,7.0,2.0,5.0,0.29
41.0,1.0,7.0,6.0,1.0,0.86
42.0,1.0,8.0,8.0,0.0,1.0
43.0,1.0,5.0,4.0,1.0,0.8
44.0,1.0,7.0,5.0,2.0,0.71
45.0,1.0,8.0,5.0,3.0,0.63
46.0,1.0,10.0,7.0,3.0,0.7
47.0,1.0,10.0,8.0,2.0,0.8
48.0,1.0,6.0,4.0,2.0,0.67
49.0,1.0,10.0,9.0,1.0,0.9
50.0,1.0,8.0,5.0,3.0,0.63
51.0,1.0,7.0,4.0,3.0,0.57
52.0,-1.0,7.0,3.0,4.0,0.43
53.0,1.0,13.0,10.0,3.0,0.77
54.0,1.0,8.0,6.0,2.0,0.75
55.0,1.0,7.0,5.0,2.0,0.71
56.0,1.0,11.0,8.0,3.0,0.73
57.0,1.0,8.0,7.0,1.0,0.88
58.0,1.0,11.0,8.0,3.0,0.73
59.0,1.0,9.0,5.0,4.0,0.56
60.0,1.0,10.0,8.0,2.0,0.8
61.0,1.0,8.0,5.0,3.0,0.63
62.0,1.0,9.0,7.0,2.0,0.78
63.0,1.0,7.0,5.0,2.0,0.71
64.0,-1.0,9.0,4.0,5.0,0.44
65.0,1.0,8.0,6.0,2.0,0.75
66.0,1.0,9.0,8.0,1.0,0.89
67.0,1.0,6.0,4.0,2.0,0.67
68.0,1.0,8.0,6.0,2.0,0.75
69.0,1.0,7.0,6.0,1.0,0.86
70.0,1.0,10.0,7.0,3.0,0.7
71.0,1.0,6.0,5.0,1.0,0.83
72.0,1.0,5.0,4.0,1.0,0.8
73.0,1.0,8.0,7.0,1.0,0.88
74.0,1.0,7.0,4.0,3.0,0.57
75.0,-1.0,5.0,2.0,3.0,0.4
76.0,1.0,4.0,3.0,1.0,0.75
77.0,1.0,6.0,5.0,1.0,0.83
78.0,1.0,9.0,8.0,1.0,0.89
79.0,1.0,9.0,8.0,1.0,0.89
80.0,1.0,9.0,7.0,2.0,0.78
81.0,1.0,7.0,5.0,2.0,0.71
82.0,1.0,6.0,5.0,1.0,0.83
83.0,1.0,8.0,7.0,1.0,0.88
84.0,1.0,10.0,7.0,3.0,0.7
85.0,1.0,3.0,2.0,1.0,0.67
86.0,1.0,5.0,5.0,0.0,1.0
87.0,1.0,7.0,6.0,1.0,0.86
88.0,1.0,7.0,6.0,1.0,0.86
89.0,1.0,8.0,5.0,3.0,0.63
90.0,1.0,9.0,5.0,4.0,0.56
91.0,1.0,5.0,5.0,0.0,1.0
92.0,1.0,5.0,3.0,2.0,0.6
93.0,1.0,7.0,5.0,2.0,0.71
94.0,-1.0,8.0,4.0,4.0,0.5
95.0,1.0,10.0,9.0,1.0,0.9
96.0,1.0,10.0,8.0,2.0,0.8
97.0,1.0,7.0,4.0,3.0,0.57
98.0,1.0,9.0,8.0,1.0,0.89
99.0,-1.0,6.0,3.0,3.0,0.5
100.0,1.0,5.0,4.0,1.0,0.8
101.0,1.0,9.0,6.0,3.0,0.67
102.0,1.0,5.0,5.0,0.0,1.0
103.0,1.0,9.0,7.0,2.0,0.78
104.0,1.0,9.0,7.0,2.0,0.78
105.0,1.0,9.0,7.0,2.0,0.78
106.0,1.0,11.0,7.0,4.0,0.64
107.0,1.0,10.0,6.0,4.0,0.6
108.0,-1.0,8.0,3.0,5.0,0.38
109.0,1.0,9.0,7.0,2.0,0.78
110.0,1.0,9.0,6.0,3.0,0.67
111.0,1.0,9.0,6.0,3.0,0.67
112.0,-1.0,8.0,4.0,4.0,0.5
113.0,1.0,9.0,5.0,4.0,0.56
114.0,-1.0,10.0,5.0,5.0,0.5
115.0,1.0,4.0,4.0,0.0,1.0
116.0,1.0,10.0,6.0,4.0,0.6
117.0,1.0,10.0,7.0,3.0,0.7
118.0,1.0,4.0,4.0,0.0,1.0
119.0,1.0,6.0,4.0,2.0,0.67
120.0,1.0,10.0,9.0,1.0,0.9
121.0,1.0,7.0,5.0,2.0,0.71
122.0,1.0,9.0,5.0,4.0,0.56
123.0,1.0,5.0,4.0,1.0,0.8
124.0,1.0,7.0,6.0,1.0,0.86
125.0,1.0,7.0,5.0,2.0,0.71
126.0,-1.0,4.0,2.0,2.0,0.5
127.0,1.0,9.0,5.0,4.0,0.56
128.0,1.0,6.0,4.0,2.0,0.67
129.0,1.0,9.0,7.0,2.0,0.78
130.0,1.0,8.0,7.0,1.0,0.88
131.0,1.0,6.0,5.0,1.0,0.83
132.0,1.0,6.0,4.0,2.0,0.67
133.0,1.0,11.0,8.0,3.0,0.73
134.0,1.0,9.0,5.0,4.0,0.56
135.0,1.0,6.0,4.0,2.0,0.67
136.0,1.0,11.0,7.0,4.0,0.64
137.0,1.0,6.0,4.0,2.0,0.67
138.0,1.0,8.0,5.0,3.0,0.63
139.0,1.0,10.0,6.0,4.0,0.6
140.0,1.0,10.0,10.0,0.0,1.0
141.0,1.0,9.0,8.0,1.0,0.89
142.0,1.0,9.0,8.0,1.0,0.89
143.0,1.0,6.0,4.0,2.0,0.67
144.0,1.0,9.0,6.0,3.0,0.67
145.0,1.0,8.0,5.0,3.0,0.63
146.0,1.0,9.0,7.0,2.0,0.78
147.0,1.0,8.0,6.0,2.0,0.75
148.0,-1.0,6.0,3.0,3.0,0.5
149.0,-1.0,4.0,2.0,2.0,0.5
150.0,1.0,8.0,6.0,2.0,0.75
151.0,-1.0,8.0,4.0,4.0,0.5
152.0,1.0,10.0,6.0,4.0,0.6
153.0,-1.0,7.0,3.0,4.0,0.43
154.0,1.0,8.0,5.0,3.0,0.63
155.0,-1.0,7.0,3.0,4.0,0.43
156.0,1.0,7.0,4.0,3.0,0.57
157.0,-1.0,8.0,4.0,4.0,0.5
158.0,1.0,8.0,6.0,2.0,0.75
159.0,1.0,7.0,5.0,2.0,0.71
160.0,1.0,9.0,6.0,3.0,0.67
161.0,1.0,9.0,5.0,4.0,0.56
162.0,1.0,9.0,7.0,2.0,0.78
163.0,1.0,5.0,5.0,0.0,1.0
164.0,1.0,7.0,5.0,2.0,0.71
165.0,1.0,8.0,6.0,2.0,0.75
166.0,1.0,6.0,6.0,0.0,1.0
167.0,1.0,4.0,3.0,1.0,0.75
168.0,1.0,10.0,9.0,1.0,0.9
169.0,-1.0,8.0,3.0,5.0,0.38
170.0,1.0,6.0,5.0,1.0,0.83
171.0,1.0,5.0,4.0,1.0,0.8
