,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,7.0,4.0,3.0,0.57
2.0,1.0,11.0,6.0,5.0,0.55
3.0,1.0,7.0,5.0,2.0,0.71
4.0,1.0,7.0,5.0,2.0,0.71
5.0,-1.0,6.0,2.0,4.0,0.33
6.0,1.0,7.0,4.0,3.0,0.57
7.0,-1.0,5.0,2.0,3.0,0.4
8.0,1.0,8.0,7.0,1.0,0.88
9.0,1.0,5.0,4.0,1.0,0.8
10.0,1.0,11.0,8.0,3.0,0.73
11.0,-1.0,6.0,2.0,4.0,0.33
12.0,-1.0,7.0,3.0,4.0,0.43
13.0,1.0,8.0,5.0,3.0,0.63
14.0,1.0,9.0,9.0,0.0,1.0
15.0,1.0,8.0,6.0,2.0,0.75
16.0,-1.0,6.0,3.0,3.0,0.5
17.0,1.0,10.0,7.0,3.0,0.7
18.0,-1.0,10.0,5.0,5.0,0.5
19.0,-1.0,8.0,4.0,4.0,0.5
20.0,1.0,8.0,7.0,1.0,0.88
21.0,-1.0,10.0,4.0,6.0,0.4
22.0,1.0,7.0,4.0,3.0,0.57
23.0,1.0,7.0,7.0,0.0,1.0
24.0,-1.0,8.0,4.0,4.0,0.5
25.0,-1.0,4.0,2.0,2.0,0.5
26.0,1.0,5.0,4.0,1.0,0.8
27.0,-1.0,6.0,3.0,3.0,0.5
28.0,1.0,9.0,7.0,2.0,0.78
29.0,-1.0,10.0,5.0,5.0,0.5
30.0,1.0,9.0,5.0,4.0,0.56
31.0,-1.0,7.0,3.0,4.0,0.43
32.0,1.0,6.0,5.0,1.0,0.83
33.0,1.0,11.0,8.0,3.0,0.73
34.0,1.0,7.0,7.0,0.0,1.0
35.0,1.0,7.0,5.0,2.0,0.71
36.0,1.0,6.0,4.0,2.0,0.67
37.0,1.0,6.0,5.0,1.0,0.83
38.0,1.0,7.0,5.0,2.0,0.71
39.0,1.0,7.0,5.0,2.0,0.71
40.0,1.0,11.0,7.0,4.0,0.64
41.0,1.0,7.0,5.0,2.0,0.71
42.0,1.0,7.0,4.0,3.0,0.57
43.0,1.0,6.0,5.0,1.0,0.83
44.0,1.0,9.0,6.0,3.0,0.67
45.0,-1.0,8.0,4.0,4.0,0.5
46.0,1.0,8.0,6.0,2.0,0.75
47.0,-1.0,6.0,2.0,4.0,0.33
48.0,1.0,8.0,6.0,2.0,0.75
49.0,1.0,10.0,8.0,2.0,0.8
50.0,1.0,5.0,4.0,1.0,0.8
51.0,1.0,7.0,4.0,3.0,0.57
52.0,1.0,8.0,6.0,2.0,0.75
53.0,1.0,9.0,8.0,1.0,0.89
54.0,-1.0,8.0,3.0,5.0,0.38
55.0,1.0,9.0,7.0,2.0,0.78
56.0,-1.0,6.0,2.0,4.0,0.33
57.0,1.0,9.0,8.0,1.0,0.89
58.0,1.0,5.0,4.0,1.0,0.8
59.0,1.0,9.0,5.0,4.0,0.56
60.0,1.0,6.0,4.0,2.0,0.67
61.0,1.0,5.0,5.0,0.0,1.0
62.0,-1.0,8.0,4.0,4.0,0.5
63.0,1.0,5.0,3.0,2.0,0.6
64.0,1.0,5.0,5.0,0.0,1.0
65.0,1.0,7.0,4.0,3.0,0.57
66.0,1.0,4.0,4.0,0.0,1.0
67.0,1.0,9.0,6.0,3.0,0.67
68.0,1.0,6.0,5.0,1.0,0.83
69.0,-1.0,8.0,4.0,4.0,0.5
70.0,1.0,9.0,5.0,4.0,0.56
71.0,1.0,11.0,7.0,4.0,0.64
72.0,1.0,7.0,4.0,3.0,0.57
73.0,1.0,8.0,6.0,2.0,0.75
74.0,1.0,6.0,5.0,1.0,0.83
75.0,1.0,9.0,7.0,2.0,0.78
76.0,-1.0,7.0,3.0,4.0,0.43
77.0,1.0,8.0,5.0,3.0,0.63
78.0,1.0,10.0,8.0,2.0,0.8
79.0,-1.0,8.0,2.0,6.0,0.25
80.0,1.0,11.0,7.0,4.0,0.64
81.0,-1.0,11.0,4.0,7.0,0.36
82.0,1.0,8.0,7.0,1.0,0.88
83.0,1.0,11.0,7.0,4.0,0.64
84.0,1.0,7.0,7.0,0.0,1.0
85.0,1.0,5.0,4.0,1.0,0.8
86.0,1.0,5.0,3.0,2.0,0.6
87.0,1.0,5.0,3.0,2.0,0.6
88.0,1.0,6.0,4.0,2.0,0.67
89.0,1.0,10.0,9.0,1.0,0.9
90.0,1.0,8.0,5.0,3.0,0.63
91.0,-1.0,5.0,2.0,3.0,0.4
92.0,1.0,8.0,6.0,2.0,0.75
93.0,1.0,9.0,6.0,3.0,0.67
94.0,-1.0,8.0,4.0,4.0,0.5
95.0,1.0,5.0,5.0,0.0,1.0
96.0,-1.0,7.0,3.0,4.0,0.43
97.0,1.0,12.0,9.0,3.0,0.75
98.0,1.0,5.0,3.0,2.0,0.6
99.0,1.0,8.0,6.0,2.0,0.75
100.0,-1.0,6.0,2.0,4.0,0.33
101.0,1.0,7.0,5.0,2.0,0.71
102.0,1.0,5.0,3.0,2.0,0.6
103.0,1.0,5.0,4.0,1.0,0.8
104.0,1.0,10.0,7.0,3.0,0.7
105.0,1.0,10.0,6.0,4.0,0.6
106.0,1.0,7.0,7.0,0.0,1.0
107.0,1.0,6.0,4.0,2.0,0.67
108.0,1.0,10.0,9.0,1.0,0.9
109.0,1.0,7.0,5.0,2.0,0.71
110.0,-1.0,7.0,3.0,4.0,0.43
111.0,1.0,7.0,4.0,3.0,0.57
112.0,1.0,8.0,5.0,3.0,0.63
113.0,1.0,6.0,5.0,1.0,0.83
114.0,-1.0,8.0,4.0,4.0,0.5
115.0,1.0,8.0,5.0,3.0,0.63
116.0,1.0,5.0,3.0,2.0,0.6
117.0,1.0,10.0,7.0,3.0,0.7
118.0,1.0,6.0,5.0,1.0,0.83
119.0,1.0,11.0,9.0,2.0,0.82
120.0,1.0,8.0,7.0,1.0,0.88
121.0,-1.0,10.0,5.0,5.0,0.5
122.0,1.0,10.0,8.0,2.0,0.8
123.0,1.0,5.0,3.0,2.0,0.6
124.0,1.0,7.0,4.0,3.0,0.57
125.0,1.0,6.0,4.0,2.0,0.67
126.0,-1.0,8.0,4.0,4.0,0.5
127.0,1.0,7.0,4.0,3.0,0.57
128.0,1.0,4.0,4.0,0.0,1.0
129.0,1.0,8.0,6.0,2.0,0.75
130.0,1.0,7.0,4.0,3.0,0.57
131.0,-1.0,8.0,4.0,4.0,0.5
132.0,1.0,10.0,9.0,1.0,0.9
133.0,1.0,7.0,4.0,3.0,0.57
134.0,1.0,4.0,4.0,0.0,1.0
135.0,-1.0,5.0,2.0,3.0,0.4
136.0,1.0,11.0,9.0,2.0,0.82
137.0,1.0,12.0,7.0,5.0,0.58
138.0,1.0,7.0,4.0,3.0,0.57
139.0,1.0,5.0,3.0,2.0,0.6
140.0,1.0,9.0,6.0,3.0,0.67
141.0,-1.0,7.0,1.0,6.0,0.14
142.0,1.0,6.0,4.0,2.0,0.67
143.0,1.0,7.0,5.0,2.0,0.71
144.0,1.0,7.0,5.0,2.0,0.71
145.0,1.0,7.0,5.0,2.0,0.71
146.0,-1.0,8.0,4.0,4.0,0.5
147.0,1.0,7.0,5.0,2.0,0.71
148.0,-1.0,11.0,4.0,7.0,0.36
149.0,-1.0,9.0,4.0,5.0,0.44
150.0,1.0,5.0,4.0,1.0,0.8
151.0,1.0,7.0,6.0,1.0,0.86
152.0,1.0,10.0,6.0,4.0,0.6
153.0,1.0,8.0,7.0,1.0,0.88
154.0,1.0,6.0,6.0,0.0,1.0
155.0,1.0,11.0,8.0,3.0,0.73
156.0,-1.0,4.0,1.0,3.0,0.25
157.0,-1.0,6.0,3.0,3.0,0.5
158.0,1.0,10.0,6.0,4.0,0.6
159.0,1.0,9.0,8.0,1.0,0.89
160.0,1.0,7.0,5.0,2.0,0.71
161.0,-1.0,8.0,3.0,5.0,0.38
162.0,1.0,7.0,4.0,3.0,0.57
163.0,-1.0,6.0,3.0,3.0,0.5
164.0,-1.0,7.0,3.0,4.0,0.43
165.0,1.0,10.0,7.0,3.0,0.7
166.0,-1.0,4.0,2.0,2.0,0.5
167.0,1.0,11.0,6.0,5.0,0.55
168.0,-1.0,5.0,2.0,3.0,0.4
169.0,1.0,6.0,4.0,2.0,0.67
170.0,1.0,5.0,4.0,1.0,0.8
