Compatíveis  1046  |  467   Incompatíveis
Compatíveis  1072  |  444   Incompatíveis
Compatíveis   954  |  512   Incompatíveis
Compatíveis  1080  |  414   Incompatíveis
Compatíveis  1061  |  448   Incompatíveis
Compatíveis  1059  |  425   Incompatíveis
Compatíveis   919  |  594   Incompatíveis
Compatíveis  1066  |  462   Incompatíveis
Compatíveis   994  |  514   Incompatíveis
Compatíveis   998  |  470   Incompatíveis
Compatíveis  1103  |  328   Incompatíveis
Compatíveis  1097  |  377   Incompatíveis
Compatíveis  1132  |  367   Incompatíveis
Compatíveis  1119  |  376   Incompatíveis
Compatíveis  1001  |  471   Incompatíveis
Compatíveis  1242  |  329   Incompatíveis
Compatíveis   838  |  650   Incompatíveis
Compatíveis   936  |  545   Incompatíveis
Compatíveis  1140  |  379   Incompatíveis
Compatíveis  1087  |  422   Incompatíveis
