,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,-1.0,9.0,1.0,8.0,0.11
2.0,1.0,5.0,3.0,2.0,0.6
3.0,-1.0,10.0,5.0,5.0,0.5
4.0,-1.0,6.0,1.0,5.0,0.17
5.0,1.0,8.0,5.0,3.0,0.63
6.0,1.0,9.0,5.0,4.0,0.56
7.0,-1.0,5.0,2.0,3.0,0.4
8.0,-1.0,10.0,3.0,7.0,0.3
9.0,-1.0,10.0,5.0,5.0,0.5
10.0,-1.0,9.0,3.0,6.0,0.33
11.0,-1.0,6.0,3.0,3.0,0.5
12.0,-1.0,9.0,4.0,5.0,0.44
13.0,-1.0,5.0,2.0,3.0,0.4
14.0,-1.0,11.0,5.0,6.0,0.45
15.0,1.0,13.0,7.0,6.0,0.54
16.0,1.0,8.0,6.0,2.0,0.75
17.0,-1.0,13.0,5.0,8.0,0.38
18.0,1.0,10.0,6.0,4.0,0.6
19.0,-1.0,4.0,2.0,2.0,0.5
20.0,1.0,7.0,4.0,3.0,0.57
21.0,-1.0,8.0,4.0,4.0,0.5
22.0,-1.0,11.0,3.0,8.0,0.27
23.0,-1.0,12.0,5.0,7.0,0.42
24.0,-1.0,5.0,1.0,4.0,0.2
25.0,-1.0,5.0,1.0,4.0,0.2
26.0,1.0,6.0,4.0,2.0,0.67
27.0,-1.0,11.0,5.0,6.0,0.45
28.0,-1.0,8.0,2.0,6.0,0.25
29.0,1.0,11.0,7.0,4.0,0.64
30.0,-1.0,10.0,3.0,7.0,0.3
31.0,1.0,5.0,3.0,2.0,0.6
32.0,-1.0,7.0,3.0,4.0,0.43
33.0,-1.0,10.0,1.0,9.0,0.1
34.0,-1.0,6.0,1.0,5.0,0.17
35.0,1.0,7.0,4.0,3.0,0.57
36.0,-1.0,5.0,1.0,4.0,0.2
37.0,-1.0,6.0,3.0,3.0,0.5
38.0,-1.0,9.0,4.0,5.0,0.44
39.0,-1.0,8.0,2.0,6.0,0.25
40.0,-1.0,10.0,4.0,6.0,0.4
41.0,-1.0,8.0,4.0,4.0,0.5
42.0,1.0,5.0,3.0,2.0,0.6
43.0,1.0,6.0,4.0,2.0,0.67
44.0,-1.0,6.0,3.0,3.0,0.5
45.0,1.0,7.0,4.0,3.0,0.57
46.0,-1.0,9.0,2.0,7.0,0.22
47.0,-1.0,8.0,4.0,4.0,0.5
48.0,-1.0,6.0,3.0,3.0,0.5
49.0,-1.0,8.0,3.0,5.0,0.38
50.0,-1.0,9.0,3.0,6.0,0.33
51.0,-1.0,6.0,2.0,4.0,0.33
52.0,-1.0,7.0,1.0,6.0,0.14
53.0,1.0,7.0,4.0,3.0,0.57
54.0,-1.0,4.0,2.0,2.0,0.5
55.0,-1.0,6.0,2.0,4.0,0.33
56.0,-1.0,6.0,1.0,5.0,0.17
57.0,-1.0,8.0,4.0,4.0,0.5
58.0,1.0,7.0,5.0,2.0,0.71
59.0,-1.0,10.0,2.0,8.0,0.2
60.0,1.0,10.0,6.0,4.0,0.6
61.0,-1.0,4.0,1.0,3.0,0.25
62.0,-1.0,9.0,3.0,6.0,0.33
63.0,-1.0,3.0,0.0,3.0,0.0
64.0,-1.0,10.0,4.0,6.0,0.4
65.0,-1.0,8.0,2.0,6.0,0.25
66.0,1.0,8.0,6.0,2.0,0.75
67.0,-1.0,8.0,2.0,6.0,0.25
68.0,-1.0,7.0,2.0,5.0,0.29
69.0,-1.0,4.0,1.0,3.0,0.25
70.0,1.0,7.0,5.0,2.0,0.71
71.0,-1.0,7.0,3.0,4.0,0.43
72.0,-1.0,6.0,3.0,3.0,0.5
73.0,-1.0,6.0,2.0,4.0,0.33
74.0,1.0,11.0,8.0,3.0,0.73
75.0,1.0,12.0,8.0,4.0,0.67
76.0,-1.0,6.0,3.0,3.0,0.5
77.0,1.0,6.0,4.0,2.0,0.67
78.0,-1.0,9.0,4.0,5.0,0.44
79.0,-1.0,8.0,4.0,4.0,0.5
