,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,-1.0,9.0,3.0,6.0,0.33
2.0,1.0,11.0,8.0,3.0,0.73
3.0,1.0,5.0,3.0,2.0,0.6
4.0,1.0,10.0,7.0,3.0,0.7
5.0,1.0,9.0,5.0,4.0,0.56
6.0,-1.0,8.0,2.0,6.0,0.25
7.0,-1.0,7.0,2.0,5.0,0.29
8.0,1.0,9.0,5.0,4.0,0.56
9.0,-1.0,11.0,5.0,6.0,0.45
10.0,-1.0,10.0,4.0,6.0,0.4
11.0,1.0,8.0,5.0,3.0,0.63
12.0,-1.0,8.0,3.0,5.0,0.38
13.0,-1.0,10.0,3.0,7.0,0.3
14.0,-1.0,8.0,4.0,4.0,0.5
15.0,-1.0,6.0,3.0,3.0,0.5
16.0,1.0,9.0,6.0,3.0,0.67
17.0,-1.0,5.0,1.0,4.0,0.2
18.0,-1.0,5.0,1.0,4.0,0.2
19.0,1.0,9.0,5.0,4.0,0.56
20.0,-1.0,11.0,5.0,6.0,0.45
21.0,1.0,13.0,7.0,6.0,0.54
22.0,1.0,4.0,3.0,1.0,0.75
23.0,-1.0,8.0,4.0,4.0,0.5
24.0,1.0,6.0,5.0,1.0,0.83
25.0,-1.0,5.0,2.0,3.0,0.4
26.0,-1.0,5.0,1.0,4.0,0.2
27.0,-1.0,6.0,2.0,4.0,0.33
28.0,1.0,6.0,6.0,0.0,1.0
29.0,1.0,8.0,5.0,3.0,0.63
30.0,-1.0,7.0,3.0,4.0,0.43
31.0,-1.0,9.0,3.0,6.0,0.33
32.0,1.0,10.0,7.0,3.0,0.7
33.0,-1.0,5.0,2.0,3.0,0.4
34.0,-1.0,5.0,2.0,3.0,0.4
35.0,-1.0,8.0,4.0,4.0,0.5
36.0,-1.0,8.0,3.0,5.0,0.38
37.0,-1.0,2.0,1.0,1.0,0.5
38.0,1.0,10.0,8.0,2.0,0.8
39.0,-1.0,4.0,2.0,2.0,0.5
40.0,1.0,8.0,6.0,2.0,0.75
41.0,1.0,5.0,4.0,1.0,0.8
42.0,1.0,9.0,5.0,4.0,0.56
43.0,1.0,7.0,6.0,1.0,0.86
44.0,1.0,8.0,5.0,3.0,0.63
45.0,1.0,9.0,6.0,3.0,0.67
46.0,1.0,5.0,3.0,2.0,0.6
47.0,1.0,9.0,5.0,4.0,0.56
48.0,1.0,6.0,4.0,2.0,0.67
49.0,1.0,7.0,4.0,3.0,0.57
50.0,1.0,9.0,5.0,4.0,0.56
51.0,1.0,8.0,5.0,3.0,0.63
52.0,1.0,7.0,5.0,2.0,0.71
53.0,-1.0,8.0,4.0,4.0,0.5
54.0,1.0,8.0,5.0,3.0,0.63
55.0,1.0,7.0,4.0,3.0,0.57
56.0,-1.0,10.0,5.0,5.0,0.5
57.0,1.0,6.0,4.0,2.0,0.67
58.0,-1.0,9.0,4.0,5.0,0.44
59.0,-1.0,3.0,1.0,2.0,0.33
60.0,-1.0,6.0,3.0,3.0,0.5
61.0,1.0,7.0,4.0,3.0,0.57
62.0,-1.0,7.0,2.0,5.0,0.29
63.0,1.0,9.0,6.0,3.0,0.67
64.0,1.0,9.0,5.0,4.0,0.56
65.0,1.0,8.0,6.0,2.0,0.75
66.0,1.0,5.0,4.0,1.0,0.8
67.0,1.0,6.0,4.0,2.0,0.67
68.0,-1.0,6.0,3.0,3.0,0.5
69.0,1.0,8.0,6.0,2.0,0.75
70.0,1.0,7.0,6.0,1.0,0.86
71.0,1.0,11.0,6.0,5.0,0.55
72.0,-1.0,8.0,4.0,4.0,0.5
73.0,1.0,7.0,4.0,3.0,0.57
74.0,1.0,8.0,6.0,2.0,0.75
75.0,1.0,11.0,6.0,5.0,0.55
76.0,-1.0,8.0,4.0,4.0,0.5
77.0,-1.0,9.0,3.0,6.0,0.33
78.0,1.0,9.0,6.0,3.0,0.67
79.0,-1.0,8.0,4.0,4.0,0.5
80.0,-1.0,10.0,4.0,6.0,0.4
81.0,1.0,6.0,5.0,1.0,0.83
82.0,1.0,6.0,4.0,2.0,0.67
83.0,1.0,9.0,6.0,3.0,0.67
84.0,-1.0,4.0,1.0,3.0,0.25
