,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,9.0,7.0,2.0,0.78
2.0,-1.0,9.0,3.0,6.0,0.33
3.0,1.0,7.0,6.0,1.0,0.86
4.0,-1.0,10.0,4.0,6.0,0.4
5.0,-1.0,7.0,2.0,5.0,0.29
6.0,-1.0,7.0,3.0,4.0,0.43
7.0,1.0,4.0,3.0,1.0,0.75
8.0,1.0,7.0,4.0,3.0,0.57
9.0,1.0,3.0,2.0,1.0,0.67
10.0,-1.0,8.0,4.0,4.0,0.5
11.0,1.0,8.0,5.0,3.0,0.63
12.0,1.0,9.0,6.0,3.0,0.67
13.0,-1.0,6.0,3.0,3.0,0.5
14.0,-1.0,10.0,5.0,5.0,0.5
15.0,-1.0,7.0,3.0,4.0,0.43
16.0,-1.0,9.0,3.0,6.0,0.33
17.0,1.0,5.0,3.0,2.0,0.6
18.0,1.0,6.0,4.0,2.0,0.67
19.0,1.0,7.0,4.0,3.0,0.57
20.0,1.0,5.0,3.0,2.0,0.6
21.0,-1.0,7.0,3.0,4.0,0.43
22.0,-1.0,5.0,2.0,3.0,0.4
23.0,-1.0,9.0,2.0,7.0,0.22
24.0,1.0,10.0,8.0,2.0,0.8
25.0,-1.0,7.0,3.0,4.0,0.43
26.0,1.0,8.0,7.0,1.0,0.88
27.0,1.0,7.0,6.0,1.0,0.86
28.0,1.0,7.0,5.0,2.0,0.71
29.0,1.0,6.0,4.0,2.0,0.67
30.0,-1.0,9.0,4.0,5.0,0.44
31.0,1.0,5.0,4.0,1.0,0.8
32.0,1.0,7.0,4.0,3.0,0.57
33.0,-1.0,8.0,3.0,5.0,0.38
34.0,-1.0,7.0,3.0,4.0,0.43
35.0,1.0,11.0,9.0,2.0,0.82
36.0,1.0,6.0,4.0,2.0,0.67
37.0,1.0,9.0,6.0,3.0,0.67
38.0,1.0,8.0,5.0,3.0,0.63
39.0,1.0,9.0,5.0,4.0,0.56
40.0,-1.0,6.0,3.0,3.0,0.5
41.0,1.0,9.0,6.0,3.0,0.67
42.0,-1.0,10.0,5.0,5.0,0.5
43.0,-1.0,7.0,3.0,4.0,0.43
44.0,1.0,6.0,4.0,2.0,0.67
45.0,-1.0,7.0,2.0,5.0,0.29
46.0,1.0,7.0,4.0,3.0,0.57
47.0,-1.0,7.0,2.0,5.0,0.29
48.0,-1.0,8.0,3.0,5.0,0.38
49.0,-1.0,6.0,2.0,4.0,0.33
50.0,-1.0,8.0,4.0,4.0,0.5
51.0,1.0,4.0,4.0,0.0,1.0
52.0,1.0,8.0,5.0,3.0,0.63
53.0,1.0,8.0,6.0,2.0,0.75
54.0,-1.0,3.0,1.0,2.0,0.33
55.0,-1.0,7.0,2.0,5.0,0.29
56.0,-1.0,6.0,3.0,3.0,0.5
57.0,1.0,6.0,6.0,0.0,1.0
58.0,1.0,8.0,5.0,3.0,0.63
59.0,1.0,6.0,4.0,2.0,0.67
60.0,1.0,8.0,5.0,3.0,0.63
61.0,-1.0,9.0,2.0,7.0,0.22
62.0,-1.0,5.0,2.0,3.0,0.4
63.0,1.0,5.0,4.0,1.0,0.8
64.0,1.0,8.0,5.0,3.0,0.63
65.0,-1.0,4.0,1.0,3.0,0.25
66.0,1.0,5.0,3.0,2.0,0.6
67.0,1.0,5.0,4.0,1.0,0.8
68.0,-1.0,9.0,2.0,7.0,0.22
69.0,-1.0,10.0,5.0,5.0,0.5
70.0,-1.0,9.0,3.0,6.0,0.33
71.0,-1.0,7.0,3.0,4.0,0.43
72.0,1.0,8.0,5.0,3.0,0.63
73.0,-1.0,7.0,2.0,5.0,0.29
74.0,-1.0,10.0,3.0,7.0,0.3
75.0,-1.0,7.0,3.0,4.0,0.43
76.0,-1.0,8.0,3.0,5.0,0.38
77.0,1.0,5.0,5.0,0.0,1.0
78.0,-1.0,7.0,3.0,4.0,0.43
79.0,-1.0,8.0,2.0,6.0,0.25
80.0,-1.0,8.0,3.0,5.0,0.38
81.0,-1.0,8.0,4.0,4.0,0.5
82.0,-1.0,5.0,2.0,3.0,0.4
83.0,1.0,7.0,4.0,3.0,0.57
84.0,-1.0,10.0,5.0,5.0,0.5
85.0,-1.0,8.0,3.0,5.0,0.38
86.0,-1.0,7.0,1.0,6.0,0.14
87.0,-1.0,5.0,2.0,3.0,0.4
88.0,-1.0,8.0,2.0,6.0,0.25
89.0,1.0,5.0,3.0,2.0,0.6
90.0,1.0,4.0,4.0,0.0,1.0
91.0,-1.0,6.0,2.0,4.0,0.33
92.0,-1.0,8.0,4.0,4.0,0.5
93.0,-1.0,2.0,1.0,1.0,0.5
94.0,-1.0,4.0,1.0,3.0,0.25
95.0,-1.0,9.0,4.0,5.0,0.44
96.0,-1.0,8.0,2.0,6.0,0.25
97.0,-1.0,10.0,5.0,5.0,0.5
98.0,1.0,9.0,5.0,4.0,0.56
99.0,-1.0,7.0,1.0,6.0,0.14
100.0,1.0,5.0,3.0,2.0,0.6
101.0,-1.0,4.0,2.0,2.0,0.5
102.0,-1.0,6.0,3.0,3.0,0.5
103.0,-1.0,5.0,0.0,5.0,0.0
104.0,-1.0,10.0,4.0,6.0,0.4
105.0,-1.0,9.0,1.0,8.0,0.11
106.0,1.0,7.0,5.0,2.0,0.71
107.0,-1.0,9.0,4.0,5.0,0.44
108.0,1.0,7.0,5.0,2.0,0.71
109.0,-1.0,8.0,2.0,6.0,0.25
110.0,-1.0,4.0,1.0,3.0,0.25
111.0,1.0,9.0,5.0,4.0,0.56
112.0,-1.0,9.0,4.0,5.0,0.44
113.0,1.0,6.0,4.0,2.0,0.67
114.0,1.0,6.0,4.0,2.0,0.67
115.0,-1.0,9.0,3.0,6.0,0.33
116.0,1.0,9.0,5.0,4.0,0.56
117.0,-1.0,9.0,2.0,7.0,0.22
118.0,-1.0,10.0,4.0,6.0,0.4
119.0,-1.0,7.0,3.0,4.0,0.43
120.0,-1.0,5.0,2.0,3.0,0.4
121.0,1.0,9.0,5.0,4.0,0.56
122.0,-1.0,5.0,2.0,3.0,0.4
123.0,1.0,9.0,6.0,3.0,0.67
124.0,1.0,8.0,6.0,2.0,0.75
125.0,-1.0,8.0,3.0,5.0,0.38
126.0,1.0,8.0,6.0,2.0,0.75
127.0,1.0,8.0,5.0,3.0,0.63
128.0,1.0,5.0,3.0,2.0,0.6
129.0,-1.0,10.0,3.0,7.0,0.3
130.0,-1.0,5.0,1.0,4.0,0.2
131.0,-1.0,9.0,4.0,5.0,0.44
132.0,1.0,7.0,4.0,3.0,0.57
133.0,-1.0,6.0,2.0,4.0,0.33
134.0,1.0,5.0,3.0,2.0,0.6
135.0,1.0,9.0,5.0,4.0,0.56
136.0,-1.0,10.0,5.0,5.0,0.5
137.0,1.0,5.0,3.0,2.0,0.6
138.0,1.0,9.0,6.0,3.0,0.67
139.0,1.0,7.0,4.0,3.0,0.57
140.0,-1.0,8.0,3.0,5.0,0.38
141.0,1.0,8.0,7.0,1.0,0.88
142.0,-1.0,7.0,2.0,5.0,0.29
143.0,1.0,9.0,5.0,4.0,0.56
144.0,1.0,4.0,3.0,1.0,0.75
145.0,1.0,9.0,6.0,3.0,0.67
146.0,1.0,4.0,3.0,1.0,0.75
147.0,1.0,6.0,4.0,2.0,0.67
148.0,-1.0,8.0,2.0,6.0,0.25
149.0,-1.0,5.0,1.0,4.0,0.2
150.0,1.0,8.0,6.0,2.0,0.75
151.0,-1.0,6.0,3.0,3.0,0.5
152.0,1.0,5.0,3.0,2.0,0.6
153.0,-1.0,6.0,3.0,3.0,0.5
154.0,1.0,8.0,5.0,3.0,0.63
155.0,-1.0,8.0,3.0,5.0,0.38
156.0,-1.0,7.0,2.0,5.0,0.29
157.0,-1.0,8.0,3.0,5.0,0.38
158.0,-1.0,9.0,3.0,6.0,0.33
159.0,-1.0,6.0,0.0,6.0,0.0
160.0,1.0,9.0,5.0,4.0,0.56
