,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,-1.0,6.0,2.0,4.0,0.33
2.0,-1.0,7.0,3.0,4.0,0.43
3.0,1.0,7.0,4.0,3.0,0.57
4.0,-1.0,8.0,4.0,4.0,0.5
5.0,1.0,8.0,8.0,0.0,1.0
6.0,1.0,9.0,6.0,3.0,0.67
7.0,-1.0,9.0,4.0,5.0,0.44
8.0,-1.0,6.0,3.0,3.0,0.5
9.0,1.0,5.0,4.0,1.0,0.8
10.0,-1.0,10.0,5.0,5.0,0.5
11.0,-1.0,7.0,3.0,4.0,0.43
12.0,-1.0,10.0,4.0,6.0,0.4
13.0,-1.0,4.0,2.0,2.0,0.5
14.0,-1.0,12.0,6.0,6.0,0.5
15.0,-1.0,12.0,6.0,6.0,0.5
16.0,1.0,10.0,9.0,1.0,0.9
17.0,-1.0,7.0,3.0,4.0,0.43
18.0,-1.0,3.0,1.0,2.0,0.33
19.0,1.0,6.0,4.0,2.0,0.67
20.0,-1.0,7.0,3.0,4.0,0.43
21.0,-1.0,4.0,0.0,4.0,0.0
22.0,1.0,8.0,6.0,2.0,0.75
23.0,-1.0,3.0,0.0,3.0,0.0
24.0,-1.0,7.0,3.0,4.0,0.43
25.0,1.0,9.0,6.0,3.0,0.67
26.0,1.0,7.0,5.0,2.0,0.71
27.0,1.0,6.0,4.0,2.0,0.67
28.0,-1.0,6.0,2.0,4.0,0.33
29.0,-1.0,7.0,3.0,4.0,0.43
30.0,1.0,9.0,6.0,3.0,0.67
31.0,-1.0,6.0,3.0,3.0,0.5
32.0,-1.0,8.0,4.0,4.0,0.5
33.0,-1.0,9.0,4.0,5.0,0.44
34.0,-1.0,5.0,2.0,3.0,0.4
35.0,1.0,7.0,5.0,2.0,0.71
36.0,1.0,11.0,8.0,3.0,0.73
37.0,1.0,12.0,8.0,4.0,0.67
38.0,1.0,7.0,4.0,3.0,0.57
39.0,-1.0,7.0,3.0,4.0,0.43
40.0,1.0,9.0,5.0,4.0,0.56
41.0,1.0,5.0,3.0,2.0,0.6
42.0,1.0,7.0,4.0,3.0,0.57
43.0,-1.0,7.0,3.0,4.0,0.43
44.0,1.0,7.0,5.0,2.0,0.71
45.0,-1.0,9.0,4.0,5.0,0.44
46.0,-1.0,7.0,3.0,4.0,0.43
47.0,-1.0,6.0,1.0,5.0,0.17
48.0,1.0,6.0,5.0,1.0,0.83
49.0,1.0,5.0,3.0,2.0,0.6
50.0,-1.0,7.0,2.0,5.0,0.29
51.0,-1.0,6.0,1.0,5.0,0.17
52.0,-1.0,7.0,3.0,4.0,0.43
53.0,1.0,10.0,8.0,2.0,0.8
54.0,-1.0,7.0,3.0,4.0,0.43
55.0,1.0,8.0,5.0,3.0,0.63
56.0,1.0,5.0,3.0,2.0,0.6
57.0,-1.0,10.0,5.0,5.0,0.5
58.0,1.0,7.0,5.0,2.0,0.71
59.0,1.0,9.0,5.0,4.0,0.56
60.0,-1.0,9.0,4.0,5.0,0.44
61.0,-1.0,8.0,4.0,4.0,0.5
62.0,-1.0,6.0,2.0,4.0,0.33
63.0,1.0,9.0,7.0,2.0,0.78
64.0,-1.0,6.0,2.0,4.0,0.33
65.0,-1.0,7.0,2.0,5.0,0.29
66.0,1.0,9.0,7.0,2.0,0.78
67.0,-1.0,8.0,2.0,6.0,0.25
68.0,-1.0,11.0,5.0,6.0,0.45
69.0,-1.0,6.0,3.0,3.0,0.5
70.0,-1.0,7.0,3.0,4.0,0.43
71.0,-1.0,6.0,2.0,4.0,0.33
72.0,1.0,7.0,5.0,2.0,0.71
73.0,1.0,7.0,5.0,2.0,0.71
74.0,1.0,8.0,5.0,3.0,0.63
75.0,-1.0,10.0,5.0,5.0,0.5
76.0,-1.0,2.0,0.0,2.0,0.0
77.0,-1.0,8.0,4.0,4.0,0.5
78.0,1.0,11.0,6.0,5.0,0.55
79.0,-1.0,7.0,3.0,4.0,0.43
80.0,-1.0,8.0,4.0,4.0,0.5
81.0,1.0,7.0,5.0,2.0,0.71
82.0,-1.0,7.0,3.0,4.0,0.43
83.0,1.0,7.0,5.0,2.0,0.71
84.0,-1.0,5.0,2.0,3.0,0.4
85.0,1.0,9.0,7.0,2.0,0.78
86.0,-1.0,6.0,1.0,5.0,0.17
87.0,1.0,8.0,6.0,2.0,0.75
88.0,-1.0,8.0,0.0,8.0,0.0
89.0,-1.0,8.0,4.0,4.0,0.5
90.0,1.0,5.0,3.0,2.0,0.6
91.0,1.0,9.0,5.0,4.0,0.56
92.0,-1.0,10.0,4.0,6.0,0.4
93.0,-1.0,7.0,2.0,5.0,0.29
94.0,1.0,6.0,4.0,2.0,0.67
95.0,-1.0,9.0,3.0,6.0,0.33
96.0,-1.0,6.0,2.0,4.0,0.33
97.0,-1.0,8.0,4.0,4.0,0.5
98.0,1.0,6.0,5.0,1.0,0.83
99.0,1.0,9.0,7.0,2.0,0.78
100.0,-1.0,7.0,2.0,5.0,0.29
101.0,1.0,9.0,6.0,3.0,0.67
102.0,-1.0,7.0,1.0,6.0,0.14
103.0,1.0,12.0,9.0,3.0,0.75
104.0,-1.0,8.0,2.0,6.0,0.25
105.0,1.0,9.0,8.0,1.0,0.89
106.0,-1.0,6.0,2.0,4.0,0.33
107.0,-1.0,10.0,3.0,7.0,0.3
108.0,1.0,8.0,5.0,3.0,0.63
109.0,-1.0,8.0,4.0,4.0,0.5
110.0,-1.0,8.0,4.0,4.0,0.5
111.0,-1.0,4.0,2.0,2.0,0.5
112.0,1.0,12.0,7.0,5.0,0.58
113.0,-1.0,4.0,1.0,3.0,0.25
114.0,-1.0,7.0,3.0,4.0,0.43
115.0,1.0,6.0,4.0,2.0,0.67
116.0,1.0,13.0,9.0,4.0,0.69
117.0,-1.0,5.0,1.0,4.0,0.2
118.0,-1.0,5.0,1.0,4.0,0.2
119.0,1.0,6.0,4.0,2.0,0.67
120.0,-1.0,8.0,4.0,4.0,0.5
121.0,-1.0,8.0,3.0,5.0,0.38
122.0,1.0,6.0,4.0,2.0,0.67
123.0,-1.0,5.0,1.0,4.0,0.2
124.0,1.0,6.0,5.0,1.0,0.83
125.0,-1.0,11.0,3.0,8.0,0.27
126.0,-1.0,7.0,2.0,5.0,0.29
127.0,1.0,8.0,6.0,2.0,0.75
128.0,-1.0,11.0,4.0,7.0,0.36
129.0,1.0,9.0,6.0,3.0,0.67
130.0,-1.0,6.0,3.0,3.0,0.5
131.0,1.0,9.0,6.0,3.0,0.67
132.0,1.0,12.0,8.0,4.0,0.67
133.0,-1.0,6.0,3.0,3.0,0.5
134.0,-1.0,7.0,3.0,4.0,0.43
135.0,-1.0,8.0,3.0,5.0,0.38
136.0,-1.0,7.0,3.0,4.0,0.43
137.0,-1.0,8.0,4.0,4.0,0.5
138.0,-1.0,9.0,4.0,5.0,0.44
139.0,-1.0,8.0,2.0,6.0,0.25
140.0,-1.0,7.0,2.0,5.0,0.29
141.0,1.0,5.0,4.0,1.0,0.8
142.0,-1.0,13.0,3.0,10.0,0.23
143.0,-1.0,11.0,5.0,6.0,0.45
144.0,1.0,9.0,6.0,3.0,0.67
