,Topic Divergence,Avg Compat Ratio,Burst Length
0.0,0.0,0.5,1.0
1.0,-1.0,0.0,6.0
2.0,-1.0,0.21,8.0
3.0,-1.0,0.38,12.0
4.0,-1.0,0.32,5.0
5.0,-1.0,0.44,8.0
6.0,-1.0,0.41,5.0
7.0,-1.0,0.4,8.0
8.0,-1.0,0.4,11.0
9.0,-1.0,0.37,7.0
10.0,-1.0,0.38,10.0
11.0,-1.0,0.36,7.0
12.0,-1.0,0.36,3.0
13.0,-1.0,0.35,13.0
14.0,-1.0,0.37,11.0
15.0,-1.0,0.37,9.0
16.0,-1.0,0.37,7.0
17.0,-1.0,0.38,8.0
18.0,-1.0,0.38,8.0
19.0,-1.0,0.39,7.0
20.0,-1.0,0.4,8.0
21.0,-1.0,0.41,6.0
22.0,-1.0,0.44,8.0
23.0,-1.0,0.43,9.0
24.0,-1.0,0.44,10.0
25.0,-1.0,0.44,7.0
26.0,-1.0,0.44,8.0
27.0,-1.0,0.43,12.0
28.0,-1.0,0.42,8.0
29.0,-1.0,0.41,9.0
30.0,-1.0,0.4,13.0
31.0,-1.0,0.39,12.0
32.0,-1.0,0.39,9.0
33.0,-1.0,0.39,12.0
34.0,-1.0,0.4,9.0
35.0,-1.0,0.4,10.0
36.0,-1.0,0.41,8.0
37.0,-1.0,0.41,9.0
38.0,-1.0,0.42,11.0
39.0,-1.0,0.42,4.0
40.0,-1.0,0.42,6.0
41.0,-1.0,0.42,10.0
42.0,-1.0,0.42,9.0
43.0,-1.0,0.41,10.0
44.0,-1.0,0.41,9.0
45.0,-1.0,0.41,10.0
46.0,-1.0,0.41,10.0
47.0,-1.0,0.4,7.0
48.0,-1.0,0.41,10.0
49.0,-1.0,0.41,6.0
50.0,-1.0,0.41,12.0
51.0,-1.0,0.41,10.0
52.0,-1.0,0.4,11.0
53.0,-1.0,0.4,11.0
54.0,-1.0,0.41,9.0
55.0,-1.0,0.41,6.0
56.0,-1.0,0.4,11.0
57.0,-1.0,0.41,9.0
58.0,-1.0,0.41,10.0
59.0,-1.0,0.41,5.0
60.0,-1.0,0.41,11.0
61.0,-1.0,0.4,12.0
62.0,-1.0,0.41,8.0
63.0,-1.0,0.41,7.0
64.0,-1.0,0.41,7.0
65.0,-1.0,0.42,10.0
66.0,-1.0,0.41,12.0
67.0,-1.0,0.41,8.0
68.0,-1.0,0.41,9.0
69.0,-1.0,0.41,8.0
70.0,-1.0,0.41,7.0
71.0,-1.0,0.41,7.0
72.0,-1.0,0.41,9.0
73.0,-1.0,0.41,7.0
74.0,-1.0,0.41,9.0
75.0,-1.0,0.41,8.0
76.0,-1.0,0.41,8.0
77.0,-1.0,0.41,13.0
78.0,-1.0,0.4,9.0
79.0,-1.0,0.4,8.0
80.0,-1.0,0.4,10.0
81.0,-1.0,0.41,7.0
82.0,-1.0,0.41,13.0
83.0,-1.0,0.4,12.0
84.0,-1.0,0.41,8.0
85.0,-1.0,0.4,4.0
86.0,-1.0,0.4,5.0
87.0,-1.0,0.4,7.0
88.0,-1.0,0.4,9.0
89.0,-1.0,0.4,10.0
90.0,-1.0,0.41,5.0
91.0,-1.0,0.41,9.0
92.0,-1.0,0.4,3.0
93.0,-1.0,0.41,6.0
