,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,-1.0,8.0,0.0,8.0,0.0
2.0,1.0,7.0,6.0,1.0,0.86
3.0,-1.0,9.0,1.0,8.0,0.11
4.0,-1.0,2.0,1.0,1.0,0.5
5.0,-1.0,3.0,0.0,3.0,0.0
6.0,-1.0,6.0,3.0,3.0,0.5
7.0,1.0,9.0,6.0,3.0,0.67
8.0,-1.0,9.0,2.0,7.0,0.22
9.0,-1.0,10.0,4.0,6.0,0.4
10.0,-1.0,6.0,1.0,5.0,0.17
11.0,1.0,3.0,2.0,1.0,0.67
12.0,-1.0,6.0,3.0,3.0,0.5
13.0,-1.0,7.0,0.0,7.0,0.0
14.0,-1.0,4.0,0.0,4.0,0.0
15.0,1.0,11.0,6.0,5.0,0.55
16.0,1.0,10.0,6.0,4.0,0.6
17.0,-1.0,8.0,0.0,8.0,0.0
18.0,-1.0,3.0,1.0,2.0,0.33
19.0,-1.0,12.0,5.0,7.0,0.42
20.0,-1.0,10.0,3.0,7.0,0.3
21.0,-1.0,6.0,1.0,5.0,0.17
22.0,1.0,4.0,3.0,1.0,0.75
23.0,1.0,10.0,8.0,2.0,0.8
24.0,-1.0,6.0,1.0,5.0,0.17
25.0,-1.0,10.0,4.0,6.0,0.4
26.0,-1.0,6.0,2.0,4.0,0.33
27.0,-1.0,7.0,2.0,5.0,0.29
28.0,1.0,6.0,5.0,1.0,0.83
29.0,1.0,7.0,4.0,3.0,0.57
30.0,-1.0,9.0,4.0,5.0,0.44
31.0,1.0,9.0,5.0,4.0,0.56
32.0,-1.0,8.0,3.0,5.0,0.38
33.0,-1.0,10.0,2.0,8.0,0.2
34.0,1.0,9.0,5.0,4.0,0.56
35.0,1.0,12.0,7.0,5.0,0.58
36.0,1.0,11.0,6.0,5.0,0.55
37.0,1.0,9.0,8.0,1.0,0.89
38.0,1.0,11.0,7.0,4.0,0.64
39.0,-1.0,8.0,0.0,8.0,0.0
40.0,-1.0,3.0,1.0,2.0,0.33
41.0,1.0,8.0,6.0,2.0,0.75
42.0,-1.0,11.0,3.0,8.0,0.27
43.0,-1.0,9.0,3.0,6.0,0.33
44.0,-1.0,11.0,3.0,8.0,0.27
45.0,1.0,6.0,5.0,1.0,0.83
46.0,-1.0,8.0,2.0,6.0,0.25
47.0,1.0,11.0,8.0,3.0,0.73
48.0,1.0,8.0,6.0,2.0,0.75
