,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,-1.0,8.0,0.0,8.0,0.0
2.0,-1.0,10.0,1.0,9.0,0.1
3.0,1.0,10.0,8.0,2.0,0.8
4.0,1.0,8.0,7.0,1.0,0.88
5.0,-1.0,10.0,2.0,8.0,0.2
6.0,1.0,11.0,6.0,5.0,0.55
7.0,-1.0,10.0,3.0,7.0,0.3
8.0,-1.0,11.0,3.0,8.0,0.27
9.0,-1.0,6.0,2.0,4.0,0.33
10.0,1.0,10.0,7.0,3.0,0.7
11.0,-1.0,9.0,2.0,7.0,0.22
12.0,-1.0,13.0,5.0,8.0,0.38
13.0,1.0,8.0,5.0,3.0,0.63
14.0,1.0,10.0,7.0,3.0,0.7
15.0,-1.0,7.0,1.0,6.0,0.14
16.0,-1.0,3.0,1.0,2.0,0.33
17.0,-1.0,8.0,4.0,4.0,0.5
18.0,-1.0,6.0,1.0,5.0,0.17
19.0,1.0,8.0,5.0,3.0,0.63
20.0,1.0,7.0,4.0,3.0,0.57
21.0,-1.0,6.0,2.0,4.0,0.33
22.0,1.0,10.0,8.0,2.0,0.8
23.0,-1.0,6.0,1.0,5.0,0.17
24.0,-1.0,5.0,2.0,3.0,0.4
25.0,1.0,8.0,7.0,1.0,0.88
26.0,1.0,9.0,6.0,3.0,0.67
27.0,-1.0,4.0,0.0,4.0,0.0
28.0,-1.0,4.0,1.0,3.0,0.25
29.0,1.0,9.0,5.0,4.0,0.56
30.0,1.0,9.0,8.0,1.0,0.89
31.0,-1.0,5.0,1.0,4.0,0.2
32.0,1.0,5.0,4.0,1.0,0.8
33.0,-1.0,8.0,1.0,7.0,0.13
34.0,-1.0,11.0,5.0,6.0,0.45
35.0,1.0,7.0,6.0,1.0,0.86
36.0,1.0,11.0,9.0,2.0,0.82
37.0,-1.0,10.0,2.0,8.0,0.2
38.0,1.0,9.0,7.0,2.0,0.78
39.0,-1.0,8.0,3.0,5.0,0.38
40.0,-1.0,9.0,1.0,8.0,0.11
41.0,1.0,12.0,9.0,3.0,0.75
42.0,1.0,10.0,6.0,4.0,0.6
43.0,-1.0,12.0,0.0,12.0,0.0
44.0,-1.0,6.0,1.0,5.0,0.17
45.0,-1.0,10.0,5.0,5.0,0.5
46.0,-1.0,8.0,4.0,4.0,0.5
47.0,-1.0,8.0,1.0,7.0,0.13
48.0,1.0,5.0,3.0,2.0,0.6
