,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,-1.0,9.0,0.0,9.0,0.0
2.0,-1.0,10.0,4.0,6.0,0.4
3.0,1.0,9.0,8.0,1.0,0.89
4.0,-1.0,10.0,5.0,5.0,0.5
5.0,1.0,10.0,6.0,4.0,0.6
6.0,-1.0,6.0,1.0,5.0,0.17
7.0,-1.0,5.0,2.0,3.0,0.4
8.0,-1.0,6.0,2.0,4.0,0.33
9.0,1.0,6.0,4.0,2.0,0.67
10.0,-1.0,8.0,3.0,5.0,0.38
11.0,1.0,6.0,5.0,1.0,0.83
12.0,1.0,10.0,9.0,1.0,0.9
13.0,-1.0,5.0,1.0,4.0,0.2
14.0,1.0,10.0,6.0,4.0,0.6
15.0,-1.0,6.0,0.0,6.0,0.0
16.0,-1.0,13.0,5.0,8.0,0.38
17.0,1.0,8.0,6.0,2.0,0.75
18.0,1.0,10.0,6.0,4.0,0.6
19.0,-1.0,7.0,2.0,5.0,0.29
20.0,1.0,12.0,9.0,3.0,0.75
21.0,1.0,10.0,6.0,4.0,0.6
22.0,1.0,11.0,7.0,4.0,0.64
23.0,-1.0,10.0,0.0,10.0,0.0
24.0,1.0,5.0,3.0,2.0,0.6
25.0,-1.0,5.0,1.0,4.0,0.2
26.0,1.0,3.0,2.0,1.0,0.67
27.0,1.0,12.0,9.0,3.0,0.75
28.0,1.0,10.0,9.0,1.0,0.9
29.0,1.0,10.0,7.0,3.0,0.7
30.0,1.0,9.0,5.0,4.0,0.56
31.0,1.0,8.0,7.0,1.0,0.88
32.0,1.0,11.0,7.0,4.0,0.64
33.0,-1.0,8.0,1.0,7.0,0.13
34.0,1.0,6.0,5.0,1.0,0.83
35.0,1.0,11.0,10.0,1.0,0.91
36.0,1.0,10.0,7.0,3.0,0.7
37.0,1.0,11.0,6.0,5.0,0.55
38.0,-1.0,8.0,1.0,7.0,0.13
39.0,-1.0,4.0,1.0,3.0,0.25
40.0,1.0,9.0,6.0,3.0,0.67
41.0,-1.0,11.0,3.0,8.0,0.27
