,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,1.0,7.0,7.0,0.0,1.0
2.0,1.0,11.0,7.0,4.0,0.64
3.0,1.0,10.0,8.0,2.0,0.8
4.0,1.0,10.0,9.0,1.0,0.9
5.0,-1.0,9.0,3.0,6.0,0.33
6.0,1.0,5.0,3.0,2.0,0.6
7.0,-1.0,8.0,2.0,6.0,0.25
8.0,-1.0,5.0,1.0,4.0,0.2
9.0,-1.0,12.0,6.0,6.0,0.5
10.0,1.0,11.0,7.0,4.0,0.64
11.0,-1.0,9.0,3.0,6.0,0.33
12.0,-1.0,9.0,4.0,5.0,0.44
13.0,1.0,8.0,7.0,1.0,0.88
14.0,1.0,7.0,7.0,0.0,1.0
15.0,1.0,10.0,8.0,2.0,0.8
16.0,1.0,9.0,7.0,2.0,0.78
17.0,-1.0,7.0,3.0,4.0,0.43
18.0,-1.0,13.0,5.0,8.0,0.38
19.0,1.0,4.0,4.0,0.0,1.0
20.0,-1.0,4.0,0.0,4.0,0.0
21.0,-1.0,5.0,1.0,4.0,0.2
22.0,-1.0,7.0,1.0,6.0,0.14
23.0,1.0,5.0,3.0,2.0,0.6
24.0,-1.0,8.0,3.0,5.0,0.38
25.0,-1.0,2.0,1.0,1.0,0.5
26.0,-1.0,6.0,0.0,6.0,0.0
27.0,1.0,3.0,2.0,1.0,0.67
28.0,-1.0,10.0,5.0,5.0,0.5
29.0,-1.0,5.0,1.0,4.0,0.2
30.0,-1.0,9.0,4.0,5.0,0.44
31.0,1.0,4.0,3.0,1.0,0.75
32.0,-1.0,13.0,6.0,7.0,0.46
33.0,-1.0,7.0,3.0,4.0,0.43
34.0,1.0,12.0,8.0,4.0,0.67
35.0,-1.0,7.0,0.0,7.0,0.0
36.0,-1.0,13.0,4.0,9.0,0.31
37.0,-1.0,11.0,4.0,7.0,0.36
38.0,-1.0,9.0,4.0,5.0,0.44
39.0,-1.0,8.0,3.0,5.0,0.38
40.0,-1.0,10.0,4.0,6.0,0.4
41.0,-1.0,6.0,2.0,4.0,0.33
42.0,-1.0,8.0,4.0,4.0,0.5
43.0,-1.0,7.0,2.0,5.0,0.29
44.0,-1.0,8.0,3.0,5.0,0.38
45.0,-1.0,9.0,3.0,6.0,0.33
46.0,-1.0,6.0,3.0,3.0,0.5
47.0,1.0,9.0,9.0,0.0,1.0
48.0,-1.0,5.0,1.0,4.0,0.2
49.0,1.0,8.0,5.0,3.0,0.63
50.0,-1.0,8.0,1.0,7.0,0.13
51.0,1.0,14.0,8.0,6.0,0.57
52.0,1.0,10.0,7.0,3.0,0.7
53.0,-1.0,6.0,0.0,6.0,0.0
54.0,1.0,8.0,6.0,2.0,0.75
55.0,-1.0,6.0,1.0,5.0,0.17
56.0,-1.0,9.0,4.0,5.0,0.44
57.0,1.0,9.0,5.0,4.0,0.56
58.0,-1.0,4.0,2.0,2.0,0.5
59.0,1.0,4.0,4.0,0.0,1.0
60.0,-1.0,6.0,2.0,4.0,0.33
61.0,1.0,9.0,6.0,3.0,0.67
62.0,-1.0,10.0,2.0,8.0,0.2
63.0,1.0,11.0,7.0,4.0,0.64
64.0,-1.0,9.0,2.0,7.0,0.22
65.0,1.0,10.0,6.0,4.0,0.6
66.0,-1.0,8.0,2.0,6.0,0.25
67.0,-1.0,12.0,4.0,8.0,0.33
68.0,-1.0,13.0,5.0,8.0,0.38
69.0,1.0,7.0,5.0,2.0,0.71
70.0,-1.0,8.0,1.0,7.0,0.13
71.0,-1.0,12.0,5.0,7.0,0.42
72.0,-1.0,7.0,1.0,6.0,0.14
73.0,-1.0,3.0,1.0,2.0,0.33
74.0,-1.0,5.0,1.0,4.0,0.2
75.0,-1.0,8.0,2.0,6.0,0.25
76.0,-1.0,9.0,2.0,7.0,0.22
77.0,-1.0,10.0,5.0,5.0,0.5
78.0,-1.0,9.0,3.0,6.0,0.33
79.0,-1.0,9.0,3.0,6.0,0.33
80.0,-1.0,11.0,3.0,8.0,0.27
81.0,1.0,11.0,6.0,5.0,0.55
82.0,1.0,9.0,6.0,3.0,0.67
83.0,-1.0,7.0,2.0,5.0,0.29
84.0,1.0,11.0,6.0,5.0,0.55
85.0,1.0,10.0,7.0,3.0,0.7
86.0,1.0,6.0,4.0,2.0,0.67
87.0,-1.0,11.0,5.0,6.0,0.45
88.0,-1.0,11.0,2.0,9.0,0.18
89.0,-1.0,12.0,4.0,8.0,0.33
90.0,-1.0,5.0,0.0,5.0,0.0
91.0,1.0,11.0,7.0,4.0,0.64
92.0,1.0,9.0,5.0,4.0,0.56
93.0,1.0,11.0,6.0,5.0,0.55
94.0,1.0,10.0,7.0,3.0,0.7
95.0,1.0,9.0,5.0,4.0,0.56
96.0,1.0,14.0,11.0,3.0,0.79
97.0,-1.0,7.0,2.0,5.0,0.29
98.0,-1.0,11.0,5.0,6.0,0.45
99.0,-1.0,8.0,3.0,5.0,0.38
100.0,1.0,9.0,6.0,3.0,0.67
101.0,1.0,10.0,7.0,3.0,0.7
102.0,-1.0,7.0,1.0,6.0,0.14
103.0,-1.0,11.0,5.0,6.0,0.45
104.0,-1.0,10.0,5.0,5.0,0.5
105.0,-1.0,9.0,1.0,8.0,0.11
106.0,1.0,3.0,3.0,0.0,1.0
107.0,-1.0,8.0,1.0,7.0,0.13
108.0,-1.0,11.0,3.0,8.0,0.27
109.0,-1.0,4.0,1.0,3.0,0.25
110.0,-1.0,4.0,0.0,4.0,0.0
111.0,-1.0,5.0,2.0,3.0,0.4
112.0,-1.0,6.0,3.0,3.0,0.5
113.0,-1.0,8.0,0.0,8.0,0.0
114.0,-1.0,4.0,0.0,4.0,0.0
115.0,-1.0,11.0,5.0,6.0,0.45
116.0,1.0,11.0,8.0,3.0,0.73
117.0,-1.0,10.0,4.0,6.0,0.4
118.0,-1.0,7.0,3.0,4.0,0.43
119.0,-1.0,6.0,1.0,5.0,0.17
120.0,-1.0,10.0,5.0,5.0,0.5
121.0,-1.0,7.0,2.0,5.0,0.29
122.0,1.0,4.0,4.0,0.0,1.0
123.0,-1.0,7.0,3.0,4.0,0.43
124.0,-1.0,5.0,1.0,4.0,0.2
125.0,1.0,7.0,6.0,1.0,0.86
126.0,1.0,10.0,7.0,3.0,0.7
127.0,-1.0,8.0,2.0,6.0,0.25
128.0,-1.0,4.0,1.0,3.0,0.25
129.0,1.0,7.0,5.0,2.0,0.71
130.0,1.0,7.0,5.0,2.0,0.71
131.0,1.0,10.0,6.0,4.0,0.6
132.0,-1.0,7.0,1.0,6.0,0.14
133.0,-1.0,2.0,1.0,1.0,0.5
134.0,-1.0,8.0,4.0,4.0,0.5
135.0,1.0,7.0,4.0,3.0,0.57
136.0,1.0,5.0,3.0,2.0,0.6
137.0,-1.0,6.0,1.0,5.0,0.17
138.0,-1.0,4.0,2.0,2.0,0.5
139.0,1.0,7.0,4.0,3.0,0.57
140.0,-1.0,9.0,2.0,7.0,0.22
141.0,-1.0,10.0,3.0,7.0,0.3
142.0,1.0,9.0,6.0,3.0,0.67
143.0,-1.0,6.0,1.0,5.0,0.17
144.0,1.0,9.0,5.0,4.0,0.56
145.0,1.0,8.0,7.0,1.0,0.88
146.0,1.0,8.0,5.0,3.0,0.63
147.0,-1.0,6.0,1.0,5.0,0.17
148.0,-1.0,4.0,1.0,3.0,0.25
149.0,-1.0,10.0,5.0,5.0,0.5
150.0,-1.0,4.0,1.0,3.0,0.25
151.0,-1.0,13.0,5.0,8.0,0.38
152.0,-1.0,10.0,4.0,6.0,0.4
153.0,-1.0,9.0,2.0,7.0,0.22
154.0,1.0,7.0,5.0,2.0,0.71
155.0,-1.0,8.0,1.0,7.0,0.13
156.0,1.0,3.0,2.0,1.0,0.67
157.0,-1.0,6.0,1.0,5.0,0.17
158.0,-1.0,2.0,0.0,2.0,0.0
159.0,-1.0,5.0,2.0,3.0,0.4
160.0,1.0,12.0,11.0,1.0,0.92
161.0,-1.0,6.0,0.0,6.0,0.0
162.0,-1.0,2.0,0.0,2.0,0.0
163.0,1.0,3.0,2.0,1.0,0.67
164.0,1.0,9.0,5.0,4.0,0.56
165.0,-1.0,7.0,3.0,4.0,0.43
166.0,-1.0,11.0,4.0,7.0,0.36
167.0,-1.0,12.0,6.0,6.0,0.5
168.0,1.0,7.0,5.0,2.0,0.71
169.0,-1.0,8.0,1.0,7.0,0.13
170.0,-1.0,11.0,5.0,6.0,0.45
171.0,-1.0,9.0,4.0,5.0,0.44
172.0,-1.0,7.0,2.0,5.0,0.29
173.0,1.0,11.0,6.0,5.0,0.55
174.0,-1.0,3.0,1.0,2.0,0.33
175.0,1.0,8.0,7.0,1.0,0.88
176.0,-1.0,5.0,0.0,5.0,0.0
177.0,-1.0,1.0,0.0,1.0,0.0
178.0,-1.0,8.0,4.0,4.0,0.5
179.0,-1.0,9.0,4.0,5.0,0.44
180.0,1.0,8.0,6.0,2.0,0.75
181.0,1.0,10.0,9.0,1.0,0.9
182.0,-1.0,4.0,1.0,3.0,0.25
183.0,-1.0,12.0,6.0,6.0,0.5
184.0,-1.0,10.0,0.0,10.0,0.0
185.0,1.0,3.0,3.0,0.0,1.0
186.0,1.0,9.0,7.0,2.0,0.78
187.0,-1.0,8.0,1.0,7.0,0.13
188.0,-1.0,7.0,3.0,4.0,0.43
189.0,-1.0,8.0,3.0,5.0,0.38
190.0,1.0,13.0,8.0,5.0,0.62
191.0,-1.0,7.0,2.0,5.0,0.29
192.0,-1.0,4.0,1.0,3.0,0.25
193.0,-1.0,6.0,3.0,3.0,0.5
194.0,-1.0,8.0,3.0,5.0,0.38
195.0,-1.0,3.0,1.0,2.0,0.33
196.0,1.0,1.0,1.0,0.0,1.0
197.0,-1.0,10.0,3.0,7.0,0.3
198.0,-1.0,10.0,5.0,5.0,0.5
199.0,-1.0,8.0,3.0,5.0,0.38
200.0,1.0,10.0,8.0,2.0,0.8
