,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,-1.0,4.0,0.0,4.0,0.0
2.0,1.0,7.0,6.0,1.0,0.86
3.0,-1.0,2.0,1.0,1.0,0.5
4.0,1.0,2.0,2.0,0.0,1.0
5.0,1.0,4.0,3.0,1.0,0.75
6.0,-1.0,2.0,1.0,1.0,0.5
7.0,1.0,5.0,3.0,2.0,0.6
8.0,1.0,5.0,3.0,2.0,0.6
9.0,1.0,5.0,4.0,1.0,0.8
10.0,1.0,4.0,3.0,1.0,0.75
11.0,-1.0,3.0,1.0,2.0,0.33
12.0,1.0,9.0,8.0,1.0,0.89
13.0,1.0,2.0,2.0,0.0,1.0
14.0,-1.0,2.0,1.0,1.0,0.5
15.0,-1.0,1.0,0.0,1.0,0.0
16.0,1.0,12.0,10.0,2.0,0.83
17.0,1.0,12.0,0.0,0.0,1.0
18.0,-1.0,1.0,0.0,1.0,0.0
19.0,1.0,8.0,6.0,2.0,0.75
20.0,1.0,8.0,0.0,0.0,1.0
21.0,-1.0,6.0,1.0,5.0,0.17
22.0,1.0,5.0,5.0,0.0,1.0
23.0,1.0,3.0,2.0,1.0,0.67
24.0,1.0,4.0,4.0,0.0,1.0
25.0,-1.0,1.0,0.0,1.0,0.0
26.0,1.0,10.0,8.0,2.0,0.8
27.0,1.0,1.0,1.0,0.0,1.0
28.0,1.0,8.0,6.0,2.0,0.75
29.0,-1.0,4.0,0.0,4.0,0.0
30.0,1.0,4.0,4.0,0.0,1.0
31.0,-1.0,1.0,0.0,1.0,0.0
32.0,1.0,11.0,11.0,0.0,1.0
33.0,-1.0,4.0,2.0,2.0,0.5
34.0,-1.0,3.0,1.0,2.0,0.33
35.0,1.0,8.0,6.0,2.0,0.75
36.0,-1.0,3.0,1.0,2.0,0.33
37.0,1.0,11.0,9.0,2.0,0.82
38.0,-1.0,1.0,0.0,1.0,0.0
39.0,1.0,9.0,9.0,0.0,1.0
40.0,-1.0,1.0,0.0,1.0,0.0
41.0,1.0,8.0,7.0,1.0,0.88
42.0,-1.0,2.0,1.0,1.0,0.5
