,Topic Divergence,Burst Length,Compatible Msgs,Incompatible Msgs,Avg Compat Ratio
0.0,0.0,1.0,0.0,0.0,0.5
1.0,-1.0,4.0,2.0,2.0,0.5
2.0,1.0,2.0,2.0,0.0,1.0
3.0,-1.0,2.0,1.0,1.0,0.5
4.0,-1.0,4.0,1.0,3.0,0.25
5.0,1.0,12.0,9.0,3.0,0.75
6.0,-1.0,6.0,3.0,3.0,0.5
7.0,-1.0,3.0,1.0,2.0,0.33
8.0,1.0,9.0,6.0,3.0,0.67
9.0,-1.0,2.0,1.0,1.0,0.5
10.0,-1.0,4.0,2.0,2.0,0.5
11.0,1.0,1.0,1.0,0.0,1.0
12.0,1.0,11.0,8.0,3.0,0.73
13.0,1.0,2.0,2.0,0.0,1.0
14.0,-1.0,6.0,3.0,3.0,0.5
15.0,1.0,4.0,3.0,1.0,0.75
16.0,1.0,3.0,2.0,1.0,0.67
17.0,1.0,3.0,3.0,0.0,1.0
18.0,1.0,5.0,4.0,1.0,0.8
19.0,1.0,3.0,3.0,0.0,1.0
20.0,-1.0,5.0,0.0,5.0,0.0
21.0,-1.0,5.0,2.0,3.0,0.4
22.0,1.0,8.0,5.0,3.0,0.63
23.0,-1.0,2.0,1.0,1.0,0.5
24.0,-1.0,8.0,4.0,4.0,0.5
25.0,-1.0,3.0,1.0,2.0,0.33
26.0,1.0,8.0,5.0,3.0,0.63
27.0,1.0,2.0,2.0,0.0,1.0
28.0,-1.0,4.0,2.0,2.0,0.5
29.0,1.0,4.0,3.0,1.0,0.75
30.0,1.0,4.0,0.0,0.0,1.0
31.0,1.0,1.0,1.0,0.0,1.0
32.0,1.0,4.0,3.0,1.0,0.75
33.0,-1.0,2.0,1.0,1.0,0.5
34.0,-1.0,8.0,4.0,4.0,0.5
35.0,-1.0,3.0,1.0,2.0,0.33
36.0,-1.0,1.0,0.0,1.0,0.0
37.0,1.0,9.0,8.0,1.0,0.89
38.0,1.0,9.0,0.0,0.0,1.0
39.0,-1.0,2.0,1.0,1.0,0.5
40.0,1.0,5.0,4.0,1.0,0.8
41.0,1.0,3.0,2.0,1.0,0.67
42.0,1.0,4.0,3.0,1.0,0.75
43.0,-1.0,2.0,1.0,1.0,0.5
44.0,1.0,2.0,0.0,0.0,1.0
45.0,-1.0,4.0,0.0,4.0,0.0
46.0,1.0,7.0,4.0,3.0,0.57
47.0,1.0,4.0,3.0,1.0,0.75
48.0,-1.0,5.0,2.0,3.0,0.4
49.0,1.0,4.0,3.0,1.0,0.75
50.0,1.0,5.0,4.0,1.0,0.8
51.0,1.0,3.0,2.0,1.0,0.67
52.0,1.0,3.0,3.0,0.0,1.0
53.0,-1.0,4.0,1.0,3.0,0.25
54.0,-1.0,2.0,1.0,1.0,0.5
55.0,1.0,10.0,6.0,4.0,0.6
56.0,1.0,2.0,2.0,0.0,1.0
57.0,1.0,1.0,1.0,0.0,1.0
58.0,1.0,3.0,3.0,0.0,1.0
59.0,-1.0,3.0,1.0,2.0,0.33
60.0,1.0,5.0,5.0,0.0,1.0
61.0,-1.0,3.0,1.0,2.0,0.33
62.0,1.0,3.0,3.0,0.0,1.0
63.0,1.0,1.0,1.0,0.0,1.0
64.0,1.0,1.0,1.0,0.0,1.0
65.0,1.0,7.0,5.0,2.0,0.71
66.0,1.0,2.0,2.0,0.0,1.0
67.0,1.0,5.0,3.0,2.0,0.6
68.0,-1.0,7.0,3.0,4.0,0.43
69.0,1.0,8.0,7.0,1.0,0.88
70.0,1.0,1.0,1.0,0.0,1.0
71.0,1.0,3.0,2.0,1.0,0.67
72.0,1.0,3.0,2.0,1.0,0.67
73.0,-1.0,8.0,4.0,4.0,0.5
74.0,-1.0,4.0,2.0,2.0,0.5
75.0,-1.0,4.0,2.0,2.0,0.5
76.0,-1.0,3.0,1.0,2.0,0.33
77.0,-1.0,4.0,2.0,2.0,0.5
78.0,-1.0,7.0,3.0,4.0,0.43
79.0,-1.0,4.0,2.0,2.0,0.5
80.0,1.0,2.0,2.0,0.0,1.0
81.0,1.0,3.0,2.0,1.0,0.67
82.0,1.0,11.0,9.0,2.0,0.82
83.0,-1.0,2.0,1.0,1.0,0.5
84.0,1.0,3.0,2.0,1.0,0.67
85.0,1.0,9.0,5.0,4.0,0.56
86.0,1.0,3.0,2.0,1.0,0.67
87.0,1.0,5.0,3.0,2.0,0.6
88.0,1.0,4.0,3.0,1.0,0.75
89.0,1.0,4.0,3.0,1.0,0.75
90.0,1.0,4.0,3.0,1.0,0.75
91.0,-1.0,3.0,1.0,2.0,0.33
92.0,1.0,5.0,4.0,1.0,0.8
93.0,-1.0,2.0,1.0,1.0,0.5
94.0,-1.0,1.0,0.0,1.0,0.0
95.0,1.0,10.0,6.0,4.0,0.6
96.0,1.0,5.0,4.0,1.0,0.8
97.0,-1.0,6.0,2.0,4.0,0.33
98.0,1.0,2.0,2.0,0.0,1.0
99.0,-1.0,5.0,1.0,4.0,0.2
100.0,1.0,4.0,3.0,1.0,0.75
101.0,-1.0,4.0,2.0,2.0,0.5
102.0,-1.0,7.0,3.0,4.0,0.43
103.0,1.0,1.0,1.0,0.0,1.0
104.0,1.0,7.0,5.0,2.0,0.71
105.0,1.0,2.0,2.0,0.0,1.0
106.0,-1.0,2.0,0.0,2.0,0.0
107.0,1.0,6.0,6.0,0.0,1.0
108.0,1.0,2.0,2.0,0.0,1.0
109.0,-1.0,5.0,2.0,3.0,0.4
110.0,-1.0,4.0,2.0,2.0,0.5
111.0,1.0,5.0,3.0,2.0,0.6
112.0,1.0,2.0,2.0,0.0,1.0
113.0,-1.0,2.0,0.0,2.0,0.0
114.0,1.0,5.0,3.0,2.0,0.6
115.0,-1.0,6.0,3.0,3.0,0.5
116.0,-1.0,4.0,2.0,2.0,0.5
117.0,1.0,3.0,2.0,1.0,0.67
118.0,1.0,3.0,2.0,1.0,0.67
119.0,-1.0,3.0,0.0,3.0,0.0
120.0,1.0,13.0,10.0,3.0,0.77
121.0,-1.0,3.0,1.0,2.0,0.33
122.0,1.0,6.0,5.0,1.0,0.83
123.0,1.0,5.0,4.0,1.0,0.8
124.0,1.0,7.0,5.0,2.0,0.71
125.0,1.0,5.0,3.0,2.0,0.6
126.0,-1.0,4.0,2.0,2.0,0.5
127.0,1.0,3.0,2.0,1.0,0.67
128.0,1.0,11.0,10.0,1.0,0.91
129.0,1.0,3.0,2.0,1.0,0.67
130.0,-1.0,5.0,1.0,4.0,0.2
131.0,1.0,13.0,7.0,6.0,0.54
132.0,1.0,4.0,3.0,1.0,0.75
133.0,1.0,6.0,4.0,2.0,0.67
134.0,-1.0,3.0,0.0,3.0,0.0
135.0,-1.0,10.0,5.0,5.0,0.5
136.0,1.0,1.0,1.0,0.0,1.0
137.0,-1.0,4.0,2.0,2.0,0.5
138.0,1.0,5.0,4.0,1.0,0.8
139.0,-1.0,2.0,1.0,1.0,0.5
140.0,1.0,8.0,6.0,2.0,0.75
141.0,1.0,3.0,2.0,1.0,0.67
142.0,1.0,5.0,5.0,0.0,1.0
143.0,1.0,1.0,1.0,0.0,1.0
144.0,1.0,5.0,4.0,1.0,0.8
145.0,-1.0,6.0,3.0,3.0,0.5
146.0,-1.0,2.0,0.0,2.0,0.0
147.0,-1.0,2.0,1.0,1.0,0.5
148.0,1.0,4.0,3.0,1.0,0.75
149.0,-1.0,2.0,1.0,1.0,0.5
150.0,1.0,5.0,3.0,2.0,0.6
151.0,-1.0,6.0,1.0,5.0,0.17
152.0,1.0,11.0,9.0,2.0,0.82
153.0,-1.0,2.0,1.0,1.0,0.5
154.0,1.0,6.0,5.0,1.0,0.83
155.0,1.0,3.0,2.0,1.0,0.67
156.0,1.0,7.0,6.0,1.0,0.86
157.0,1.0,5.0,4.0,1.0,0.8
158.0,1.0,6.0,4.0,2.0,0.67
159.0,-1.0,2.0,1.0,1.0,0.5
160.0,1.0,8.0,6.0,2.0,0.75
161.0,-1.0,4.0,2.0,2.0,0.5
162.0,1.0,5.0,4.0,1.0,0.8
163.0,1.0,8.0,6.0,2.0,0.75
164.0,-1.0,3.0,1.0,2.0,0.33
165.0,1.0,6.0,5.0,1.0,0.83
166.0,-1.0,2.0,1.0,1.0,0.5
167.0,1.0,5.0,4.0,1.0,0.8
168.0,1.0,2.0,2.0,0.0,1.0
169.0,1.0,1.0,1.0,0.0,1.0
170.0,1.0,5.0,4.0,1.0,0.8
171.0,-1.0,3.0,1.0,2.0,0.33
172.0,1.0,5.0,4.0,1.0,0.8
173.0,1.0,5.0,3.0,2.0,0.6
174.0,1.0,6.0,5.0,1.0,0.83
175.0,-1.0,2.0,1.0,1.0,0.5
176.0,-1.0,4.0,2.0,2.0,0.5
177.0,1.0,3.0,2.0,1.0,0.67
178.0,1.0,9.0,7.0,2.0,0.78
179.0,-1.0,3.0,1.0,2.0,0.33
180.0,1.0,6.0,4.0,2.0,0.67
181.0,1.0,5.0,3.0,2.0,0.6
182.0,1.0,2.0,2.0,0.0,1.0
183.0,1.0,1.0,1.0,0.0,1.0
184.0,1.0,5.0,4.0,1.0,0.8
185.0,1.0,2.0,2.0,0.0,1.0
186.0,1.0,5.0,3.0,2.0,0.6
187.0,-1.0,2.0,1.0,1.0,0.5
188.0,-1.0,5.0,1.0,4.0,0.2
189.0,1.0,11.0,7.0,4.0,0.64
190.0,1.0,5.0,3.0,2.0,0.6
191.0,-1.0,2.0,1.0,1.0,0.5
192.0,-1.0,4.0,1.0,3.0,0.25
193.0,-1.0,8.0,4.0,4.0,0.5
194.0,1.0,8.0,0.0,0.0,1.0
195.0,-1.0,3.0,1.0,2.0,0.33
196.0,1.0,5.0,3.0,2.0,0.6
197.0,-1.0,2.0,1.0,1.0,0.5
198.0,-1.0,5.0,1.0,4.0,0.2
199.0,1.0,13.0,7.0,6.0,0.54
200.0,1.0,4.0,3.0,1.0,0.75
201.0,-1.0,10.0,4.0,6.0,0.4
202.0,1.0,2.0,2.0,0.0,1.0
203.0,1.0,3.0,2.0,1.0,0.67
204.0,1.0,9.0,8.0,1.0,0.89
205.0,-1.0,3.0,1.0,2.0,0.33
206.0,-1.0,7.0,3.0,4.0,0.43
207.0,1.0,6.0,5.0,1.0,0.83
208.0,1.0,5.0,3.0,2.0,0.6
209.0,-1.0,4.0,2.0,2.0,0.5
210.0,-1.0,4.0,2.0,2.0,0.5
211.0,1.0,7.0,6.0,1.0,0.86
212.0,1.0,1.0,1.0,0.0,1.0
213.0,-1.0,3.0,1.0,2.0,0.33
214.0,1.0,9.0,6.0,3.0,0.67
215.0,-1.0,4.0,2.0,2.0,0.5
216.0,1.0,6.0,4.0,2.0,0.67
217.0,1.0,2.0,2.0,0.0,1.0
218.0,1.0,2.0,0.0,0.0,1.0
219.0,-1.0,2.0,1.0,1.0,0.5
220.0,1.0,10.0,6.0,4.0,0.6
221.0,-1.0,2.0,1.0,1.0,0.5
222.0,1.0,5.0,4.0,1.0,0.8
223.0,-1.0,2.0,0.0,2.0,0.0
224.0,1.0,9.0,6.0,3.0,0.67
225.0,-1.0,2.0,1.0,1.0,0.5
226.0,1.0,6.0,5.0,1.0,0.83
227.0,1.0,6.0,0.0,0.0,1.0
228.0,-1.0,2.0,1.0,1.0,0.5
229.0,1.0,4.0,4.0,0.0,1.0
230.0,-1.0,5.0,2.0,3.0,0.4
231.0,1.0,4.0,3.0,1.0,0.75
232.0,1.0,2.0,2.0,0.0,1.0
233.0,1.0,4.0,3.0,1.0,0.75
234.0,-1.0,2.0,1.0,1.0,0.5
235.0,1.0,11.0,9.0,2.0,0.82
236.0,-1.0,3.0,1.0,2.0,0.33
237.0,1.0,11.0,11.0,0.0,1.0
238.0,-1.0,1.0,0.0,1.0,0.0
239.0,1.0,6.0,4.0,2.0,0.67
240.0,1.0,3.0,2.0,1.0,0.67
241.0,-1.0,2.0,1.0,1.0,0.5
242.0,1.0,5.0,4.0,1.0,0.8
243.0,1.0,6.0,5.0,1.0,0.83
244.0,-1.0,2.0,1.0,1.0,0.5
245.0,1.0,3.0,2.0,1.0,0.67
246.0,1.0,2.0,2.0,0.0,1.0
247.0,-1.0,1.0,0.0,1.0,0.0
248.0,1.0,9.0,6.0,3.0,0.67
249.0,1.0,2.0,2.0,0.0,1.0
250.0,-1.0,1.0,0.0,1.0,0.0
251.0,1.0,12.0,11.0,1.0,0.92
252.0,1.0,3.0,2.0,1.0,0.67
253.0,1.0,2.0,2.0,0.0,1.0
254.0,-1.0,3.0,1.0,2.0,0.33
255.0,1.0,3.0,3.0,0.0,1.0
256.0,-1.0,3.0,1.0,2.0,0.33
257.0,1.0,5.0,5.0,0.0,1.0
258.0,-1.0,2.0,1.0,1.0,0.5
259.0,1.0,1.0,1.0,0.0,1.0
260.0,1.0,6.0,4.0,2.0,0.67
261.0,1.0,3.0,3.0,0.0,1.0
262.0,-1.0,5.0,1.0,4.0,0.2
263.0,1.0,9.0,7.0,2.0,0.78
264.0,1.0,5.0,4.0,1.0,0.8
265.0,-1.0,2.0,1.0,1.0,0.5
266.0,1.0,4.0,4.0,0.0,1.0
267.0,1.0,3.0,2.0,1.0,0.67
268.0,-1.0,6.0,3.0,3.0,0.5
269.0,1.0,1.0,1.0,0.0,1.0
270.0,-1.0,5.0,2.0,3.0,0.4
271.0,1.0,5.0,4.0,1.0,0.8
272.0,1.0,6.0,5.0,1.0,0.83
273.0,1.0,5.0,3.0,2.0,0.6
274.0,1.0,8.0,5.0,3.0,0.63
275.0,1.0,3.0,3.0,0.0,1.0
276.0,1.0,3.0,0.0,0.0,1.0
277.0,-1.0,5.0,2.0,3.0,0.4
278.0,1.0,2.0,2.0,0.0,1.0
279.0,1.0,7.0,4.0,3.0,0.57
280.0,1.0,5.0,4.0,1.0,0.8
281.0,-1.0,8.0,4.0,4.0,0.5
282.0,1.0,2.0,2.0,0.0,1.0
283.0,-1.0,2.0,1.0,1.0,0.5
284.0,1.0,3.0,2.0,1.0,0.67
285.0,1.0,2.0,2.0,0.0,1.0
286.0,-1.0,5.0,1.0,4.0,0.2
287.0,-1.0,5.0,2.0,3.0,0.4
288.0,1.0,7.0,6.0,1.0,0.86
289.0,-1.0,1.0,0.0,1.0,0.0
290.0,1.0,4.0,4.0,0.0,1.0
291.0,-1.0,6.0,2.0,4.0,0.33
292.0,1.0,6.0,5.0,1.0,0.83
293.0,1.0,3.0,2.0,1.0,0.67
294.0,1.0,3.0,2.0,1.0,0.67
295.0,-1.0,3.0,1.0,2.0,0.33
296.0,1.0,10.0,6.0,4.0,0.6
297.0,-1.0,1.0,0.0,1.0,0.0
298.0,1.0,4.0,3.0,1.0,0.75
299.0,1.0,3.0,2.0,1.0,0.67
300.0,-1.0,4.0,2.0,2.0,0.5
